
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
165.638,um,Surface,Image 1,1,1000014184,14184,
12.9613,um,Surface,Image 1,1,1000014185,14185,
142.252,um,Surface,Image 1,1,1000014186,14186,
192.602,um,Surface,Image 1,1,1000014187,14187,
51.2689,um,Surface,Image 1,1,1000014188,14188,
174.825,um,Surface,Image 1,1,1000014189,14189,
65.2312,um,Surface,Image 1,1,1000014190,14190,
50.0283,um,Surface,Image 1,1,1000014191,14191,
133.119,um,Surface,Image 1,1,1000014192,14192,
85.4812,um,Surface,Image 1,1,1000014193,14193,
121.787,um,Surface,Image 1,1,1000014194,14194,
17.0869,um,Surface,Image 1,1,1000014195,14195,
96.0088,um,Surface,Image 1,1,1000014196,14196,
75.9279,um,Surface,Image 1,1,1000014197,14197,
101.592,um,Surface,Image 1,1,1000014198,14198,
73.3124,um,Surface,Image 1,1,1000014199,14199,
75.0352,um,Surface,Image 1,1,1000014200,14200,
91.8575,um,Surface,Image 1,1,1000014201,14201,
46.0797,um,Surface,Image 1,1,1000014202,14202,
12.9729,um,Surface,Image 1,2,1000014185,14203,
164.019,um,Surface,Image 1,2,1000014184,14204,
141.745,um,Surface,Image 1,2,1000014186,14205,
191.376,um,Surface,Image 1,2,1000014187,14206,
173.907,um,Surface,Image 1,2,1000014207,14207,
46.6865,um,Surface,Image 1,2,1000014188,14208,
172.197,um,Surface,Image 1,2,1000014189,14209,
127.446,um,Surface,Image 1,2,1000014210,14210,
65.2257,um,Surface,Image 1,2,1000014190,14211,
131.597,um,Surface,Image 1,2,1000014212,14212,
49.9607,um,Surface,Image 1,2,1000014191,14213,
131.72,um,Surface,Image 1,2,1000014192,14214,
84.6396,um,Surface,Image 1,2,1000014193,14215,
89.9454,um,Surface,Image 1,2,1000014216,14216,
120.804,um,Surface,Image 1,2,1000014194,14217,
73.2709,um,Surface,Image 1,2,1000014218,14218,
17.3961,um,Surface,Image 1,2,1000014195,14219,
71.9241,um,Surface,Image 1,2,1000014220,14220,
94.9124,um,Surface,Image 1,2,1000014196,14221,
80.0568,um,Surface,Image 1,2,1000014197,14222,
109.18,um,Surface,Image 1,2,1000014223,14223,
73.3747,um,Surface,Image 1,2,1000014199,14224,
99.3478,um,Surface,Image 1,2,1000014198,14225,
73.8475,um,Surface,Image 1,2,1000014200,14226,
92.4085,um,Surface,Image 1,2,1000014201,14227,
46.0797,um,Surface,Image 1,2,1000014202,14228,
12.9613,um,Surface,Image 1,3,1000014185,14229,
164.919,um,Surface,Image 1,3,1000014184,14230,
142.529,um,Surface,Image 1,3,1000014186,14231,
189.577,um,Surface,Image 1,3,1000014187,14232,
172.932,um,Surface,Image 1,3,1000014233,14233,
174.165,um,Surface,Image 1,3,1000014207,14234,
48.6744,um,Surface,Image 1,3,1000014188,14235,
171.354,um,Surface,Image 1,3,1000014236,14236,
172.176,um,Surface,Image 1,3,1000014189,14237,
127.307,um,Surface,Image 1,3,1000014210,14238,
126.477,um,Surface,Image 1,3,1000014239,14239,
65.0721,um,Surface,Image 1,3,1000014190,14240,
131.735,um,Surface,Image 1,3,1000014212,14241,
142.529,um,Surface,Image 1,3,1000014242,14242,
48.3531,um,Surface,Image 1,3,1000014191,14243,
132.427,um,Surface,Image 1,3,1000014192,14244,
85.2453,um,Surface,Image 1,3,1000014193,14245,
86.988,um,Surface,Image 1,3,1000014216,14246,
120.804,um,Surface,Image 1,3,1000014194,14247,
71.786,um,Surface,Image 1,3,1000014218,14248,
16.2594,um,Surface,Image 1,3,1000014195,14249,
72.7947,um,Surface,Image 1,3,1000014220,14250,
94.069,um,Surface,Image 1,3,1000014196,14251,
82.8883,um,Surface,Image 1,3,1000014197,14252,
108.161,um,Surface,Image 1,3,1000014223,14253,
99.098,um,Surface,Image 1,3,1000014198,14254,
72.5444,um,Surface,Image 1,3,1000014199,14255,
72.6301,um,Surface,Image 1,3,1000014200,14256,
92.5745,um,Surface,Image 1,3,1000014201,14257,
46.7716,um,Surface,Image 1,3,1000014202,14258,
12.303,um,Surface,Image 1,4,1000014185,14259,
164.776,um,Surface,Image 1,4,1000014184,14260,
130.767,um,Surface,Image 1,4,1000014261,14261,
143.243,um,Surface,Image 1,4,1000014186,14262,
187.729,um,Surface,Image 1,4,1000014187,14263,
