
Intensity Max Ch=6 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
246,,Surface,6,Image 1,1,1000014184,14184,
255,,Surface,6,Image 1,1,1000014185,14185,
255,,Surface,6,Image 1,1,1000014186,14186,
231,,Surface,6,Image 1,1,1000014187,14187,
164,,Surface,6,Image 1,1,1000014188,14188,
255,,Surface,6,Image 1,1,1000014189,14189,
255,,Surface,6,Image 1,1,1000014190,14190,
255,,Surface,6,Image 1,1,1000014191,14191,
255,,Surface,6,Image 1,1,1000014192,14192,
255,,Surface,6,Image 1,1,1000014193,14193,
255,,Surface,6,Image 1,1,1000014194,14194,
251,,Surface,6,Image 1,1,1000014195,14195,
255,,Surface,6,Image 1,1,1000014196,14196,
255,,Surface,6,Image 1,1,1000014197,14197,
255,,Surface,6,Image 1,1,1000014198,14198,
255,,Surface,6,Image 1,1,1000014199,14199,
255,,Surface,6,Image 1,1,1000014200,14200,
255,,Surface,6,Image 1,1,1000014201,14201,
229,,Surface,6,Image 1,1,1000014202,14202,
250,,Surface,6,Image 1,2,1000014185,14203,
255,,Surface,6,Image 1,2,1000014184,14204,
254,,Surface,6,Image 1,2,1000014186,14205,
184,,Surface,6,Image 1,2,1000014187,14206,
255,,Surface,6,Image 1,2,1000014207,14207,
236,,Surface,6,Image 1,2,1000014188,14208,
255,,Surface,6,Image 1,2,1000014189,14209,
254,,Surface,6,Image 1,2,1000014210,14210,
255,,Surface,6,Image 1,2,1000014190,14211,
254,,Surface,6,Image 1,2,1000014212,14212,
255,,Surface,6,Image 1,2,1000014191,14213,
232,,Surface,6,Image 1,2,1000014192,14214,
255,,Surface,6,Image 1,2,1000014193,14215,
158,,Surface,6,Image 1,2,1000014216,14216,
213,,Surface,6,Image 1,2,1000014194,14217,
254,,Surface,6,Image 1,2,1000014218,14218,
240,,Surface,6,Image 1,2,1000014195,14219,
235,,Surface,6,Image 1,2,1000014220,14220,
255,,Surface,6,Image 1,2,1000014196,14221,
255,,Surface,6,Image 1,2,1000014197,14222,
180,,Surface,6,Image 1,2,1000014223,14223,
255,,Surface,6,Image 1,2,1000014199,14224,
254,,Surface,6,Image 1,2,1000014198,14225,
255,,Surface,6,Image 1,2,1000014200,14226,
254,,Surface,6,Image 1,2,1000014201,14227,
240,,Surface,6,Image 1,2,1000014202,14228,
254,,Surface,6,Image 1,3,1000014185,14229,
254,,Surface,6,Image 1,3,1000014184,14230,
254,,Surface,6,Image 1,3,1000014186,14231,
235,,Surface,6,Image 1,3,1000014187,14232,
251,,Surface,6,Image 1,3,1000014233,14233,
255,,Surface,6,Image 1,3,1000014207,14234,
179,,Surface,6,Image 1,3,1000014188,14235,
254,,Surface,6,Image 1,3,1000014236,14236,
255,,Surface,6,Image 1,3,1000014189,14237,
254,,Surface,6,Image 1,3,1000014210,14238,
180,,Surface,6,Image 1,3,1000014239,14239,
255,,Surface,6,Image 1,3,1000014190,14240,
254,,Surface,6,Image 1,3,1000014212,14241,
254,,Surface,6,Image 1,3,1000014242,14242,
