
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
22.3333,,Surface,4,Image 1,1,1000014184,14184,
8.66667,,Surface,4,Image 1,1,1000014185,14185,
0.583333,,Surface,4,Image 1,1,1000014186,14186,
0.142857,,Surface,4,Image 1,1,1000014187,14187,
1.5,,Surface,4,Image 1,1,1000014188,14188,
1.96774,,Surface,4,Image 1,1,1000014189,14189,
14.7,,Surface,4,Image 1,1,1000014190,14190,
7.76744,,Surface,4,Image 1,1,1000014191,14191,
31.1538,,Surface,4,Image 1,1,1000014192,14192,
11.8261,,Surface,4,Image 1,1,1000014193,14193,
84.7895,,Surface,4,Image 1,1,1000014194,14194,
10.72,,Surface,4,Image 1,1,1000014195,14195,
30.8182,,Surface,4,Image 1,1,1000014196,14196,
68.05,,Surface,4,Image 1,1,1000014197,14197,
42.8889,,Surface,4,Image 1,1,1000014198,14198,
30,,Surface,4,Image 1,1,1000014199,14199,
13,,Surface,4,Image 1,1,1000014200,14200,
0.772727,,Surface,4,Image 1,1,1000014201,14201,
255,,Surface,4,Image 1,1,1000014202,14202,
12.5,,Surface,4,Image 1,2,1000014185,14203,
26.95,,Surface,4,Image 1,2,1000014184,14204,
1.16667,,Surface,4,Image 1,2,1000014186,14205,
0,,Surface,4,Image 1,2,1000014187,14206,
38.9184,,Surface,4,Image 1,2,1000014207,14207,
0.923077,,Surface,4,Image 1,2,1000014188,14208,
3.45,,Surface,4,Image 1,2,1000014189,14209,
41.25,,Surface,4,Image 1,2,1000014210,14210,
4.84,,Surface,4,Image 1,2,1000014190,14211,
2.5,,Surface,4,Image 1,2,1000014212,14212,
9.46512,,Surface,4,Image 1,2,1000014191,14213,
25.7407,,Surface,4,Image 1,2,1000014192,14214,
17.2857,,Surface,4,Image 1,2,1000014193,14215,
7.33333,,Surface,4,Image 1,2,1000014216,14216,
57.5714,,Surface,4,Image 1,2,1000014194,14217,
107.563,,Surface,4,Image 1,2,1000014218,14218,
