
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
181.987,,Surface,3,Image 1,1,1000014184,14184,
193.068,,Surface,3,Image 1,1,1000014185,14185,
171.485,,Surface,3,Image 1,1,1000014186,14186,
137.08,,Surface,3,Image 1,1,1000014187,14187,
145,,Surface,3,Image 1,1,1000014188,14188,
244.08,,Surface,3,Image 1,1,1000014189,14189,
222.476,,Surface,3,Image 1,1,1000014190,14190,
189.912,,Surface,3,Image 1,1,1000014191,14191,
177.976,,Surface,3,Image 1,1,1000014192,14192,
190.012,,Surface,3,Image 1,1,1000014193,14193,
148.944,,Surface,3,Image 1,1,1000014194,14194,
151.048,,Surface,3,Image 1,1,1000014195,14195,
254.967,,Surface,3,Image 1,1,1000014196,14196,
230.48,,Surface,3,Image 1,1,1000014197,14197,
180,,Surface,3,Image 1,1,1000014198,14198,
254.982,,Surface,3,Image 1,1,1000014199,14199,
245.527,,Surface,3,Image 1,1,1000014200,14200,
198.048,,Surface,3,Image 1,1,1000014201,14201,
176.489,,Surface,3,Image 1,1,1000014202,14202,
183.52,,Surface,3,Image 1,2,1000014185,14203,
218.992,,Surface,3,Image 1,2,1000014184,14204,
171.036,,Surface,3,Image 1,2,1000014186,14205,
121.052,,Surface,3,Image 1,2,1000014187,14206,
193.063,,Surface,3,Image 1,2,1000014207,14207,
145.952,,Surface,3,Image 1,2,1000014188,14208,
227.028,,Surface,3,Image 1,2,1000014189,14209,
225.458,,Surface,3,Image 1,2,1000014210,14210,
207,,Surface,3,Image 1,2,1000014190,14211,
228.016,,Surface,3,Image 1,2,1000014212,14212,
215.976,,Surface,3,Image 1,2,1000014191,14213,
136.928,,Surface,3,Image 1,2,1000014192,14214,
211.986,,Surface,3,Image 1,2,1000014193,14215,
121.488,,Surface,3,Image 1,2,1000014216,14216,
131.016,,Surface,3,Image 1,2,1000014194,14217,
141.064,,Surface,3,Image 1,2,1000014218,14218,
154.928,,Surface,3,Image 1,2,1000014195,14219,
159.056,,Surface,3,Image 1,2,1000014220,14220,
253.95,,Surface,3,Image 1,2,1000014196,14221,
253.916,,Surface,3,Image 1,2,1000014197,14222,
140,,Surface,3,Image 1,2,1000014223,14223,
254.008,,Surface,3,Image 1,2,1000014199,14224,
184.956,,Surface,3,Image 1,2,1000014198,14225,
254,,Surface,3,Image 1,2,1000014200,14226,
172.06,,Surface,3,Image 1,2,1000014201,14227,
160,,Surface,3,Image 1,2,1000014202,14228,
212.932,,Surface,3,Image 1,3,1000014185,14229,
197,,Surface,3,Image 1,3,1000014184,14230,
187.052,,Surface,3,Image 1,3,1000014186,14231,
132.456,,Surface,3,Image 1,3,1000014187,14232,
152.016,,Surface,3,Image 1,3,1000014233,14233,
199.978,,Surface,3,Image 1,3,1000014207,14234,
140.494,,Surface,3,Image 1,3,1000014188,14235,
125.948,,Surface,3,Image 1,3,1000014236,14236,
225.48,,Surface,3,Image 1,3,1000014189,14237,
219.504,,Surface,3,Image 1,3,1000014210,14238,
