
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
82,,Surface,3,Image 1,1,1000014184,14184,
116,,Surface,3,Image 1,1,1000014185,14185,
103,,Surface,3,Image 1,1,1000014186,14186,
96,,Surface,3,Image 1,1,1000014187,14187,
127,,Surface,3,Image 1,1,1000014188,14188,
118,,Surface,3,Image 1,1,1000014189,14189,
70,,Surface,3,Image 1,1,1000014190,14190,
39,,Surface,3,Image 1,1,1000014191,14191,
104,,Surface,3,Image 1,1,1000014192,14192,
101,,Surface,3,Image 1,1,1000014193,14193,
104,,Surface,3,Image 1,1,1000014194,14194,
67,,Surface,3,Image 1,1,1000014195,14195,
177,,Surface,3,Image 1,1,1000014196,14196,
60,,Surface,3,Image 1,1,1000014197,14197,
58,,Surface,3,Image 1,1,1000014198,14198,
182,,Surface,3,Image 1,1,1000014199,14199,
123,,Surface,3,Image 1,1,1000014200,14200,
70,,Surface,3,Image 1,1,1000014201,14201,
120,,Surface,3,Image 1,1,1000014202,14202,
154,,Surface,3,Image 1,2,1000014185,14203,
105,,Surface,3,Image 1,2,1000014184,14204,
120,,Surface,3,Image 1,2,1000014186,14205,
86,,Surface,3,Image 1,2,1000014187,14206,
71,,Surface,3,Image 1,2,1000014207,14207,
120,,Surface,3,Image 1,2,1000014188,14208,
121,,Surface,3,Image 1,2,1000014189,14209,
146,,Surface,3,Image 1,2,1000014210,14210,
62,,Surface,3,Image 1,2,1000014190,14211,
146,,Surface,3,Image 1,2,1000014212,14212,
86,,Surface,3,Image 1,2,1000014191,14213,
87,,Surface,3,Image 1,2,1000014192,14214,
89,,Surface,3,Image 1,2,1000014193,14215,
77,,Surface,3,Image 1,2,1000014216,14216,
122,,Surface,3,Image 1,2,1000014194,14217,
28,,Surface,3,Image 1,2,1000014218,14218,
86,,Surface,3,Image 1,2,1000014195,14219,
76,,Surface,3,Image 1,2,1000014220,14220,
141,,Surface,3,Image 1,2,1000014196,14221,
146,,Surface,3,Image 1,2,1000014197,14222,
130,,Surface,3,Image 1,2,1000014223,14223,
140,,Surface,3,Image 1,2,1000014199,14224,
41,,Surface,3,Image 1,2,1000014198,14225,
143,,Surface,3,Image 1,2,1000014200,14226,
78,,Surface,3,Image 1,2,1000014201,14227,
102,,Surface,3,Image 1,2,1000014202,14228,
118,,Surface,3,Image 1,3,1000014185,14229,
107,,Surface,3,Image 1,3,1000014184,14230,
96,,Surface,3,Image 1,3,1000014186,14231,
74,,Surface,3,Image 1,3,1000014187,14232,
107,,Surface,3,Image 1,3,1000014233,14233,
94,,Surface,3,Image 1,3,1000014207,14234,
53,,Surface,3,Image 1,3,1000014188,14235,
81,,Surface,3,Image 1,3,1000014236,14236,
126,,Surface,3,Image 1,3,1000014189,14237,
176,,Surface,3,Image 1,3,1000014210,14238,
117,,Surface,3,Image 1,3,1000014239,14239,
87,,Surface,3,Image 1,3,1000014190,14240,
180,,Surface,3,Image 1,3,1000014212,14241,
125,,Surface,3,Image 1,3,1000014242,14242,
38,,Surface,3,Image 1,3,1000014191,14243,
94,,Surface,3,Image 1,3,1000014192,14244,
118,,Surface,3,Image 1,3,1000014193,14245,
98,,Surface,3,Image 1,3,1000014216,14246,
122,,Surface,3,Image 1,3,1000014194,14247,
