
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
13.0469,,Surface,4,Image 1,1,1000014184,14184,
7.37865,,Surface,4,Image 1,1,1000014185,14185,
2.79757,,Surface,4,Image 1,1,1000014186,14186,
0.638877,,Surface,4,Image 1,1,1000014187,14187,
1.65831,,Surface,4,Image 1,1,1000014188,14188,
4.47563,,Surface,4,Image 1,1,1000014189,14189,
25.5188,,Surface,4,Image 1,1,1000014190,14190,
10.8431,,Surface,4,Image 1,1,1000014191,14191,
22.0053,,Surface,4,Image 1,1,1000014192,14192,
10.6919,,Surface,4,Image 1,1,1000014193,14193,
43.0698,,Surface,4,Image 1,1,1000014194,14194,
15.1961,,Surface,4,Image 1,1,1000014195,14195,
16.2078,,Surface,4,Image 1,1,1000014196,14196,
38.8143,,Surface,4,Image 1,1,1000014197,14197,
28.549,,Surface,4,Image 1,1,1000014198,14198,
26.1151,,Surface,4,Image 1,1,1000014199,14199,
15.2398,,Surface,4,Image 1,1,1000014200,14200,
1.9053,,Surface,4,Image 1,1,1000014201,14201,
0,,Surface,4,Image 1,1,1000014202,14202,
10.9087,,Surface,4,Image 1,2,1000014185,14203,
16.3324,,Surface,4,Image 1,2,1000014184,14204,
3.40343,,Surface,4,Image 1,2,1000014186,14205,
0,,Surface,4,Image 1,2,1000014187,14206,
27.5902,,Surface,4,Image 1,2,1000014207,14207,
2.16481,,Surface,4,Image 1,2,1000014188,14208,
7.61233,,Surface,4,Image 1,2,1000014189,14209,
6.0156,,Surface,4,Image 1,2,1000014210,14210,
10.1811,,Surface,4,Image 1,2,1000014190,14211,
3.64005,,Surface,4,Image 1,2,1000014212,14212,
12.7723,,Surface,4,Image 1,2,1000014191,14213,
23.3152,,Surface,4,Image 1,2,1000014192,14214,
14.895,,Surface,4,Image 1,2,1000014193,14215,
10.2171,,Surface,4,Image 1,2,1000014216,14216,
32.7757,,Surface,4,Image 1,2,1000014194,14217,
32.5768,,Surface,4,Image 1,2,1000014218,14218,
13.7965,,Surface,4,Image 1,2,1000014195,14219,
10.2425,,Surface,4,Image 1,2,1000014220,14220,
17.484,,Surface,4,Image 1,2,1000014196,14221,
39.0827,,Surface,4,Image 1,2,1000014197,14222,
22.8722,,Surface,4,Image 1,2,1000014223,14223,
60.547,,Surface,4,Image 1,2,1000014199,14224,
21.7965,,Surface,4,Image 1,2,1000014198,14225,
37.7401,,Surface,4,Image 1,2,1000014200,14226,
5.56327,,Surface,4,Image 1,2,1000014201,14227,
0,,Surface,4,Image 1,2,1000014202,14228,
10.0308,,Surface,4,Image 1,3,1000014185,14229,
28.4264,,Surface,4,Image 1,3,1000014184,14230,
2.31391,,Surface,4,Image 1,3,1000014186,14231,
2.42804,,Surface,4,Image 1,3,1000014187,14232,
9.39496,,Surface,4,Image 1,3,1000014233,14233,
26.0978,,Surface,4,Image 1,3,1000014207,14234,
0.661438,,Surface,4,Image 1,3,1000014188,14235,
14.7784,,Surface,4,Image 1,3,1000014236,14236,
9.96243,,Surface,4,Image 1,3,1000014189,14237,
18.7298,,Surface,4,Image 1,3,1000014210,14238,
0,,Surface,4,Image 1,3,1000014239,14239,
9.19388,,Surface,4,Image 1,3,1000014190,14240,
1.11803,,Surface,4,Image 1,3,1000014212,14241,
7.7603,,Surface,4,Image 1,3,1000014242,14242,
10.6194,,Surface,4,Image 1,3,1000014191,14243,
13.6443,,Surface,4,Image 1,3,1000014192,14244,
12.2336,,Surface,4,Image 1,3,1000014193,14245,
5.65657,,Surface,4,Image 1,3,1000014216,14246,
23.6577,,Surface,4,Image 1,3,1000014194,14247,
37.2236,,Surface,4,Image 1,3,1000014218,14248,
7.91612,,Surface,4,Image 1,3,1000014195,14249,
12.7838,,Surface,4,Image 1,3,1000014220,14250,
19.6746,,Surface,4,Image 1,3,1000014196,14251,
42.7255,,Surface,4,Image 1,3,1000014197,14252,
13.0764,,Surface,4,Image 1,3,1000014223,14253,
22.3878,,Surface,4,Image 1,3,1000014198,14254,
30.8585,,Surface,4,Image 1,3,1000014199,14255,
27.8958,,Surface,4,Image 1,3,1000014200,14256,
0.728431,,Surface,4,Image 1,3,1000014201,14257,
0,,Surface,4,Image 1,3,1000014202,14258,
11.2257,,Surface,4,Image 1,4,1000014185,14259,
13.8863,,Surface,4,Image 1,4,1000014184,14260,
1.67705,,Surface,4,Image 1,4,1000014261,14261,
2.50429,,Surface,4,Image 1,4,1000014186,14262,
1.80754,,Surface,4,Image 1,4,1000014187,14263,
15.6369,,Surface,4,Image 1,4,1000014233,14264,
27.8586,,Surface,4,Image 1,4,1000014207,14265,
0,,Surface,4,Image 1,4,1000014188,14266,
11.6803,,Surface,4,Image 1,4,1000014236,14267,
4.96795,,Surface,4,Image 1,4,1000014189,14268,
25.6609,,Surface,4,Image 1,4,1000014210,14269,
39.6883,,Surface,4,Image 1,4,1000014190,14270,
0,,Surface,4,Image 1,4,1000014239,14271,
3.57849,,Surface,4,Image 1,4,1000014212,14272,
7.73886,,Surface,4,Image 1,4,1000014242,14273,
12.4947,,Surface,4,Image 1,4,1000014191,14274,
11.4115,,Surface,4,Image 1,4,1000014275,14275,
21.7361,,Surface,4,Image 1,4,1000014192,14276,
15.4348,,Surface,4,Image 1,4,1000014193,14277,
10.2051,,Surface,4,Image 1,4,1000014216,14278,
16.3095,,Surface,4,Image 1,4,1000014194,14279,
48.4038,,Surface,4,Image 1,4,1000014218,14280,
4.24264,,Surface,4,Image 1,4,1000014195,14281,
4.61143,,Surface,4,Image 1,4,1000014220,14282,
20.0576,,Surface,4,Image 1,4,1000014196,14283,
14.8408,,Surface,4,Image 1,4,1000014197,14284,
22.6083,,Surface,4,Image 1,4,1000014223,14285,
17.9875,,Surface,4,Image 1,4,1000014199,14286,
18.6143,,Surface,4,Image 1,4,1000014198,14287,
4.7909,,Surface,4,Image 1,4,1000014288,14288,
8.87725,,Surface,4,Image 1,4,1000014289,14289,
22.9,,Surface,4,Image 1,4,1000014200,14290,
2.51416,,Surface,4,Image 1,4,1000014201,14291,
0,,Surface,4,Image 1,4,1000014202,14292,
14.4664,,Surface,4,Image 1,5,1000014184,14293,
18.1625,,Surface,4,Image 1,5,1000014185,14294,
0.458123,,Surface,4,Image 1,5,1000014261,14295,
6.15992,,Surface,4,Image 1,5,1000014186,14296,
2.39559,,Surface,4,Image 1,5,1000014187,14297,
11.3497,,Surface,4,Image 1,5,1000014298,14298,
18.8331,,Surface,4,Image 1,5,1000014299,14299,
16.1982,,Surface,4,Image 1,5,1000014233,14300,
30.9919,,Surface,4,Image 1,5,1000014207,14301,
37.1626,,Surface,4,Image 1,5,1000014302,14302,
16.399,,Surface,4,Image 1,5,1000014236,14303,
0.62361,,Surface,4,Image 1,5,1000014304,14304,
7.5562,,Surface,4,Image 1,5,1000014189,14305,
9.64572,,Surface,4,Image 1,5,1000014210,14306,
2.66469,,Surface,4,Image 1,5,1000014239,14307,
38.9286,,Surface,4,Image 1,5,1000014190,14308,
0,,Surface,4,Image 1,5,1000014212,14309,
9.62497,,Surface,4,Image 1,5,1000014242,14310,
8.87124,,Surface,4,Image 1,5,1000014191,14311,
15.3847,,Surface,4,Image 1,5,1000014275,14312,
15.2493,,Surface,4,Image 1,5,1000014192,14313,
11.6048,,Surface,4,Image 1,5,1000014193,14314,
6.76037,,Surface,4,Image 1,5,1000014216,14315,
6.54896,,Surface,4,Image 1,5,1000014194,14316,
30.7538,,Surface,4,Image 1,5,1000014218,14317,
0,,Surface,4,Image 1,5,1000014220,14318,
9.54987,,Surface,4,Image 1,5,1000014196,14319,
12.8101,,Surface,4,Image 1,5,1000014197,14320,
14.6561,,Surface,4,Image 1,5,1000014223,14321,
11.0012,,Surface,4,Image 1,5,1000014288,14322,
55.1565,,Surface,4,Image 1,5,1000014199,14323,
22.3331,,Surface,4,Image 1,5,1000014198,14324,
11.0526,,Surface,4,Image 1,5,1000014289,14325,
55.4607,,Surface,4,Image 1,5,1000014200,14326,
11.12,,Surface,4,Image 1,5,1000014201,14327,
0,,Surface,4,Image 1,5,1000014202,14328,
0,,Surface,4,Image 1,6,1000014329,14329,
7.4201,,Surface,4,Image 1,6,1000014185,14330,
1.64916,,Surface,4,Image 1,6,1000014331,14331,
18.6351,,Surface,4,Image 1,6,1000014184,14332,
6.05758,,Surface,4,Image 1,6,1000014261,14333,
1.26304,,Surface,4,Image 1,6,1000014187,14334,
12.4423,,Surface,4,Image 1,6,1000014298,14335,
23.6521,,Surface,4,Image 1,6,1000014299,14336,
17.0498,,Surface,4,Image 1,6,1000014233,14337,
24.8111,,Surface,4,Image 1,6,1000014207,14338,
40.7402,,Surface,4,Image 1,6,1000014302,14339,
12.7092,,Surface,4,Image 1,6,1000014236,14340,
2.46257,,Surface,4,Image 1,6,1000014304,14341,
0,,Surface,4,Image 1,6,1000014189,14342,
9.82344,,Surface,4,Image 1,6,1000014210,14343,
4.31629,,Surface,4,Image 1,6,1000014239,14344,
0.8,,Surface,4,Image 1,6,1000014212,14345,
31.887,,Surface,4,Image 1,6,1000014190,14346,
12.911,,Surface,4,Image 1,6,1000014242,14347,
18.8503,,Surface,4,Image 1,6,1000014275,14348,
18.314,,Surface,4,Image 1,6,1000014193,14349,
10.0671,,Surface,4,Image 1,6,1000014350,14350,
10.9939,,Surface,4,Image 1,6,1000014216,14351,
25.7612,,Surface,4,Image 1,6,1000014218,14352,
14.827,,Surface,4,Image 1,6,1000014353,14353,
29.3056,,Surface,4,Image 1,6,1000014196,14354,
18.3524,,Surface,4,Image 1,6,1000014197,14355,
19.1311,,Surface,4,Image 1,6,1000014198,14356,
49.7664,,Surface,4,Image 1,6,1000014199,14357,
9.63789,,Surface,4,Image 1,6,1000014289,14358,
7.84595,,Surface,4,Image 1,6,1000014288,14359,
