
Intensity Sum Ch=1 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
29,,Surface,1,Image 1,1,1000014184,14184,
7,,Surface,1,Image 1,1,1000014185,14185,
0,,Surface,1,Image 1,1,1000014186,14186,
0,,Surface,1,Image 1,1,1000014187,14187,
0,,Surface,1,Image 1,1,1000014188,14188,
0,,Surface,1,Image 1,1,1000014189,14189,
85,,Surface,1,Image 1,1,1000014190,14190,
13,,Surface,1,Image 1,1,1000014191,14191,
463,,Surface,1,Image 1,1,1000014192,14192,
45,,Surface,1,Image 1,1,1000014193,14193,
823,,Surface,1,Image 1,1,1000014194,14194,
111,,Surface,1,Image 1,1,1000014195,14195,
113,,Surface,1,Image 1,1,1000014196,14196,
470,,Surface,1,Image 1,1,1000014197,14197,
540,,Surface,1,Image 1,1,1000014198,14198,
16,,Surface,1,Image 1,1,1000014199,14199,
4,,Surface,1,Image 1,1,1000014200,14200,
0,,Surface,1,Image 1,1,1000014201,14201,
1020,,Surface,1,Image 1,1,1000014202,14202,
27,,Surface,1,Image 1,2,1000014185,14203,
133,,Surface,1,Image 1,2,1000014184,14204,
0,,Surface,1,Image 1,2,1000014186,14205,
0,,Surface,1,Image 1,2,1000014187,14206,
596,,Surface,1,Image 1,2,1000014207,14207,
0,,Surface,1,Image 1,2,1000014188,14208,
0,,Surface,1,Image 1,2,1000014189,14209,
46,,Surface,1,Image 1,2,1000014210,14210,
24,,Surface,1,Image 1,2,1000014190,14211,
0,,Surface,1,Image 1,2,1000014212,14212,
18,,Surface,1,Image 1,2,1000014191,14213,
237,,Surface,1,Image 1,2,1000014192,14214,
53,,Surface,1,Image 1,2,1000014193,14215,
0,,Surface,1,Image 1,2,1000014216,14216,
240,,Surface,1,Image 1,2,1000014194,14217,
624,,Surface,1,Image 1,2,1000014218,14218,
109,,Surface,1,Image 1,2,1000014195,14219,
21,,Surface,1,Image 1,2,1000014220,14220,
141,,Surface,1,Image 1,2,1000014196,14221,
391,,Surface,1,Image 1,2,1000014197,14222,
9,,Surface,1,Image 1,2,1000014223,14223,
251,,Surface,1,Image 1,2,1000014199,14224,
649,,Surface,1,Image 1,2,1000014198,14225,
61,,Surface,1,Image 1,2,1000014200,14226,
9,,Surface,1,Image 1,2,1000014201,14227,
1530,,Surface,1,Image 1,2,1000014202,14228,
10,,Surface,1,Image 1,3,1000014185,14229,
63,,Surface,1,Image 1,3,1000014184,14230,
5,,Surface,1,Image 1,3,1000014186,14231,
0,,Surface,1,Image 1,3,1000014187,14232,
87,,Surface,1,Image 1,3,1000014233,14233,
328,,Surface,1,Image 1,3,1000014207,14234,
0,,Surface,1,Image 1,3,1000014188,14235,
47,,Surface,1,Image 1,3,1000014236,14236,
0,,Surface,1,Image 1,3,1000014189,14237,
54,,Surface,1,Image 1,3,1000014210,14238,
0,,Surface,1,Image 1,3,1000014239,14239,
27,,Surface,1,Image 1,3,1000014190,14240,
0,,Surface,1,Image 1,3,1000014212,14241,
6,,Surface,1,Image 1,3,1000014242,14242,
44,,Surface,1,Image 1,3,1000014191,14243,
87,,Surface,1,Image 1,3,1000014192,14244,
53,,Surface,1,Image 1,3,1000014193,14245,
12,,Surface,1,Image 1,3,1000014216,14246,
117,,Surface,1,Image 1,3,1000014194,14247,
1121,,Surface,1,Image 1,3,1000014218,14248,
0,,Surface,1,Image 1,3,1000014195,14249,
6,,Surface,1,Image 1,3,1000014220,14250,
105,,Surface,1,Image 1,3,1000014196,14251,
195,,Surface,1,Image 1,3,1000014197,14252,
129,,Surface,1,Image 1,3,1000014223,14253,
321,,Surface,1,Image 1,3,1000014198,14254,
186,,Surface,1,Image 1,3,1000014199,14255,
123,,Surface,1,Image 1,3,1000014200,14256,
0,,Surface,1,Image 1,3,1000014201,14257,
765,,Surface,1,Image 1,3,1000014202,14258,
11,,Surface,1,Image 1,4,1000014185,14259,
102,,Surface,1,Image 1,4,1000014184,14260,
0,,Surface,1,Image 1,4,1000014261,14261,
0,,Surface,1,Image 1,4,1000014186,14262,
0,,Surface,1,Image 1,4,1000014187,14263,
121,,Surface,1,Image 1,4,1000014233,14264,
397,,Surface,1,Image 1,4,1000014207,14265,
0,,Surface,1,Image 1,4,1000014188,14266,
73,,Surface,1,Image 1,4,1000014236,14267,
0,,Surface,1,Image 1,4,1000014189,14268,
208,,Surface,1,Image 1,4,1000014210,14269,
538,,Surface,1,Image 1,4,1000014190,14270,
0,,Surface,1,Image 1,4,1000014239,14271,
0,,Surface,1,Image 1,4,1000014212,14272,
20,,Surface,1,Image 1,4,1000014242,14273,
30,,Surface,1,Image 1,4,1000014191,14274,
39,,Surface,1,Image 1,4,1000014275,14275,
121,,Surface,1,Image 1,4,1000014192,14276,
