
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,TrackID,ID,
1,,Surface,1,1000014184,14184,
1,,Surface,1,1000014185,14185,
1,,Surface,1,1000014186,14186,
1,,Surface,1,1000014187,14187,
1,,Surface,1,1000014188,14188,
1,,Surface,1,1000014189,14189,
1,,Surface,1,1000014190,14190,
1,,Surface,1,1000014191,14191,
1,,Surface,1,1000014192,14192,
1,,Surface,1,1000014193,14193,
1,,Surface,1,1000014194,14194,
1,,Surface,1,1000014195,14195,
1,,Surface,1,1000014196,14196,
1,,Surface,1,1000014197,14197,
1,,Surface,1,1000014198,14198,
1,,Surface,1,1000014199,14199,
1,,Surface,1,1000014200,14200,
1,,Surface,1,1000014201,14201,
1,,Surface,1,1000014202,14202,
1,,Surface,2,1000014185,14203,
1,,Surface,2,1000014184,14204,
1,,Surface,2,1000014186,14205,
1,,Surface,2,1000014187,14206,
1,,Surface,2,1000014207,14207,
1,,Surface,2,1000014188,14208,
1,,Surface,2,1000014189,14209,
1,,Surface,2,1000014210,14210,
1,,Surface,2,1000014190,14211,
1,,Surface,2,1000014212,14212,
1,,Surface,2,1000014191,14213,
1,,Surface,2,1000014192,14214,
1,,Surface,2,1000014193,14215,
1,,Surface,2,1000014216,14216,
1,,Surface,2,1000014194,14217,
1,,Surface,2,1000014218,14218,
1,,Surface,2,1000014195,14219,
1,,Surface,2,1000014220,14220,
1,,Surface,2,1000014196,14221,
1,,Surface,2,1000014197,14222,
1,,Surface,2,1000014223,14223,
1,,Surface,2,1000014199,14224,
1,,Surface,2,1000014198,14225,
1,,Surface,2,1000014200,14226,
1,,Surface,2,1000014201,14227,
1,,Surface,2,1000014202,14228,
1,,Surface,3,1000014185,14229,
1,,Surface,3,1000014184,14230,
1,,Surface,3,1000014186,14231,
1,,Surface,3,1000014187,14232,
1,,Surface,3,1000014233,14233,
1,,Surface,3,1000014207,14234,
1,,Surface,3,1000014188,14235,
1,,Surface,3,1000014236,14236,
1,,Surface,3,1000014189,14237,
1,,Surface,3,1000014210,14238,
1,,Surface,3,1000014239,14239,
1,,Surface,3,1000014190,14240,
1,,Surface,3,1000014212,14241,
1,,Surface,3,1000014242,14242,
1,,Surface,3,1000014191,14243,
1,,Surface,3,1000014192,14244,
1,,Surface,3,1000014193,14245,
1,,Surface,3,1000014216,14246,
1,,Surface,3,1000014194,14247,
1,,Surface,3,1000014218,14248,
1,,Surface,3,1000014195,14249,
1,,Surface,3,1000014220,14250,
1,,Surface,3,1000014196,14251,
1,,Surface,3,1000014197,14252,
1,,Surface,3,1000014223,14253,
1,,Surface,3,1000014198,14254,
1,,Surface,3,1000014199,14255,
1,,Surface,3,1000014200,14256,
1,,Surface,3,1000014201,14257,
1,,Surface,3,1000014202,14258,
1,,Surface,4,1000014185,14259,
1,,Surface,4,1000014184,14260,
1,,Surface,4,1000014261,14261,
1,,Surface,4,1000014186,14262,
1,,Surface,4,1000014187,14263,
1,,Surface,4,1000014233,14264,
1,,Surface,4,1000014207,14265,
1,,Surface,4,1000014188,14266,
1,,Surface,4,1000014236,14267,
1,,Surface,4,1000014189,14268,
1,,Surface,4,1000014210,14269,
1,,Surface,4,1000014190,14270,
1,,Surface,4,1000014239,14271,
1,,Surface,4,1000014212,14272,
1,,Surface,4,1000014242,14273,
1,,Surface,4,1000014191,14274,
1,,Surface,4,1000014275,14275,
1,,Surface,4,1000014192,14276,
1,,Surface,4,1000014193,14277,
1,,Surface,4,1000014216,14278,
1,,Surface,4,1000014194,14279,
1,,Surface,4,1000014218,14280,
1,,Surface,4,1000014195,14281,
1,,Surface,4,1000014220,14282,
1,,Surface,4,1000014196,14283,
1,,Surface,4,1000014197,14284,
1,,Surface,4,1000014223,14285,
1,,Surface,4,1000014199,14286,
1,,Surface,4,1000014198,14287,
1,,Surface,4,1000014288,14288,
1,,Surface,4,1000014289,14289,
1,,Surface,4,1000014200,14290,
1,,Surface,4,1000014201,14291,
1,,Surface,4,1000014202,14292,
1,,Surface,5,1000014184,14293,
1,,Surface,5,1000014185,14294,
1,,Surface,5,1000014261,14295,
1,,Surface,5,1000014186,14296,
1,,Surface,5,1000014187,14297,
1,,Surface,5,1000014298,14298,
1,,Surface,5,1000014299,14299,
1,,Surface,5,1000014233,14300,
1,,Surface,5,1000014207,14301,
1,,Surface,5,1000014302,14302,
1,,Surface,5,1000014236,14303,
1,,Surface,5,1000014304,14304,
1,,Surface,5,1000014189,14305,
1,,Surface,5,1000014210,14306,
1,,Surface,5,1000014239,14307,
1,,Surface,5,1000014190,14308,
1,,Surface,5,1000014212,14309,
1,,Surface,5,1000014242,14310,
1,,Surface,5,1000014191,14311,
1,,Surface,5,1000014275,14312,
1,,Surface,5,1000014192,14313,
1,,Surface,5,1000014193,14314,
1,,Surface,5,1000014216,14315,
1,,Surface,5,1000014194,14316,
1,,Surface,5,1000014218,14317,
1,,Surface,5,1000014220,14318,
1,,Surface,5,1000014196,14319,
1,,Surface,5,1000014197,14320,
1,,Surface,5,1000014223,14321,
1,,Surface,5,1000014288,14322,
1,,Surface,5,1000014199,14323,
1,,Surface,5,1000014198,14324,
1,,Surface,5,1000014289,14325,
1,,Surface,5,1000014200,14326,
1,,Surface,5,1000014201,14327,
1,,Surface,5,1000014202,14328,
1,,Surface,6,1000014329,14329,
1,,Surface,6,1000014185,14330,
1,,Surface,6,1000014331,14331,
1,,Surface,6,1000014184,14332,
1,,Surface,6,1000014261,14333,
1,,Surface,6,1000014187,14334,
1,,Surface,6,1000014298,14335,
1,,Surface,6,1000014299,14336,
1,,Surface,6,1000014233,14337,
1,,Surface,6,1000014207,14338,
1,,Surface,6,1000014302,14339,
1,,Surface,6,1000014236,14340,
1,,Surface,6,1000014304,14341,
1,,Surface,6,1000014189,14342,
1,,Surface,6,1000014210,14343,
1,,Surface,6,1000014239,14344,
1,,Surface,6,1000014212,14345,
1,,Surface,6,1000014190,14346,
1,,Surface,6,1000014242,14347,
1,,Surface,6,1000014275,14348,
1,,Surface,6,1000014193,14349,
1,,Surface,6,1000014350,14350,
1,,Surface,6,1000014216,14351,
1,,Surface,6,1000014218,14352,
1,,Surface,6,1000014353,14353,
1,,Surface,6,1000014196,14354,
1,,Surface,6,1000014197,14355,
1,,Surface,6,1000014198,14356,
1,,Surface,6,1000014199,14357,
1,,Surface,6,1000014289,14358,
1,,Surface,6,1000014288,14359,
1,,Surface,6,1000014200,14360,
1,,Surface,6,1000014201,14361,
1,,Surface,6,1000014202,14362,
1,,Surface,7,1000014185,14363,
1,,Surface,7,1000014329,14364,
1,,Surface,7,1000014331,14365,
1,,Surface,7,1000014184,14366,
1,,Surface,7,1000014187,14367,
1,,Surface,7,1000014261,14368,
1,,Surface,7,1000014298,14369,
1,,Surface,7,1000014299,14370,
1,,Surface,7,1000014207,14371,
1,,Surface,7,1000014233,14372,
1,,Surface,7,1000014302,14373,
1,,Surface,7,1000014304,14374,
1,,Surface,7,1000014189,14375,
1,,Surface,7,1000014239,14376,
1,,Surface,7,1000014190,14377,
1,,Surface,7,1000014212,14378,
1,,Surface,7,1000014275,14379,
1,,Surface,7,1000014193,14380,
1,,Surface,7,1000014350,14381,
1,,Surface,7,1000014216,14382,
1,,Surface,7,1000014218,14383,
1,,Surface,7,1000014353,14384,
1,,Surface,7,1000014197,14385,
1,,Surface,7,1000014199,14386,
1,,Surface,7,1000014289,14387,
1,,Surface,7,1000014198,14388,
1,,Surface,7,1000014288,14389,
1,,Surface,7,1000014200,14390,
1,,Surface,7,1000014201,14391,
1,,Surface,8,1000014184,14392,
1,,Surface,8,1000014331,14393,
1,,Surface,8,1000014394,14394,
1,,Surface,8,1000014329,14395,
1,,Surface,8,1000014185,14396,
1,,Surface,8,1000014397,14397,
1,,Surface,8,1000014298,14398,
1,,Surface,8,1000014299,14399,
1,,Surface,8,1000014400,14400,
1,,Surface,8,1000014233,14401,
1,,Surface,8,1000014402,14402,
1,,Surface,8,1000014302,14403,
1,,Surface,8,1000014304,14404,
1,,Surface,8,1000014189,14405,
1,,Surface,8,1000014239,14406,
1,,Surface,8,1000014407,14407,
1,,Surface,8,1000014193,14408,
1,,Surface,8,1000014350,14409,
1,,Surface,8,1000014216,14410,
1,,Surface,8,1000014218,14411,
1,,Surface,8,1000014412,14412,
1,,Surface,8,1000014353,14413,
1,,Surface,8,1000014414,14414,
1,,Surface,8,1000014197,14415,
1,,Surface,8,1000014289,14416,
1,,Surface,8,1000014199,14417,
1,,Surface,8,1000014198,14418,
1,,Surface,8,1000014200,14419,
1,,Surface,8,1000014201,14420,
1,,Surface,9,1000014298,14421,
1,,Surface,9,1000014422,14422,
1,,Surface,9,1000014397,14423,
1,,Surface,9,1000014184,14424,
1,,Surface,9,1000014394,14425,
1,,Surface,9,1000014331,14426,
1,,Surface,9,1000014329,14427,
1,,Surface,9,1000014185,14428,
1,,Surface,9,1000014299,14429,
1,,Surface,9,1000014430,14430,
1,,Surface,9,1000014400,14431,
1,,Surface,9,1000014402,14432,
1,,Surface,9,1000014433,14433,
1,,Surface,9,1000014304,14434,
1,,Surface,9,1000014189,14435,
1,,Surface,9,1000014436,14436,
1,,Surface,9,1000014407,14437,
1,,Surface,9,1000014438,14438,
1,,Surface,9,1000014439,14439,
1,,Surface,9,1000014440,14440,
1,,Surface,9,1000014193,14441,
1,,Surface,9,1000014350,14442,
1,,Surface,9,1000014412,14443,
1,,Surface,9,1000014353,14444,
1,,Surface,9,1000014414,14445,
1,,Surface,9,1000014197,14446,
1,,Surface,9,1000014447,14447,
1,,Surface,9,1000014199,14448,
1,,Surface,9,1000014289,14449,
1,,Surface,9,1000014198,14450,
1,,Surface,9,1000014200,14451,
1,,Surface,9,1000014201,14452,
1,,Surface,9,1000014453,14453,
1,,Surface,10,1000014430,14454,
1,,Surface,10,1000014298,14455,
1,,Surface,10,1000014422,14456,
1,,Surface,10,1000014397,14457,
1,,Surface,10,1000014184,14458,
1,,Surface,10,1000014459,14459,
1,,Surface,10,1000014394,14460,
1,,Surface,10,1000014331,14461,
1,,Surface,10,1000014185,14462,
1,,Surface,10,1000014299,14463,
1,,Surface,10,1000014400,14464,
1,,Surface,10,1000014465,14465,
1,,Surface,10,1000014402,14466,
1,,Surface,10,1000014433,14467,
1,,Surface,10,1000014189,14468,
1,,Surface,10,1000014436,14469,
1,,Surface,10,1000014470,14470,
1,,Surface,10,1000014407,14471,
1,,Surface,10,1000014438,14472,
1,,Surface,10,1000014439,14473,
1,,Surface,10,1000014440,14474,
1,,Surface,10,1000014193,14475,
1,,Surface,10,1000014350,14476,
1,,Surface,10,1000014412,14477,
1,,Surface,10,1000014353,14478,
1,,Surface,10,1000014414,14479,
1,,Surface,10,1000014197,14480,
1,,Surface,10,1000014447,14481,
1,,Surface,10,1000014199,14482,
1,,Surface,10,1000014198,14483,
1,,Surface,10,1000014200,14484,
1,,Surface,10,1000014201,14485,
1,,Surface,10,1000014453,14486,
1,,Surface,11,1000014465,14487,
1,,Surface,11,1000014400,14488,
1,,Surface,11,1000014298,14489,
1,,Surface,11,1000014299,14490,
1,,Surface,11,1000014430,14491,
1,,Surface,11,1000014422,14492,
1,,Surface,11,1000014493,14493,
1,,Surface,11,1000014397,14494,
1,,Surface,11,1000014184,14495,
1,,Surface,11,1000014459,14496,
1,,Surface,11,1000014394,14497,
1,,Surface,11,1000014331,14498,
1,,Surface,11,1000014185,14499,
1,,Surface,11,1000014402,14500,
1,,Surface,11,1000014501,14501,
1,,Surface,11,1000014433,14502,
