
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Disconnected Components per Time Point,19,,1,,
Number of Disconnected Components per Time Point,26,,2,,
Number of Disconnected Components per Time Point,30,,3,,
Number of Disconnected Components per Time Point,34,,4,,
Number of Disconnected Components per Time Point,36,,5,,
Number of Disconnected Components per Time Point,34,,6,,
Number of Disconnected Components per Time Point,29,,7,,
Number of Disconnected Components per Time Point,29,,8,,
Number of Disconnected Components per Time Point,33,,9,,
Number of Disconnected Components per Time Point,33,,10,,
Number of Disconnected Components per Time Point,35,,11,,
Number of Disconnected Components per Time Point,34,,12,,
Number of Disconnected Components per Time Point,30,,13,,
Number of Disconnected Components per Time Point,30,,14,,
Number of Disconnected Components per Time Point,27,,15,,
Number of Disconnected Components per Time Point,33,,16,,
Number of Disconnected Components per Time Point,29,,17,,
Number of Disconnected Components per Time Point,28,,18,,
Number of Disconnected Components per Time Point,32,,19,,
Number of Disconnected Components per Time Point,33,,20,,
Number of Disconnected Components per Time Point,37,,21,,
Number of Disconnected Components per Time Point,38,,22,,
Number of Disconnected Components per Time Point,33,,23,,
Number of Disconnected Components per Time Point,31,,24,,
Number of Disconnected Components per Time Point,33,,25,,
Number of Disconnected Components per Time Point,32,,26,,
Number of Disconnected Components per Time Point,34,,27,,
Number of Disconnected Components per Time Point,32,,28,,
Number of Disconnected Components per Time Point,33,,29,,
Number of Disconnected Components per Time Point,33,,30,,
Number of Disconnected Components per Time Point,33,,31,,
Number of Disconnected Components per Time Point,36,,32,,
Number of Disconnected Components per Time Point,46,,33,,
Number of Disconnected Components per Time Point,49,,34,,
Number of Disconnected Components per Time Point,46,,35,,
Number of Disconnected Components per Time Point,44,,36,,
Number of Disconnected Components per Time Point,46,,37,,
Number of Disconnected Components per Time Point,45,,38,,
Number of Disconnected Components per Time Point,44,,39,,
Number of Disconnected Components per Time Point,41,,40,,
Number of Disconnected Components per Time Point,41,,41,,
Number of Disconnected Components per Time Point,38,,42,,
