
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
181.828,241.192,43.5,um,Surface,Position,1,1000014184,14184,
140.638,393.869,52.1667,um,Surface,Position,1,1000014185,14185,
150.728,263.748,42.75,um,Surface,Position,1,1000014186,14186,
221.701,187.067,52.5,um,Surface,Position,1,1000014187,14187,
352.447,35.909,37.5,um,Surface,Position,1,1000014188,14188,
194.858,160.71,29.9516,um,Surface,Position,1,1000014189,14189,
284.144,51.947,52.3,um,Surface,Position,1,1000014190,14190,
44.6316,271.835,1.77907,um,Surface,Position,1,1000014191,14191,
127.722,178.177,11.7308,um,Surface,Position,1,1000014192,14192,
80.0845,219.605,14.2826,um,Surface,Position,1,1000014193,14193,
116.39,169.265,6.55263,um,Surface,Position,1,1000014194,14194,
262.712,3.38751,9.78,um,Surface,Position,1,1000014195,14195,
89.7818,151.675,14.5909,um,Surface,Position,1,1000014196,14196,
152.395,61.3982,19.35,um,Surface,Position,1,1000014197,14197,
95.7803,105.029,12,um,Surface,Position,1,1000014198,14198,
66.6703,123.627,31.5,um,Surface,Position,1,1000014199,14199,
68.3931,120.908,7.5,um,Surface,Position,1,1000014200,14200,
86.0456,97.8205,2.18182,um,Surface,Position,1,1000014201,14201,
39.0224,105.444,7.5,um,Surface,Position,1,1000014202,14202,
140.315,393.858,52.5,um,Surface,Position,2,1000014185,14203,
181.288,241.981,42.9,um,Surface,Position,2,1000014184,14204,
151.108,264.255,41,um,Surface,Position,2,1000014186,14205,
222.926,186.914,52.5,um,Surface,Position,2,1000014187,14206,
169.755,216.623,38.7857,um,Surface,Position,2,1000014207,14207,
350.148,32.1569,40.9615,um,Surface,Position,2,1000014188,14208,
196.69,157.668,27.75,um,Surface,Position,2,1000014189,14209,
120.388,226.663,31.5,um,Surface,Position,2,1000014210,14210,
285.13,51.5263,52.5,um,Surface,Position,2,1000014190,14211,
124.54,216.284,9,um,Surface,Position,2,1000014212,14212,
44.1488,271.738,2.12791,um,Surface,Position,2,1000014191,14213,
125.908,179.353,11.9444,um,Surface,Position,2,1000014192,14214,
79.2429,220.293,14.2714,um,Surface,Position,2,1000014193,14215,
83.7184,213.724,1.5,um,Surface,Position,2,1000014216,14216,
114.161,170.857,7.5,um,Surface,Position,2,1000014194,14217,
67.0439,207.774,9.375,um,Surface,Position,2,1000014218,14218,
261.553,3.69669,10.0714,um,Surface,Position,2,1000014195,14219,
66.5274,189.909,23.8256,um,Surface,Position,2,1000014220,14220,
88.6854,153.315,14.4474,um,Surface,Position,2,1000014196,14221,
152.928,65.1121,21.3462,um,Surface,Position,2,1000014197,14222,
102.538,117.068,4.5,um,Surface,Position,2,1000014223,14223,
66.7325,124.021,31.5,um,Surface,Position,2,1000014199,14224,
93.5359,105.64,11.8421,um,Surface,Position,2,1000014198,14225,
