
Shortest Distance to Surfaces Surfaces=Surfaces 2
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,TrackID,ID,
4.96649,um,Surface,Surfaces 2,1,1000014184,14184,
49.9745,um,Surface,Surfaces 2,1,1000014185,14185,
4.2888,um,Surface,Surfaces 2,1,1000014186,14186,
23.3775,um,Surface,Surfaces 2,1,1000014187,14187,
44.5516,um,Surface,Surfaces 2,1,1000014188,14188,
4.69685,um,Surface,Surfaces 2,1,1000014189,14189,
52.7166,um,Surface,Surfaces 2,1,1000014190,14190,
9.63668,um,Surface,Surfaces 2,1,1000014191,14191,
4.57369,um,Surface,Surfaces 2,1,1000014192,14192,
10.5678,um,Surface,Surfaces 2,1,1000014193,14193,
5.21846,um,Surface,Surfaces 2,1,1000014194,14194,
33.4182,um,Surface,Surfaces 2,1,1000014195,14195,
23.4183,um,Surface,Surfaces 2,1,1000014196,14196,
4.96068,um,Surface,Surfaces 2,1,1000014197,14197,
7.7446,um,Surface,Surfaces 2,1,1000014198,14198,
21.8195,um,Surface,Surfaces 2,1,1000014199,14199,
8.58924,um,Surface,Surfaces 2,1,1000014200,14200,
10.0475,um,Surface,Surfaces 2,1,1000014201,14201,
7.33274,um,Surface,Surfaces 2,1,1000014202,14202,
29.1522,um,Surface,Surfaces 2,2,1000014185,14203,
5.8223,um,Surface,Surfaces 2,2,1000014184,14204,
6.65817,um,Surface,Surfaces 2,2,1000014186,14205,
21.8819,um,Surface,Surfaces 2,2,1000014187,14206,
2.54649,um,Surface,Surfaces 2,2,1000014207,14207,
41.6001,um,Surface,Surfaces 2,2,1000014188,14208,
13.0721,um,Surface,Surfaces 2,2,1000014189,14209,
6.33614,um,Surface,Surfaces 2,2,1000014210,14210,
53.2024,um,Surface,Surfaces 2,2,1000014190,14211,
1.29275,um,Surface,Surfaces 2,2,1000014212,14212,
11.7683,um,Surface,Surfaces 2,2,1000014191,14213,
3.80212,um,Surface,Surfaces 2,2,1000014192,14214,
9.84312,um,Surface,Surfaces 2,2,1000014193,14215,
12.5985,um,Surface,Surfaces 2,2,1000014216,14216,
6.7461,um,Surface,Surfaces 2,2,1000014194,14217,
24.8434,um,Surface,Surfaces 2,2,1000014218,14218,
33.1086,um,Surface,Surfaces 2,2,1000014195,14219,
14.7879,um,Surface,Surfaces 2,2,1000014220,14220,
18.9208,um,Surface,Surfaces 2,2,1000014196,14221,
5.85905,um,Surface,Surfaces 2,2,1000014197,14222,
21.7903,um,Surface,Surfaces 2,2,1000014223,14223,
20.0745,um,Surface,Surfaces 2,2,1000014199,14224,
9.03697,um,Surface,Surfaces 2,2,1000014198,14225,
7.46829,um,Surface,Surfaces 2,2,1000014200,14226,
9.90745,um,Surface,Surfaces 2,2,1000014201,14227,
7.47447,um,Surface,Surfaces 2,2,1000014202,14228,
30.1678,um,Surface,Surfaces 2,3,1000014185,14229,
5.68292,um,Surface,Surfaces 2,3,1000014184,14230,
8.78521,um,Surface,Surfaces 2,3,1000014186,14231,
21.5824,um,Surface,Surfaces 2,3,1000014187,14232,
5.40269,um,Surface,Surfaces 2,3,1000014233,14233,
8.3553,um,Surface,Surfaces 2,3,1000014207,14234,
41.1421,um,Surface,Surfaces 2,3,1000014188,14235,
8.6509,um,Surface,Surfaces 2,3,1000014236,14236,
18.0728,um,Surface,Surfaces 2,3,1000014189,14237,
3.89673,um,Surface,Surfaces 2,3,1000014210,14238,
3.47793,um,Surface,Surfaces 2,3,1000014239,14239,
51.5733,um,Surface,Surfaces 2,3,1000014190,14240,
2.86523,um,Surface,Surfaces 2,3,1000014212,14241,
19.8707,um,Surface,Surfaces 2,3,1000014242,14242,
14.0617,um,Surface,Surfaces 2,3,1000014191,14243,
5.94053,um,Surface,Surfaces 2,3,1000014192,14244,
8.07456,um,Surface,Surfaces 2,3,1000014193,14245,
11.335,um,Surface,Surfaces 2,3,1000014216,14246,
7.46324,um,Surface,Surfaces 2,3,1000014194,14247,
21.5681,um,Surface,Surfaces 2,3,1000014218,14248,
33.2951,um,Surface,Surfaces 2,3,1000014195,14249,
17.5048,um,Surface,Surfaces 2,3,1000014220,14250,
17.3132,um,Surface,Surfaces 2,3,1000014196,14251,
7.89918,um,Surface,Surfaces 2,3,1000014197,14252,
19.2188,um,Surface,Surfaces 2,3,1000014223,14253,
6.40029,um,Surface,Surfaces 2,3,1000014198,14254,
20.551,um,Surface,Surfaces 2,3,1000014199,14255,
7.27248,um,Surface,Surfaces 2,3,1000014200,14256,
9.94247,um,Surface,Surfaces 2,3,1000014201,14257,
8.18339,um,Surface,Surfaces 2,3,1000014202,14258,
32.0125,um,Surface,Surfaces 2,4,1000014185,14259,
7.0491,um,Surface,Surfaces 2,4,1000014184,14260,
15.4454,um,Surface,Surfaces 2,4,1000014261,14261,
12.3109,um,Surface,Surfaces 2,4,1000014186,14262,
16.0703,um,Surface,Surfaces 2,4,1000014187,14263,
6.19859,um,Surface,Surfaces 2,4,1000014233,14264,
8.72333,um,Surface,Surfaces 2,4,1000014207,14265,
40.0243,um,Surface,Surfaces 2,4,1000014188,14266,
8.92592,um,Surface,Surfaces 2,4,1000014236,14267,
12.8308,um,Surface,Surfaces 2,4,1000014189,14268,
