
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
0,s,Surface,1,1000014184,14184,
0,s,Surface,1,1000014185,14185,
0,s,Surface,1,1000014186,14186,
0,s,Surface,1,1000014187,14187,
0,s,Surface,1,1000014188,14188,
0,s,Surface,1,1000014189,14189,
0,s,Surface,1,1000014190,14190,
0,s,Surface,1,1000014191,14191,
0,s,Surface,1,1000014192,14192,
0,s,Surface,1,1000014193,14193,
0,s,Surface,1,1000014194,14194,
0,s,Surface,1,1000014195,14195,
0,s,Surface,1,1000014196,14196,
0,s,Surface,1,1000014197,14197,
0,s,Surface,1,1000014198,14198,
0,s,Surface,1,1000014199,14199,
0,s,Surface,1,1000014200,14200,
0,s,Surface,1,1000014201,14201,
0,s,Surface,1,1000014202,14202,
38.641,s,Surface,2,1000014185,14203,
38.641,s,Surface,2,1000014184,14204,
38.641,s,Surface,2,1000014186,14205,
38.641,s,Surface,2,1000014187,14206,
38.641,s,Surface,2,1000014207,14207,
38.641,s,Surface,2,1000014188,14208,
38.641,s,Surface,2,1000014189,14209,
38.641,s,Surface,2,1000014210,14210,
38.641,s,Surface,2,1000014190,14211,
38.641,s,Surface,2,1000014212,14212,
38.641,s,Surface,2,1000014191,14213,
38.641,s,Surface,2,1000014192,14214,
38.641,s,Surface,2,1000014193,14215,
38.641,s,Surface,2,1000014216,14216,
38.641,s,Surface,2,1000014194,14217,
38.641,s,Surface,2,1000014218,14218,
38.641,s,Surface,2,1000014195,14219,
38.641,s,Surface,2,1000014220,14220,
38.641,s,Surface,2,1000014196,14221,
38.641,s,Surface,2,1000014197,14222,
38.641,s,Surface,2,1000014223,14223,
38.641,s,Surface,2,1000014199,14224,
38.641,s,Surface,2,1000014198,14225,
38.641,s,Surface,2,1000014200,14226,
38.641,s,Surface,2,1000014201,14227,
38.641,s,Surface,2,1000014202,14228,
77.282,s,Surface,3,1000014185,14229,
77.282,s,Surface,3,1000014184,14230,
77.282,s,Surface,3,1000014186,14231,
77.282,s,Surface,3,1000014187,14232,
77.282,s,Surface,3,1000014233,14233,
77.282,s,Surface,3,1000014207,14234,
77.282,s,Surface,3,1000014188,14235,
77.282,s,Surface,3,1000014236,14236,
77.282,s,Surface,3,1000014189,14237,
77.282,s,Surface,3,1000014210,14238,
77.282,s,Surface,3,1000014239,14239,
77.282,s,Surface,3,1000014190,14240,
77.282,s,Surface,3,1000014212,14241,
77.282,s,Surface,3,1000014242,14242,
77.282,s,Surface,3,1000014191,14243,
77.282,s,Surface,3,1000014192,14244,
77.282,s,Surface,3,1000014193,14245,
77.282,s,Surface,3,1000014216,14246,
77.282,s,Surface,3,1000014194,14247,
77.282,s,Surface,3,1000014218,14248,
77.282,s,Surface,3,1000014195,14249,
77.282,s,Surface,3,1000014220,14250,
77.282,s,Surface,3,1000014196,14251,
77.282,s,Surface,3,1000014197,14252,
77.282,s,Surface,3,1000014223,14253,
77.282,s,Surface,3,1000014198,14254,
77.282,s,Surface,3,1000014199,14255,
77.282,s,Surface,3,1000014200,14256,
77.282,s,Surface,3,1000014201,14257,
77.282,s,Surface,3,1000014202,14258,
115.879,s,Surface,4,1000014185,14259,
115.879,s,Surface,4,1000014184,14260,
115.879,s,Surface,4,1000014261,14261,
115.879,s,Surface,4,1000014186,14262,
115.879,s,Surface,4,1000014187,14263,
115.879,s,Surface,4,1000014233,14264,
115.879,s,Surface,4,1000014207,14265,
115.879,s,Surface,4,1000014188,14266,
115.879,s,Surface,4,1000014236,14267,
115.879,s,Surface,4,1000014189,14268,
115.879,s,Surface,4,1000014210,14269,
115.879,s,Surface,4,1000014190,14270,
115.879,s,Surface,4,1000014239,14271,
115.879,s,Surface,4,1000014212,14272,
115.879,s,Surface,4,1000014242,14273,
115.879,s,Surface,4,1000014191,14274,
115.879,s,Surface,4,1000014275,14275,
115.879,s,Surface,4,1000014192,14276,
115.879,s,Surface,4,1000014193,14277,
115.879,s,Surface,4,1000014216,14278,
115.879,s,Surface,4,1000014194,14279,
115.879,s,Surface,4,1000014218,14280,
115.879,s,Surface,4,1000014195,14281,
115.879,s,Surface,4,1000014220,14282,
115.879,s,Surface,4,1000014196,14283,
115.879,s,Surface,4,1000014197,14284,
115.879,s,Surface,4,1000014223,14285,
115.879,s,Surface,4,1000014199,14286,
115.879,s,Surface,4,1000014198,14287,
115.879,s,Surface,4,1000014288,14288,
115.879,s,Surface,4,1000014289,14289,
115.879,s,Surface,4,1000014200,14290,
115.879,s,Surface,4,1000014201,14291,
115.879,s,Surface,4,1000014202,14292,
154.327,s,Surface,5,1000014184,14293,
154.327,s,Surface,5,1000014185,14294,
154.327,s,Surface,5,1000014261,14295,
154.327,s,Surface,5,1000014186,14296,
154.327,s,Surface,5,1000014187,14297,
154.327,s,Surface,5,1000014298,14298,
154.327,s,Surface,5,1000014299,14299,
154.327,s,Surface,5,1000014233,14300,
154.327,s,Surface,5,1000014207,14301,
154.327,s,Surface,5,1000014302,14302,
154.327,s,Surface,5,1000014236,14303,
154.327,s,Surface,5,1000014304,14304,
154.327,s,Surface,5,1000014189,14305,
154.327,s,Surface,5,1000014210,14306,
154.327,s,Surface,5,1000014239,14307,
154.327,s,Surface,5,1000014190,14308,
154.327,s,Surface,5,1000014212,14309,
154.327,s,Surface,5,1000014242,14310,
154.327,s,Surface,5,1000014191,14311,
154.327,s,Surface,5,1000014275,14312,
154.327,s,Surface,5,1000014192,14313,
154.327,s,Surface,5,1000014193,14314,
154.327,s,Surface,5,1000014216,14315,
154.327,s,Surface,5,1000014194,14316,
154.327,s,Surface,5,1000014218,14317,
154.327,s,Surface,5,1000014220,14318,
154.327,s,Surface,5,1000014196,14319,
154.327,s,Surface,5,1000014197,14320,
154.327,s,Surface,5,1000014223,14321,
154.327,s,Surface,5,1000014288,14322,
154.327,s,Surface,5,1000014199,14323,
154.327,s,Surface,5,1000014198,14324,
154.327,s,Surface,5,1000014289,14325,
154.327,s,Surface,5,1000014200,14326,
154.327,s,Surface,5,1000014201,14327,
154.327,s,Surface,5,1000014202,14328,
192.937,s,Surface,6,1000014329,14329,
192.937,s,Surface,6,1000014185,14330,
192.937,s,Surface,6,1000014331,14331,
192.937,s,Surface,6,1000014184,14332,
192.937,s,Surface,6,1000014261,14333,
192.937,s,Surface,6,1000014187,14334,
192.937,s,Surface,6,1000014298,14335,
192.937,s,Surface,6,1000014299,14336,
192.937,s,Surface,6,1000014233,14337,
192.937,s,Surface,6,1000014207,14338,
192.937,s,Surface,6,1000014302,14339,
192.937,s,Surface,6,1000014236,14340,
192.937,s,Surface,6,1000014304,14341,
192.937,s,Surface,6,1000014189,14342,
192.937,s,Surface,6,1000014210,14343,
192.937,s,Surface,6,1000014239,14344,
192.937,s,Surface,6,1000014212,14345,
192.937,s,Surface,6,1000014190,14346,
192.937,s,Surface,6,1000014242,14347,
192.937,s,Surface,6,1000014275,14348,
192.937,s,Surface,6,1000014193,14349,
192.937,s,Surface,6,1000014350,14350,
192.937,s,Surface,6,1000014216,14351,
192.937,s,Surface,6,1000014218,14352,
192.937,s,Surface,6,1000014353,14353,
192.937,s,Surface,6,1000014196,14354,
192.937,s,Surface,6,1000014197,14355,
192.937,s,Surface,6,1000014198,14356,
192.937,s,Surface,6,1000014199,14357,
192.937,s,Surface,6,1000014289,14358,
192.937,s,Surface,6,1000014288,14359,
192.937,s,Surface,6,1000014200,14360,
192.937,s,Surface,6,1000014201,14361,
192.937,s,Surface,6,1000014202,14362,
231.456,s,Surface,7,1000014185,14363,
231.456,s,Surface,7,1000014329,14364,
231.456,s,Surface,7,1000014331,14365,
231.456,s,Surface,7,1000014184,14366,
231.456,s,Surface,7,1000014187,14367,
231.456,s,Surface,7,1000014261,14368,
231.456,s,Surface,7,1000014298,14369,
231.456,s,Surface,7,1000014299,14370,
231.456,s,Surface,7,1000014207,14371,
231.456,s,Surface,7,1000014233,14372,
231.456,s,Surface,7,1000014302,14373,
231.456,s,Surface,7,1000014304,14374,
231.456,s,Surface,7,1000014189,14375,
231.456,s,Surface,7,1000014239,14376,
231.456,s,Surface,7,1000014190,14377,
231.456,s,Surface,7,1000014212,14378,
231.456,s,Surface,7,1000014275,14379,
231.456,s,Surface,7,1000014193,14380,
231.456,s,Surface,7,1000014350,14381,
231.456,s,Surface,7,1000014216,14382,
231.456,s,Surface,7,1000014218,14383,
231.456,s,Surface,7,1000014353,14384,
231.456,s,Surface,7,1000014197,14385,
231.456,s,Surface,7,1000014199,14386,
231.456,s,Surface,7,1000014289,14387,
231.456,s,Surface,7,1000014198,14388,
231.456,s,Surface,7,1000014288,14389,
231.456,s,Surface,7,1000014200,14390,
231.456,s,Surface,7,1000014201,14391,
270.169,s,Surface,8,1000014184,14392,
270.169,s,Surface,8,1000014331,14393,
270.169,s,Surface,8,1000014394,14394,
270.169,s,Surface,8,1000014329,14395,
270.169,s,Surface,8,1000014185,14396,
270.169,s,Surface,8,1000014397,14397,
270.169,s,Surface,8,1000014298,14398,
270.169,s,Surface,8,1000014299,14399,
270.169,s,Surface,8,1000014400,14400,
270.169,s,Surface,8,1000014233,14401,
270.169,s,Surface,8,1000014402,14402,
270.169,s,Surface,8,1000014302,14403,
270.169,s,Surface,8,1000014304,14404,
270.169,s,Surface,8,1000014189,14405,
270.169,s,Surface,8,1000014239,14406,
270.169,s,Surface,8,1000014407,14407,
270.169,s,Surface,8,1000014193,14408,
270.169,s,Surface,8,1000014350,14409,
270.169,s,Surface,8,1000014216,14410,
270.169,s,Surface,8,1000014218,14411,
270.169,s,Surface,8,1000014412,14412,
270.169,s,Surface,8,1000014353,14413,
270.169,s,Surface,8,1000014414,14414,
270.169,s,Surface,8,1000014197,14415,
270.169,s,Surface,8,1000014289,14416,
270.169,s,Surface,8,1000014199,14417,
270.169,s,Surface,8,1000014198,14418,
270.169,s,Surface,8,1000014200,14419,
270.169,s,Surface,8,1000014201,14420,
308.818,s,Surface,9,1000014298,14421,
308.818,s,Surface,9,1000014422,14422,
308.818,s,Surface,9,1000014397,14423,
308.818,s,Surface,9,1000014184,14424,
308.818,s,Surface,9,1000014394,14425,
308.818,s,Surface,9,1000014331,14426,
308.818,s,Surface,9,1000014329,14427,
308.818,s,Surface,9,1000014185,14428,
308.818,s,Surface,9,1000014299,14429,
308.818,s,Surface,9,1000014430,14430,
308.818,s,Surface,9,1000014400,14431,
308.818,s,Surface,9,1000014402,14432,
308.818,s,Surface,9,1000014433,14433,
308.818,s,Surface,9,1000014304,14434,
308.818,s,Surface,9,1000014189,14435,
308.818,s,Surface,9,1000014436,14436,
308.818,s,Surface,9,1000014407,14437,
308.818,s,Surface,9,1000014438,14438,
308.818,s,Surface,9,1000014439,14439,
308.818,s,Surface,9,1000014440,14440,
308.818,s,Surface,9,1000014193,14441,
308.818,s,Surface,9,1000014350,14442,
308.818,s,Surface,9,1000014412,14443,
308.818,s,Surface,9,1000014353,14444,
308.818,s,Surface,9,1000014414,14445,
308.818,s,Surface,9,1000014197,14446,
308.818,s,Surface,9,1000014447,14447,
308.818,s,Surface,9,1000014199,14448,
308.818,s,Surface,9,1000014289,14449,
308.818,s,Surface,9,1000014198,14450,
308.818,s,Surface,9,1000014200,14451,
308.818,s,Surface,9,1000014201,14452,
308.818,s,Surface,9,1000014453,14453,
347.453,s,Surface,10,1000014430,14454,
347.453,s,Surface,10,1000014298,14455,
347.453,s,Surface,10,1000014422,14456,
347.453,s,Surface,10,1000014397,14457,
347.453,s,Surface,10,1000014184,14458,
347.453,s,Surface,10,1000014459,14459,
347.453,s,Surface,10,1000014394,14460,
347.453,s,Surface,10,1000014331,14461,
347.453,s,Surface,10,1000014185,14462,
347.453,s,Surface,10,1000014299,14463,
347.453,s,Surface,10,1000014400,14464,
347.453,s,Surface,10,1000014465,14465,
347.453,s,Surface,10,1000014402,14466,
347.453,s,Surface,10,1000014433,14467,
347.453,s,Surface,10,1000014189,14468,
347.453,s,Surface,10,1000014436,14469,
347.453,s,Surface,10,1000014470,14470,
347.453,s,Surface,10,1000014407,14471,
347.453,s,Surface,10,1000014438,14472,
347.453,s,Surface,10,1000014439,14473,
347.453,s,Surface,10,1000014440,14474,
347.453,s,Surface,10,1000014193,14475,
347.453,s,Surface,10,1000014350,14476,
347.453,s,Surface,10,1000014412,14477,
347.453,s,Surface,10,1000014353,14478,
347.453,s,Surface,10,1000014414,14479,
347.453,s,Surface,10,1000014197,14480,
347.453,s,Surface,10,1000014447,14481,
347.453,s,Surface,10,1000014199,14482,
347.453,s,Surface,10,1000014198,14483,
347.453,s,Surface,10,1000014200,14484,
347.453,s,Surface,10,1000014201,14485,
347.453,s,Surface,10,1000014453,14486,
386.082,s,Surface,11,1000014465,14487,
386.082,s,Surface,11,1000014400,14488,
386.082,s,Surface,11,1000014298,14489,
386.082,s,Surface,11,1000014299,14490,
386.082,s,Surface,11,1000014430,14491,
386.082,s,Surface,11,1000014422,14492,
386.082,s,Surface,11,1000014493,14493,
386.082,s,Surface,11,1000014397,14494,
386.082,s,Surface,11,1000014184,14495,
386.082,s,Surface,11,1000014459,14496,
386.082,s,Surface,11,1000014394,14497,
386.082,s,Surface,11,1000014331,14498,
386.082,s,Surface,11,1000014185,14499,
386.082,s,Surface,11,1000014402,14500,
386.082,s,Surface,11,1000014501,14501,
386.082,s,Surface,11,1000014433,14502,
386.082,s,Surface,11,1000014189,14503,
386.082,s,Surface,11,1000014436,14504,
386.082,s,Surface,11,1000014470,14505,
