
Track Displacement Length
 ==================== 
Track Displacement Length,Unit,Category,ID,
3.29105,um,Track,1000014184,
4.26288,um,Track,1000014185,
6.45898,um,Track,1000014186,
4.847,um,Track,1000014187,
7.2903,um,Track,1000014188,
17.0227,um,Track,1000014189,
2.96912,um,Track,1000014190,
3.27319,um,Track,1000014191,
1.31455,um,Track,1000014192,
4.16641,um,Track,1000014193,
3.95791,um,Track,1000014194,
4.28617,um,Track,1000014195,
3.33845,um,Track,1000014196,
13.3768,um,Track,1000014197,
6.10843,um,Track,1000014198,
0.993285,um,Track,1000014199,
12.6195,um,Track,1000014200,
0.83706,um,Track,1000014201,
0.773237,um,Track,1000014202,
5.83413,um,Track,1000014207,
1.17418,um,Track,1000014210,
2.07567,um,Track,1000014212,
1.1706,um,Track,1000014216,
1.72212,um,Track,1000014218,
7.73447,um,Track,1000014220,
2.23555,um,Track,1000014223,
2.47596,um,Track,1000014233,
1.15788,um,Track,1000014236,
12.1367,um,Track,1000014239,
2.05462,um,Track,1000014242,
9.16942,um,Track,1000014261,
0.893101,um,Track,1000014275,
3.03507,um,Track,1000014288,
6.22699,um,Track,1000014289,
8.22667,um,Track,1000014298,
3.75834,um,Track,1000014299,
2.79348,um,Track,1000014302,
10.7032,um,Track,1000014304,
1.96747,um,Track,1000014329,
11.0082,um,Track,1000014331,
9.6438,um,Track,1000014350,
18.6065,um,Track,1000014353,
12.0713,um,Track,1000014394,
3.91898,um,Track,1000014397,
1.12357,um,Track,1000014400,
0.560375,um,Track,1000014402,
1.66051,um,Track,1000014407,
6.08754,um,Track,1000014412,
1.39815,um,Track,1000014414,
0.780357,um,Track,1000014422,
9.05705,um,Track,1000014430,
2.83604,um,Track,1000014433,
4.03596,um,Track,1000014436,
3.64921,um,Track,1000014438,
2.92927,um,Track,1000014439,
5.21964,um,Track,1000014440,
2.6185,um,Track,1000014447,
1.82506,um,Track,1000014453,
4.89024,um,Track,1000014459,
8.05568,um,Track,1000014465,
8.87566,um,Track,1000014470,
12.5658,um,Track,1000014493,
4.23299,um,Track,1000014501,
1.53032,um,Track,1000014521,
1.54496,um,Track,1000014536,
4.78358,um,Track,1000014545,
0.265212,um,Track,1000014556,
0.637099,um,Track,1000014582,
4.99311,um,Track,1000014583,
0.195691,um,Track,1000014584,
4.93058,um,Track,1000014586,
5.22184,um,Track,1000014591,
5.02644,um,Track,1000014605,
3.14105,um,Track,1000014607,
4.46915,um,Track,1000014626,
3.98501,um,Track,1000014627,
1.39442,um,Track,1000014647,
3.39194,um,Track,1000014648,
5.84923,um,Track,1000014656,
1.45559,um,Track,1000014658,
20.5107,um,Track,1000014659,
1.78933,um,Track,1000014661,
2.1574,um,Track,1000014663,
2.90667,um,Track,1000014668,
3.7024,um,Track,1000014676,
3.05255,um,Track,1000014683,
4.55593,um,Track,1000014686,
3.47163,um,Track,1000014702,
4.90646,um,Track,1000014710,
3.97282,um,Track,1000014716,
10.0603,um,Track,1000014732,
6.40145,um,Track,1000014748,
0.939808,um,Track,1000014750,
2.96141,um,Track,1000014752,
3.49941,um,Track,1000014756,
2.19373,um,Track,1000014762,
9.87179,um,Track,1000014764,
1.7979,um,Track,1000014765,
1.14075,um,Track,1000014775,
5.91854,um,Track,1000014776,
1.81878,um,Track,1000014780,
3.5481,um,Track,1000014783,
3.94746,um,Track,1000014786,
6.68286,um,Track,1000014798,
8.17279,um,Track,1000014800,
5.40356,um,Track,1000014803,
8.82787,um,Track,1000014804,
2.93178,um,Track,1000014809,
2.88074,um,Track,1000014822,
3.92276,um,Track,1000014846,
7.33421,um,Track,1000014848,
8.98415,um,Track,1000014852,
5.84967,um,Track,1000014859,
5.22152,um,Track,1000014887,
2.06225,um,Track,1000014909,
6.25844,um,Track,1000014918,
3.07266,um,Track,1000014926,
7.39639,um,Track,1000014938,
2.76813,um,Track,1000014939,
8.95445,um,Track,1000014943,
4.61528,um,Track,1000014948,
4.85941,um,Track,1000014950,
9.20587,um,Track,1000014956,
3.26295,um,Track,1000014964,
7.62963,um,Track,1000014966,
1.38464,um,Track,1000014981,
2.47518,um,Track,1000014991,
1.53689,um,Track,1000015000,
3.74486,um,Track,1000015007,
11.679,um,Track,1000015009,
5.11357,um,Track,1000015012,
13.4522,um,Track,1000015021,
5.02146,um,Track,1000015022,
3.37289,um,Track,1000015027,
8.01053,um,Track,1000015029,
1.93828,um,Track,1000015030,
7.53349,um,Track,1000015055,
6.87121,um,Track,1000015069,
4.46393,um,Track,1000015072,
3.31491,um,Track,1000015073,
7.21692,um,Track,1000015096,
4.0022,um,Track,1000015097,
3.74612,um,Track,1000015099,
7.3164,um,Track,1000015100,
1.6519,um,Track,1000015102,
8.09516,um,Track,1000015108,
6.87388,um,Track,1000015118,
7.80873,um,Track,1000015122,
1.2764,um,Track,1000015123,
12.2821,um,Track,1000015142,
9.44878,um,Track,1000015145,
