
Track Ellipticity Oblate Mean
 ==================== 
Track Ellipticity Oblate Mean,Unit,Category,ID,
0.32563,um,Track,1000014184,
0.313804,um,Track,1000014185,
0.312048,um,Track,1000014186,
0.392908,um,Track,1000014187,
0.241202,um,Track,1000014188,
0.299582,um,Track,1000014189,
0.312168,um,Track,1000014190,
0.392578,um,Track,1000014191,
0.362192,um,Track,1000014192,
0.353802,um,Track,1000014193,
0.475054,um,Track,1000014194,
0.368474,um,Track,1000014195,
0.255716,um,Track,1000014196,
0.324777,um,Track,1000014197,
0.400502,um,Track,1000014198,
0.253451,um,Track,1000014199,
0.304053,um,Track,1000014200,
0.383437,um,Track,1000014201,
0.370517,um,Track,1000014202,
0.530893,um,Track,1000014207,
0.368546,um,Track,1000014210,
0.220883,um,Track,1000014212,
0.433179,um,Track,1000014216,
0.455049,um,Track,1000014218,
0.427713,um,Track,1000014220,
0.465692,um,Track,1000014223,
0.274134,um,Track,1000014233,
0.255222,um,Track,1000014236,
0.366432,um,Track,1000014239,
0.527034,um,Track,1000014242,
0.288047,um,Track,1000014261,
0.381328,um,Track,1000014275,
0.41561,um,Track,1000014288,
0.276891,um,Track,1000014289,
0.315154,um,Track,1000014298,
0.241437,um,Track,1000014299,
0.379667,um,Track,1000014302,
0.265914,um,Track,1000014304,
0.280736,um,Track,1000014329,
0.352766,um,Track,1000014331,
0.385884,um,Track,1000014350,
0.364074,um,Track,1000014353,
0.396236,um,Track,1000014394,
0.292557,um,Track,1000014397,
0.393883,um,Track,1000014400,
0.342827,um,Track,1000014402,
0.212748,um,Track,1000014407,
0.390749,um,Track,1000014412,
0.324921,um,Track,1000014414,
0.285965,um,Track,1000014422,
0.347651,um,Track,1000014430,
0.328776,um,Track,1000014433,
0.361236,um,Track,1000014436,
0.339263,um,Track,1000014438,
0.479062,um,Track,1000014439,
0.441193,um,Track,1000014440,
0.44049,um,Track,1000014447,
0.351467,um,Track,1000014453,
0.328225,um,Track,1000014459,
0.308539,um,Track,1000014465,
0.269639,um,Track,1000014470,
0.389497,um,Track,1000014493,
0.330719,um,Track,1000014501,
0.368556,um,Track,1000014521,
0.461385,um,Track,1000014536,
0.406876,um,Track,1000014545,
0.534133,um,Track,1000014556,
0.387656,um,Track,1000014582,
0.389421,um,Track,1000014583,
0.384565,um,Track,1000014584,
0.467626,um,Track,1000014586,
0.324243,um,Track,1000014591,
0.319969,um,Track,1000014605,
0.343413,um,Track,1000014607,
0.297208,um,Track,1000014626,
0.327426,um,Track,1000014627,
0.40079,um,Track,1000014647,
0.318216,um,Track,1000014648,
0.50375,um,Track,1000014656,
0.351838,um,Track,1000014658,
0.257235,um,Track,1000014659,
0.325714,um,Track,1000014661,
0.359667,um,Track,1000014663,
0.301483,um,Track,1000014668,
0.263073,um,Track,1000014676,
0.246991,um,Track,1000014683,
0.284316,um,Track,1000014686,
0.492251,um,Track,1000014702,
0.428769,um,Track,1000014710,
0.27353,um,Track,1000014716,
0.315695,um,Track,1000014732,
0.361344,um,Track,1000014748,
0.463628,um,Track,1000014750,
0.346307,um,Track,1000014752,
0.420012,um,Track,1000014756,
0.41971,um,Track,1000014762,
0.312714,um,Track,1000014764,
0.141611,um,Track,1000014765,
0.375159,um,Track,1000014775,
0.440542,um,Track,1000014776,
0.224066,um,Track,1000014780,
0.26723,um,Track,1000014783,
0.490235,um,Track,1000014786,
0.429588,um,Track,1000014798,
0.4739,um,Track,1000014800,
0.314106,um,Track,1000014803,
0.339304,um,Track,1000014804,
0.244907,um,Track,1000014809,
0.496609,um,Track,1000014822,
0.334052,um,Track,1000014846,
0.360221,um,Track,1000014848,
0.285063,um,Track,1000014852,
0.297712,um,Track,1000014859,
0.450869,um,Track,1000014887,
0.304512,um,Track,1000014909,
0.25029,um,Track,1000014918,
0.322549,um,Track,1000014926,
0.336468,um,Track,1000014938,
0.393116,um,Track,1000014939,
0.376709,um,Track,1000014943,
0.382778,um,Track,1000014948,
0.266048,um,Track,1000014950,
0.267866,um,Track,1000014956,
0.255869,um,Track,1000014964,
0.265946,um,Track,1000014966,
0.280171,um,Track,1000014981,
0.292786,um,Track,1000014991,
0.519921,um,Track,1000015000,
0.236359,um,Track,1000015007,
0.249534,um,Track,1000015009,
0.300432,um,Track,1000015012,
0.246768,um,Track,1000015021,
0.35653,um,Track,1000015022,
0.400924,um,Track,1000015027,
0.259726,um,Track,1000015029,
0.472565,um,Track,1000015030,
0.262528,um,Track,1000015055,
0.493843,um,Track,1000015069,
0.270883,um,Track,1000015072,
0.400205,um,Track,1000015073,
0.232294,um,Track,1000015096,
0.370435,um,Track,1000015097,
0.417954,um,Track,1000015099,
0.323393,um,Track,1000015100,
0.334615,um,Track,1000015102,
0.35651,um,Track,1000015108,
0.346756,um,Track,1000015118,
0.421402,um,Track,1000015122,
0.308203,um,Track,1000015123,
0.37585,um,Track,1000015142,
0.280674,um,Track,1000015145,
0.50036,um,Track,1000015154,
0.325091,um,Track,1000015158,
0.394489,um,Track,1000015161,
0.319233,um,Track,1000015174,
0.287964,um,Track,1000015179,
0.343022,um,Track,1000015180,
0.233756,um,Track,1000015184,
0.319079,um,Track,1000015190,
0.481549,um,Track,1000015202,
0.400219,um,Track,1000015204,
0.308764,um,Track,1000015206,
0.378904,um,Track,1000015207,
0.257142,um,Track,1000015208,
0.294268,um,Track,1000015213,
0.262362,um,Track,1000015219,
0.375161,um,Track,1000015221,
