
Track Ellipticity Prolate Mean
 ==================== 
Track Ellipticity Prolate Mean,Unit,Category,ID,
0.447968,um,Track,1000014184,
0.459242,um,Track,1000014185,
0.572252,um,Track,1000014186,
0.457038,um,Track,1000014187,
0.618572,um,Track,1000014188,
0.537729,um,Track,1000014189,
0.565973,um,Track,1000014190,
0.456108,um,Track,1000014191,
0.346509,um,Track,1000014192,
0.510217,um,Track,1000014193,
0.325231,um,Track,1000014194,
0.515534,um,Track,1000014195,
0.602047,um,Track,1000014196,
0.483398,um,Track,1000014197,
0.496452,um,Track,1000014198,
0.370975,um,Track,1000014199,
0.57149,um,Track,1000014200,
0.333392,um,Track,1000014201,
0.393197,um,Track,1000014202,
0.339127,um,Track,1000014207,
0.374951,um,Track,1000014210,
0.495903,um,Track,1000014212,
0.363747,um,Track,1000014216,
0.393433,um,Track,1000014218,
0.331016,um,Track,1000014220,
0.301083,um,Track,1000014223,
0.673718,um,Track,1000014233,
0.517179,um,Track,1000014236,
0.482096,um,Track,1000014239,
0.319063,um,Track,1000014242,
0.565528,um,Track,1000014261,
0.331245,um,Track,1000014275,
0.416015,um,Track,1000014288,
0.572791,um,Track,1000014289,
0.420365,um,Track,1000014298,
0.571357,um,Track,1000014299,
0.379591,um,Track,1000014302,
0.593402,um,Track,1000014304,
0.612089,um,Track,1000014329,
0.511099,um,Track,1000014331,
0.499999,um,Track,1000014350,
0.398845,um,Track,1000014353,
0.470035,um,Track,1000014394,
0.448875,um,Track,1000014397,
0.445252,um,Track,1000014400,
0.389912,um,Track,1000014402,
0.608663,um,Track,1000014407,
0.425248,um,Track,1000014412,
0.562139,um,Track,1000014414,
0.515825,um,Track,1000014422,
0.284935,um,Track,1000014430,
0.449708,um,Track,1000014433,
0.443855,um,Track,1000014436,
0.405823,um,Track,1000014438,
0.321777,um,Track,1000014439,
0.394215,um,Track,1000014440,
0.383361,um,Track,1000014447,
0.381509,um,Track,1000014453,
0.48245,um,Track,1000014459,
0.521414,um,Track,1000014465,
0.610379,um,Track,1000014470,
0.448568,um,Track,1000014493,
0.567205,um,Track,1000014501,
0.48465,um,Track,1000014521,
0.395757,um,Track,1000014536,
0.441742,um,Track,1000014545,
0.257307,um,Track,1000014556,
0.299899,um,Track,1000014582,
0.44429,um,Track,1000014583,
0.469234,um,Track,1000014584,
0.372953,um,Track,1000014586,
0.474622,um,Track,1000014591,
0.572182,um,Track,1000014605,
0.539079,um,Track,1000014607,
0.605289,um,Track,1000014626,
0.489316,um,Track,1000014627,
0.444506,um,Track,1000014647,
0.489563,um,Track,1000014648,
0.329567,um,Track,1000014656,
0.350273,um,Track,1000014658,
0.646996,um,Track,1000014659,
0.565642,um,Track,1000014661,
0.459025,um,Track,1000014663,
0.574538,um,Track,1000014668,
0.657633,um,Track,1000014676,
0.606216,um,Track,1000014683,
0.443654,um,Track,1000014686,
0.235952,um,Track,1000014702,
0.312405,um,Track,1000014710,
0.387525,um,Track,1000014716,
0.579342,um,Track,1000014732,
0.51593,um,Track,1000014748,
0.314129,um,Track,1000014750,
0.489806,um,Track,1000014752,
0.443433,um,Track,1000014756,
0.232487,um,Track,1000014762,
0.525767,um,Track,1000014764,
0.631507,um,Track,1000014765,
0.492333,um,Track,1000014775,
0.407494,um,Track,1000014776,
0.619836,um,Track,1000014780,
0.467895,um,Track,1000014783,
0.367292,um,Track,1000014786,
0.454186,um,Track,1000014798,
0.376825,um,Track,1000014800,
0.502455,um,Track,1000014803,
0.426482,um,Track,1000014804,
0.590136,um,Track,1000014809,
0.356216,um,Track,1000014822,
0.570655,um,Track,1000014846,
0.503046,um,Track,1000014848,
0.49229,um,Track,1000014852,
0.497558,um,Track,1000014859,
0.27885,um,Track,1000014887,
0.521121,um,Track,1000014909,
0.619773,um,Track,1000014918,
0.34203,um,Track,1000014926,
0.355346,um,Track,1000014938,
0.294167,um,Track,1000014939,
0.46405,um,Track,1000014943,
0.517486,um,Track,1000014948,
0.609729,um,Track,1000014950,
0.598277,um,Track,1000014956,
0.676503,um,Track,1000014964,
0.472411,um,Track,1000014966,
0.466527,um,Track,1000014981,
0.553506,um,Track,1000014991,
0.360734,um,Track,1000015000,
0.67189,um,Track,1000015007,
0.60421,um,Track,1000015009,
0.492237,um,Track,1000015012,
0.622505,um,Track,1000015021,
0.48539,um,Track,1000015022,
0.475649,um,Track,1000015027,
0.664463,um,Track,1000015029,
0.307914,um,Track,1000015030,
0.448912,um,Track,1000015055,
0.281092,um,Track,1000015069,
0.63417,um,Track,1000015072,
0.32739,um,Track,1000015073,
0.593311,um,Track,1000015096,
0.500692,um,Track,1000015097,
0.364536,um,Track,1000015099,
0.399032,um,Track,1000015100,
0.39735,um,Track,1000015102,
0.513618,um,Track,1000015108,
0.501813,um,Track,1000015118,
0.388449,um,Track,1000015122,
0.395151,um,Track,1000015123,
0.533323,um,Track,1000015142,
0.528022,um,Track,1000015145,
0.310058,um,Track,1000015154,
0.389629,um,Track,1000015158,
0.343927,um,Track,1000015161,
0.392665,um,Track,1000015174,
0.537473,um,Track,1000015179,
0.487857,um,Track,1000015180,
0.711625,um,Track,1000015184,
0.524628,um,Track,1000015190,
0.356336,um,Track,1000015202,
0.39054,um,Track,1000015204,
0.372796,um,Track,1000015206,
0.401333,um,Track,1000015207,
0.609962,um,Track,1000015208,
0.374098,um,Track,1000015213,
0.553622,um,Track,1000015219,
0.423347,um,Track,1000015221,
0.449352,um,Track,1000015228,
0.409198,um,Track,1000015237,
0.322596,um,Track,1000015240,
0.192238,um,Track,1000015248,
0.569683,um,Track,1000015251,
0.386512,um,Track,1000015267,
0.376547,um,Track,1000015268,
0.440968,um,Track,1000015274,
0.550223,um,Track,1000015279,
0.61601,um,Track,1000015280,
0.311187,um,Track,1000015290,
0.485691,um,Track,1000015293,
0.485079,um,Track,1000015307,
0.374201,um,Track,1000015308,
0.516017,um,Track,1000015348,
0.441707,um,Track,1000015352,
0.534557,um,Track,1000015353,
0.356146,um,Track,1000015362,
0.480406,um,Track,1000015370,
0.261145,um,Track,1000015377,
0.435303,um,Track,1000015388,
0.451512,um,Track,1000015394,
0.254908,um,Track,1000015400,
0.469923,um,Track,1000015407,
0.44323,um,Track,1000015415,
0.523832,um,Track,1000015421,
0.244377,um,Track,1000015432,
0.322988,um,Track,1000015443,
0.324204,um,Track,1000015450,
0.407284,um,Track,1000015455,
0.403726,um,Track,1000015461,
0.422561,um,Track,1000015477,
0.327468,um,Track,1000015497,
0.492649,um,Track,1000015502,
0.478751,um,Track,1000015503,
0.469165,um,Track,1000015508,
0.396903,um,Track,1000015516,
0.502996,um,Track,1000015525,
0.546377,um,Track,1000015536,
0.576496,um,Track,1000015541,
0.494153,um,Track,1000015557,
0.450404,um,Track,1000015590,
0.520182,um,Track,1000015591,
0.461701,um,Track,1000015593,
0.503577,um,Track,1000015622,
0.364374,um,Track,1000015630,
0.506423,um,Track,1000015650,
0.295056,um,Track,1000015674,
0.338719,um,Track,1000015675,
0.406736,um,Track,1000015678,
0.528571,um,Track,1000015680,
0.485502,um,Track,1000015682,
0.561049,um,Track,1000015700,
