
Track Intensity Max Ch=1 Img=1
 ==================== 
Track Intensity Max,Unit,Category,Channel,Image,ID,
44,,Track,1,Image 1,1000014184,
27,,Track,1,Image 1,1000014185,
5,,Track,1,Image 1,1000014186,
0,,Track,1,Image 1,1000014187,
0,,Track,1,Image 1,1000014188,
16,,Track,1,Image 1,1000014189,
119,,Track,1,Image 1,1000014190,
21,,Track,1,Image 1,1000014191,
80,,Track,1,Image 1,1000014192,
29,,Track,1,Image 1,1000014193,
95,,Track,1,Image 1,1000014194,
92,,Track,1,Image 1,1000014195,
69,,Track,1,Image 1,1000014196,
109,,Track,1,Image 1,1000014197,
92,,Track,1,Image 1,1000014198,
254,,Track,1,Image 1,1000014199,
117,,Track,1,Image 1,1000014200,
17,,Track,1,Image 1,1000014201,
255,,Track,1,Image 1,1000014202,
82,,Track,1,Image 1,1000014207,
39,,Track,1,Image 1,1000014210,
2,,Track,1,Image 1,1000014212,
29,,Track,1,Image 1,1000014216,
192,,Track,1,Image 1,1000014218,
17,,Track,1,Image 1,1000014220,
39,,Track,1,Image 1,1000014223,
32,,Track,1,Image 1,1000014233,
32,,Track,1,Image 1,1000014236,
2,,Track,1,Image 1,1000014239,
20,,Track,1,Image 1,1000014242,
0,,Track,1,Image 1,1000014261,
85,,Track,1,Image 1,1000014275,
16,,Track,1,Image 1,1000014288,
35,,Track,1,Image 1,1000014289,
32,,Track,1,Image 1,1000014298,
49,,Track,1,Image 1,1000014299,
180,,Track,1,Image 1,1000014302,
20,,Track,1,Image 1,1000014304,
5,,Track,1,Image 1,1000014329,
1,,Track,1,Image 1,1000014331,
49,,Track,1,Image 1,1000014350,
59,,Track,1,Image 1,1000014353,
113,,Track,1,Image 1,1000014394,
11,,Track,1,Image 1,1000014397,
25,,Track,1,Image 1,1000014400,
135,,Track,1,Image 1,1000014402,
0,,Track,1,Image 1,1000014407,
18,,Track,1,Image 1,1000014412,
64,,Track,1,Image 1,1000014414,
55,,Track,1,Image 1,1000014422,
80,,Track,1,Image 1,1000014430,
63,,Track,1,Image 1,1000014433,
38,,Track,1,Image 1,1000014436,
106,,Track,1,Image 1,1000014438,
0,,Track,1,Image 1,1000014439,
255,,Track,1,Image 1,1000014440,
73,,Track,1,Image 1,1000014447,
102,,Track,1,Image 1,1000014453,
0,,Track,1,Image 1,1000014459,
28,,Track,1,Image 1,1000014465,
85,,Track,1,Image 1,1000014470,
0,,Track,1,Image 1,1000014493,
211,,Track,1,Image 1,1000014501,
255,,Track,1,Image 1,1000014521,
42,,Track,1,Image 1,1000014536,
55,,Track,1,Image 1,1000014545,
2,,Track,1,Image 1,1000014556,
158,,Track,1,Image 1,1000014582,
13,,Track,1,Image 1,1000014583,
255,,Track,1,Image 1,1000014584,
0,,Track,1,Image 1,1000014586,
88,,Track,1,Image 1,1000014591,
34,,Track,1,Image 1,1000014605,
48,,Track,1,Image 1,1000014607,
1,,Track,1,Image 1,1000014626,
48,,Track,1,Image 1,1000014627,
3,,Track,1,Image 1,1000014647,
39,,Track,1,Image 1,1000014648,
0,,Track,1,Image 1,1000014656,
0,,Track,1,Image 1,1000014658,
254,,Track,1,Image 1,1000014659,
39,,Track,1,Image 1,1000014661,
135,,Track,1,Image 1,1000014663,
75,,Track,1,Image 1,1000014668,
58,,Track,1,Image 1,1000014676,
27,,Track,1,Image 1,1000014683,
28,,Track,1,Image 1,1000014686,
35,,Track,1,Image 1,1000014702,
14,,Track,1,Image 1,1000014710,
22,,Track,1,Image 1,1000014716,
254,,Track,1,Image 1,1000014732,
40,,Track,1,Image 1,1000014748,
255,,Track,1,Image 1,1000014750,
254,,Track,1,Image 1,1000014752,
46,,Track,1,Image 1,1000014756,
58,,Track,1,Image 1,1000014762,
94,,Track,1,Image 1,1000014764,
81,,Track,1,Image 1,1000014765,
43,,Track,1,Image 1,1000014775,
3,,Track,1,Image 1,1000014776,
91,,Track,1,Image 1,1000014780,
53,,Track,1,Image 1,1000014783,
154,,Track,1,Image 1,1000014786,
0,,Track,1,Image 1,1000014798,
41,,Track,1,Image 1,1000014800,
0,,Track,1,Image 1,1000014803,
44,,Track,1,Image 1,1000014804,
97,,Track,1,Image 1,1000014809,
44,,Track,1,Image 1,1000014822,
54,,Track,1,Image 1,1000014846,
36,,Track,1,Image 1,1000014848,
16,,Track,1,Image 1,1000014852,
45,,Track,1,Image 1,1000014859,
28,,Track,1,Image 1,1000014887,
77,,Track,1,Image 1,1000014909,
254,,Track,1,Image 1,1000014918,
79,,Track,1,Image 1,1000014926,
0,,Track,1,Image 1,1000014938,
131,,Track,1,Image 1,1000014939,
6,,Track,1,Image 1,1000014943,
10,,Track,1,Image 1,1000014948,
60,,Track,1,Image 1,1000014950,
12,,Track,1,Image 1,1000014956,
21,,Track,1,Image 1,1000014964,
59,,Track,1,Image 1,1000014966,
21,,Track,1,Image 1,1000014981,
98,,Track,1,Image 1,1000014991,
100,,Track,1,Image 1,1000015000,
83,,Track,1,Image 1,1000015007,
0,,Track,1,Image 1,1000015009,
118,,Track,1,Image 1,1000015012,
139,,Track,1,Image 1,1000015021,
99,,Track,1,Image 1,1000015022,
169,,Track,1,Image 1,1000015027,
76,,Track,1,Image 1,1000015029,
255,,Track,1,Image 1,1000015030,
1,,Track,1,Image 1,1000015055,
87,,Track,1,Image 1,1000015069,
42,,Track,1,Image 1,1000015072,
2,,Track,1,Image 1,1000015073,
179,,Track,1,Image 1,1000015096,
92,,Track,1,Image 1,1000015097,
42,,Track,1,Image 1,1000015099,
254,,Track,1,Image 1,1000015100,
0,,Track,1,Image 1,1000015102,
15,,Track,1,Image 1,1000015108,
255,,Track,1,Image 1,1000015118,
1,,Track,1,Image 1,1000015122,
218,,Track,1,Image 1,1000015123,
66,,Track,1,Image 1,1000015142,
254,,Track,1,Image 1,1000015145,
62,,Track,1,Image 1,1000015154,
148,,Track,1,Image 1,1000015158,
255,,Track,1,Image 1,1000015161,
255,,Track,1,Image 1,1000015174,
26,,Track,1,Image 1,1000015179,
13,,Track,1,Image 1,1000015180,
168,,Track,1,Image 1,1000015184,
140,,Track,1,Image 1,1000015190,
222,,Track,1,Image 1,1000015202,
2,,Track,1,Image 1,1000015204,
1,,Track,1,Image 1,1000015206,
45,,Track,1,Image 1,1000015207,
0,,Track,1,Image 1,1000015208,
105,,Track,1,Image 1,1000015213,
39,,Track,1,Image 1,1000015219,
13,,Track,1,Image 1,1000015221,
127,,Track,1,Image 1,1000015228,
17,,Track,1,Image 1,1000015237,
55,,Track,1,Image 1,1000015240,
30,,Track,1,Image 1,1000015248,
128,,Track,1,Image 1,1000015251,
40,,Track,1,Image 1,1000015267,
