
Track Intensity Mean Ch=4 Img=1
 ==================== 
Track Intensity Mean,Unit,Category,Channel,Image,ID,
29.553,,Track,4,Image 1,1000014184,
16.5582,,Track,4,Image 1,1000014185,
1.37255,,Track,4,Image 1,1000014186,
0.318937,,Track,4,Image 1,1000014187,
0.350877,,Track,4,Image 1,1000014188,
2.51237,,Track,4,Image 1,1000014189,
18.6327,,Track,4,Image 1,1000014190,
8.17895,,Track,4,Image 1,1000014191,
24.5865,,Track,4,Image 1,1000014192,
16.1721,,Track,4,Image 1,1000014193,
69.7222,,Track,4,Image 1,1000014194,
8.0102,,Track,4,Image 1,1000014195,
40.1875,,Track,4,Image 1,1000014196,
43.1667,,Track,4,Image 1,1000014197,
39.8628,,Track,4,Image 1,1000014198,
66.6538,,Track,4,Image 1,1000014199,
21.7479,,Track,4,Image 1,1000014200,
6.11475,,Track,4,Image 1,1000014201,
255,,Track,4,Image 1,1000014202,
45.0619,,Track,4,Image 1,1000014207,
52.4444,,Track,4,Image 1,1000014210,
1.33333,,Track,4,Image 1,1000014212,
5.07614,,Track,4,Image 1,1000014216,
115.512,,Track,4,Image 1,1000014218,
4.84,,Track,4,Image 1,1000014220,
28.5161,,Track,4,Image 1,1000014223,
24.25,,Track,4,Image 1,1000014233,
14.8684,,Track,4,Image 1,1000014236,
1.27333,,Track,4,Image 1,1000014239,
9.3125,,Track,4,Image 1,1000014242,
0.98,,Track,4,Image 1,1000014261,
43,,Track,4,Image 1,1000014275,
5.92814,,Track,4,Image 1,1000014288,
17.4038,,Track,4,Image 1,1000014289,
22.5203,,Track,4,Image 1,1000014298,
36.1053,,Track,4,Image 1,1000014299,
188.143,,Track,4,Image 1,1000014302,
1.18824,,Track,4,Image 1,1000014304,
0.618182,,Track,4,Image 1,1000014329,
0.508571,,Track,4,Image 1,1000014331,
16.2074,,Track,4,Image 1,1000014350,
10.6133,,Track,4,Image 1,1000014353,
48.2885,,Track,4,Image 1,1000014394,
1.92708,,Track,4,Image 1,1000014397,
7.17057,,Track,4,Image 1,1000014400,
156.865,,Track,4,Image 1,1000014402,
23.5,,Track,4,Image 1,1000014407,
3.3913,,Track,4,Image 1,1000014412,
41.1443,,Track,4,Image 1,1000014414,
49.0698,,Track,4,Image 1,1000014422,
15.7813,,Track,4,Image 1,1000014430,
18.5,,Track,4,Image 1,1000014433,
7.86207,,Track,4,Image 1,1000014436,
66.1667,,Track,4,Image 1,1000014438,
0.253521,,Track,4,Image 1,1000014439,
140.165,,Track,4,Image 1,1000014440,
33.8594,,Track,4,Image 1,1000014447,
33.7923,,Track,4,Image 1,1000014453,
0.674419,,Track,4,Image 1,1000014459,
6.67647,,Track,4,Image 1,1000014465,
64.5702,,Track,4,Image 1,1000014470,
0.29703,,Track,4,Image 1,1000014493,
186.645,,Track,4,Image 1,1000014501,
255,,Track,4,Image 1,1000014521,
23.64,,Track,4,Image 1,1000014536,
23.3908,,Track,4,Image 1,1000014545,
4.27536,,Track,4,Image 1,1000014556,
68.7381,,Track,4,Image 1,1000014582,
3.98473,,Track,4,Image 1,1000014583,
255,,Track,4,Image 1,1000014584,
0.338462,,Track,4,Image 1,1000014586,
57.1915,,Track,4,Image 1,1000014591,
43.2391,,Track,4,Image 1,1000014605,
33.0783,,Track,4,Image 1,1000014607,
0.343434,,Track,4,Image 1,1000014626,
8.71823,,Track,4,Image 1,1000014627,
0.151899,,Track,4,Image 1,1000014647,
3.24026,,Track,4,Image 1,1000014648,
1.19231,,Track,4,Image 1,1000014656,
0.511628,,Track,4,Image 1,1000014658,
30.339,,Track,4,Image 1,1000014659,
33.4952,,Track,4,Image 1,1000014661,
115.835,,Track,4,Image 1,1000014663,
66.75,,Track,4,Image 1,1000014668,
37.5541,,Track,4,Image 1,1000014676,
24.7857,,Track,4,Image 1,1000014683,
11.828,,Track,4,Image 1,1000014686,
26.7083,,Track,4,Image 1,1000014702,
2.75897,,Track,4,Image 1,1000014710,
13.9333,,Track,4,Image 1,1000014716,
149.865,,Track,4,Image 1,1000014732,
18.5616,,Track,4,Image 1,1000014748,
254.943,,Track,4,Image 1,1000014750,
229.889,,Track,4,Image 1,1000014752,
8.20513,,Track,4,Image 1,1000014756,
31.6667,,Track,4,Image 1,1000014762,
49.5781,,Track,4,Image 1,1000014764,
72.8095,,Track,4,Image 1,1000014765,
21.6393,,Track,4,Image 1,1000014775,
1.2381,,Track,4,Image 1,1000014776,
69.5172,,Track,4,Image 1,1000014780,
39.7634,,Track,4,Image 1,1000014783,
122.362,,Track,4,Image 1,1000014786,
6.82143,,Track,4,Image 1,1000014798,
3.61905,,Track,4,Image 1,1000014800,
1.21898,,Track,4,Image 1,1000014803,
5.75,,Track,4,Image 1,1000014804,
64,,Track,4,Image 1,1000014809,
10.871,,Track,4,Image 1,1000014822,
15.3074,,Track,4,Image 1,1000014846,
17.6436,,Track,4,Image 1,1000014848,
7.86667,,Track,4,Image 1,1000014852,
23.6733,,Track,4,Image 1,1000014859,
28.7222,,Track,4,Image 1,1000014887,
41.1317,,Track,4,Image 1,1000014909,
216.604,,Track,4,Image 1,1000014918,
38.2296,,Track,4,Image 1,1000014926,
0.453901,,Track,4,Image 1,1000014938,
55.2759,,Track,4,Image 1,1000014939,
1.51489,,Track,4,Image 1,1000014943,
1.94231,,Track,4,Image 1,1000014948,
7.24483,,Track,4,Image 1,1000014950,
1.49275,,Track,4,Image 1,1000014956,
6.21898,,Track,4,Image 1,1000014964,
51.7895,,Track,4,Image 1,1000014966,
32.84,,Track,4,Image 1,1000014981,
101.78,,Track,4,Image 1,1000014991,
12.9699,,Track,4,Image 1,1000015000,
25.5597,,Track,4,Image 1,1000015007,
0.311111,,Track,4,Image 1,1000015009,
145.958,,Track,4,Image 1,1000015012,
74.6875,,Track,4,Image 1,1000015021,
78.131,,Track,4,Image 1,1000015022,
128.123,,Track,4,Image 1,1000015027,
43.033,,Track,4,Image 1,1000015029,
255,,Track,4,Image 1,1000015030,
1.10938,,Track,4,Image 1,1000015055,
15.275,,Track,4,Image 1,1000015069,
15.9099,,Track,4,Image 1,1000015072,
1.52033,,Track,4,Image 1,1000015073,
20.771,,Track,4,Image 1,1000015096,
37.4699,,Track,4,Image 1,1000015097,
18.2222,,Track,4,Image 1,1000015099,
233.76,,Track,4,Image 1,1000015100,
0.508197,,Track,4,Image 1,1000015102,
1.68519,,Track,4,Image 1,1000015108,
194.802,,Track,4,Image 1,1000015118,
2.8,,Track,4,Image 1,1000015122,
114.221,,Track,4,Image 1,1000015123,
7.77841,,Track,4,Image 1,1000015142,
233.128,,Track,4,Image 1,1000015145,
31.35,,Track,4,Image 1,1000015154,
89.7255,,Track,4,Image 1,1000015158,
177.278,,Track,4,Image 1,1000015161,
255,,Track,4,Image 1,1000015174,
14.1364,,Track,4,Image 1,1000015179,
1.75714,,Track,4,Image 1,1000015180,
157.766,,Track,4,Image 1,1000015184,
17.9906,,Track,4,Image 1,1000015190,
36.3832,,Track,4,Image 1,1000015202,
1.20382,,Track,4,Image 1,1000015204,
3.59184,,Track,4,Image 1,1000015206,
33.9667,,Track,4,Image 1,1000015207,
1.23864,,Track,4,Image 1,1000015208,
40.9251,,Track,4,Image 1,1000015213,
31.95,,Track,4,Image 1,1000015219,
0.393939,,Track,4,Image 1,1000015221,
92.6842,,Track,4,Image 1,1000015228,
2.76768,,Track,4,Image 1,1000015237,
39.5613,,Track,4,Image 1,1000015240,
11.1038,,Track,4,Image 1,1000015248,
25.1836,,Track,4,Image 1,1000015251,
8.83234,,Track,4,Image 1,1000015267,
5.6875,,Track,4,Image 1,1000015268,
41.52,,Track,4,Image 1,1000015274,
147.214,,Track,4,Image 1,1000015279,
