
Track Intensity Min Ch=5 Img=1
 ==================== 
Track Intensity Min,Unit,Category,Channel,Image,ID,
82,,Track,5,Image 1,1000014184,
91,,Track,5,Image 1,1000014185,
96,,Track,5,Image 1,1000014186,
48,,Track,5,Image 1,1000014187,
53,,Track,5,Image 1,1000014188,
83,,Track,5,Image 1,1000014189,
46,,Track,5,Image 1,1000014190,
33,,Track,5,Image 1,1000014191,
87,,Track,5,Image 1,1000014192,
48,,Track,5,Image 1,1000014193,
104,,Track,5,Image 1,1000014194,
67,,Track,5,Image 1,1000014195,
111,,Track,5,Image 1,1000014196,
60,,Track,5,Image 1,1000014197,
34,,Track,5,Image 1,1000014198,
108,,Track,5,Image 1,1000014199,
74,,Track,5,Image 1,1000014200,
16,,Track,5,Image 1,1000014201,
86,,Track,5,Image 1,1000014202,
22,,Track,5,Image 1,1000014207,
141,,Track,5,Image 1,1000014210,
92,,Track,5,Image 1,1000014212,
69,,Track,5,Image 1,1000014216,
28,,Track,5,Image 1,1000014218,
76,,Track,5,Image 1,1000014220,
110,,Track,5,Image 1,1000014223,
91,,Track,5,Image 1,1000014233,
67,,Track,5,Image 1,1000014236,
58,,Track,5,Image 1,1000014239,
89,,Track,5,Image 1,1000014242,
72,,Track,5,Image 1,1000014261,
117,,Track,5,Image 1,1000014275,
43,,Track,5,Image 1,1000014288,
79,,Track,5,Image 1,1000014289,
66,,Track,5,Image 1,1000014298,
104,,Track,5,Image 1,1000014299,
105,,Track,5,Image 1,1000014302,
83,,Track,5,Image 1,1000014304,
61,,Track,5,Image 1,1000014329,
77,,Track,5,Image 1,1000014331,
71,,Track,5,Image 1,1000014350,
52,,Track,5,Image 1,1000014353,
60,,Track,5,Image 1,1000014394,
84,,Track,5,Image 1,1000014397,
68,,Track,5,Image 1,1000014400,
99,,Track,5,Image 1,1000014402,
229,,Track,5,Image 1,1000014407,
51,,Track,5,Image 1,1000014412,
112,,Track,5,Image 1,1000014414,
70,,Track,5,Image 1,1000014422,
58,,Track,5,Image 1,1000014430,
52,,Track,5,Image 1,1000014433,
67,,Track,5,Image 1,1000014436,
29,,Track,5,Image 1,1000014438,
61,,Track,5,Image 1,1000014439,
59,,Track,5,Image 1,1000014440,
65,,Track,5,Image 1,1000014447,
70,,Track,5,Image 1,1000014453,
99,,Track,5,Image 1,1000014459,
67,,Track,5,Image 1,1000014465,
166,,Track,5,Image 1,1000014470,
72,,Track,5,Image 1,1000014493,
29,,Track,5,Image 1,1000014501,
60,,Track,5,Image 1,1000014521,
99,,Track,5,Image 1,1000014536,
73,,Track,5,Image 1,1000014545,
62,,Track,5,Image 1,1000014556,
0,,Track,5,Image 1,1000014582,
71,,Track,5,Image 1,1000014583,
129,,Track,5,Image 1,1000014584,
64,,Track,5,Image 1,1000014586,
86,,Track,5,Image 1,1000014591,
118,,Track,5,Image 1,1000014605,
59,,Track,5,Image 1,1000014607,
48,,Track,5,Image 1,1000014626,
50,,Track,5,Image 1,1000014627,
70,,Track,5,Image 1,1000014647,
81,,Track,5,Image 1,1000014648,
60,,Track,5,Image 1,1000014656,
76,,Track,5,Image 1,1000014658,
45,,Track,5,Image 1,1000014659,
69,,Track,5,Image 1,1000014661,
84,,Track,5,Image 1,1000014663,
169,,Track,5,Image 1,1000014668,
75,,Track,5,Image 1,1000014676,
95,,Track,5,Image 1,1000014683,
70,,Track,5,Image 1,1000014686,
82,,Track,5,Image 1,1000014702,
74,,Track,5,Image 1,1000014710,
118,,Track,5,Image 1,1000014716,
102,,Track,5,Image 1,1000014732,
88,,Track,5,Image 1,1000014748,
36,,Track,5,Image 1,1000014750,
97,,Track,5,Image 1,1000014752,
67,,Track,5,Image 1,1000014756,
74,,Track,5,Image 1,1000014762,
63,,Track,5,Image 1,1000014764,
100,,Track,5,Image 1,1000014765,
53,,Track,5,Image 1,1000014775,
71,,Track,5,Image 1,1000014776,
101,,Track,5,Image 1,1000014780,
106,,Track,5,Image 1,1000014783,
67,,Track,5,Image 1,1000014786,
153,,Track,5,Image 1,1000014798,
61,,Track,5,Image 1,1000014800,
47,,Track,5,Image 1,1000014803,
79,,Track,5,Image 1,1000014804,
113,,Track,5,Image 1,1000014809,
75,,Track,5,Image 1,1000014822,
57,,Track,5,Image 1,1000014846,
67,,Track,5,Image 1,1000014848,
107,,Track,5,Image 1,1000014852,
27,,Track,5,Image 1,1000014859,
64,,Track,5,Image 1,1000014887,
71,,Track,5,Image 1,1000014909,
111,,Track,5,Image 1,1000014918,
57,,Track,5,Image 1,1000014926,
29,,Track,5,Image 1,1000014938,
91,,Track,5,Image 1,1000014939,
32,,Track,5,Image 1,1000014943,
90,,Track,5,Image 1,1000014948,
54,,Track,5,Image 1,1000014950,
56,,Track,5,Image 1,1000014956,
70,,Track,5,Image 1,1000014964,
98,,Track,5,Image 1,1000014966,
124,,Track,5,Image 1,1000014981,
109,,Track,5,Image 1,1000014991,
31,,Track,5,Image 1,1000015000,
78,,Track,5,Image 1,1000015007,
101,,Track,5,Image 1,1000015009,
90,,Track,5,Image 1,1000015012,
155,,Track,5,Image 1,1000015021,
77,,Track,5,Image 1,1000015022,
70,,Track,5,Image 1,1000015027,
109,,Track,5,Image 1,1000015029,
37,,Track,5,Image 1,1000015030,
54,,Track,5,Image 1,1000015055,
98,,Track,5,Image 1,1000015069,
10,,Track,5,Image 1,1000015072,
54,,Track,5,Image 1,1000015073,
97,,Track,5,Image 1,1000015096,
22,,Track,5,Image 1,1000015097,
44,,Track,5,Image 1,1000015099,
34,,Track,5,Image 1,1000015100,
69,,Track,5,Image 1,1000015102,
67,,Track,5,Image 1,1000015108,
65,,Track,5,Image 1,1000015118,
76,,Track,5,Image 1,1000015122,
31,,Track,5,Image 1,1000015123,
66,,Track,5,Image 1,1000015142,
44,,Track,5,Image 1,1000015145,
59,,Track,5,Image 1,1000015154,
126,,Track,5,Image 1,1000015158,
86,,Track,5,Image 1,1000015161,
28,,Track,5,Image 1,1000015174,
79,,Track,5,Image 1,1000015179,
53,,Track,5,Image 1,1000015180,
43,,Track,5,Image 1,1000015184,
59,,Track,5,Image 1,1000015190,
63,,Track,5,Image 1,1000015202,
75,,Track,5,Image 1,1000015204,
138,,Track,5,Image 1,1000015206,
84,,Track,5,Image 1,1000015207,
43,,Track,5,Image 1,1000015208,
71,,Track,5,Image 1,1000015213,
124,,Track,5,Image 1,1000015219,
65,,Track,5,Image 1,1000015221,
127,,Track,5,Image 1,1000015228,
60,,Track,5,Image 1,1000015237,
50,,Track,5,Image 1,1000015240,
54,,Track,5,Image 1,1000015248,
0,,Track,5,Image 1,1000015251,
72,,Track,5,Image 1,1000015267,
67,,Track,5,Image 1,1000015268,
36,,Track,5,Image 1,1000015274,
43,,Track,5,Image 1,1000015279,
68,,Track,5,Image 1,1000015280,
86,,Track,5,Image 1,1000015290,
128,,Track,5,Image 1,1000015293,
63,,Track,5,Image 1,1000015307,
67,,Track,5,Image 1,1000015308,
86,,Track,5,Image 1,1000015348,
73,,Track,5,Image 1,1000015352,
80,,Track,5,Image 1,1000015353,
63,,Track,5,Image 1,1000015362,
111,,Track,5,Image 1,1000015370,
131,,Track,5,Image 1,1000015377,
75,,Track,5,Image 1,1000015388,
142,,Track,5,Image 1,1000015394,
97,,Track,5,Image 1,1000015400,
59,,Track,5,Image 1,1000015407,
55,,Track,5,Image 1,1000015415,
75,,Track,5,Image 1,1000015421,
77,,Track,5,Image 1,1000015432,
107,,Track,5,Image 1,1000015443,
87,,Track,5,Image 1,1000015450,
68,,Track,5,Image 1,1000015455,
132,,Track,5,Image 1,1000015461,
35,,Track,5,Image 1,1000015477,
153,,Track,5,Image 1,1000015497,
69,,Track,5,Image 1,1000015502,
65,,Track,5,Image 1,1000015503,
123,,Track,5,Image 1,1000015508,
88,,Track,5,Image 1,1000015516,
44,,Track,5,Image 1,1000015525,
66,,Track,5,Image 1,1000015536,
172,,Track,5,Image 1,1000015541,
90,,Track,5,Image 1,1000015557,
121,,Track,5,Image 1,1000015590,
9,,Track,5,Image 1,1000015591,
69,,Track,5,Image 1,1000015593,
46,,Track,5,Image 1,1000015622,
110,,Track,5,Image 1,1000015630,
117,,Track,5,Image 1,1000015650,
55,,Track,5,Image 1,1000015674,
58,,Track,5,Image 1,1000015675,
61,,Track,5,Image 1,1000015678,
73,,Track,5,Image 1,1000015680,
40,,Track,5,Image 1,1000015682,
64,,Track,5,Image 1,1000015700,
91,,Track,5,Image 1,1000015706,
60,,Track,5,Image 1,1000015719,
248,,Track,5,Image 1,1000015724,
78,,Track,5,Image 1,1000015726,
34,,Track,5,Image 1,1000015727,
74,,Track,5,Image 1,1000015732,
80,,Track,5,Image 1,1000015744,
41,,Track,5,Image 1,1000015750,
92,,Track,5,Image 1,1000015752,
109,,Track,5,Image 1,1000015753,
49,,Track,5,Image 1,1000015756,
63,,Track,5,Image 1,1000015758,
85,,Track,5,Image 1,1000015767,
53,,Track,5,Image 1,1000015768,
58,,Track,5,Image 1,1000015772,
78,,Track,5,Image 1,1000015781,
124,,Track,5,Image 1,1000015782,
134,,Track,5,Image 1,1000015808,
89,,Track,5,Image 1,1000015810,
75,,Track,5,Image 1,1000015856,
93,,Track,5,Image 1,1000015857,
204,,Track,5,Image 1,1000015872,
61,,Track,5,Image 1,1000015881,
75,,Track,5,Image 1,1000015885,
68,,Track,5,Image 1,1000015891,
165,,Track,5,Image 1,1000015910,
65,,Track,5,Image 1,1000015931,
80,,Track,5,Image 1,1000015937,
52,,Track,5,Image 1,1000015951,
52,,Track,5,Image 1,1000015960,
32,,Track,5,Image 1,1000015964,
49,,Track,5,Image 1,1000015975,
61,,Track,5,Image 1,1000015996,
79,,Track,5,Image 1,1000016009,
87,,Track,5,Image 1,1000016017,
41,,Track,5,Image 1,1000016024,
61,,Track,5,Image 1,1000016031,
126,,Track,5,Image 1,1000016045,
112,,Track,5,Image 1,1000016051,
0,,Track,5,Image 1,1000016052,
71,,Track,5,Image 1,1000016073,
71,,Track,5,Image 1,1000016077,
85,,Track,5,Image 1,1000016083,
112,,Track,5,Image 1,1000016095,
72,,Track,5,Image 1,1000016100,
95,,Track,5,Image 1,1000016102,
39,,Track,5,Image 1,1000016107,
53,,Track,5,Image 1,1000016109,
72,,Track,5,Image 1,1000016117,
148,,Track,5,Image 1,1000016143,
46,,Track,5,Image 1,1000016167,
66,,Track,5,Image 1,1000016188,
