
Track Intensity StdDev Ch=1 Img=1
 ==================== 
Track Intensity StdDev,Unit,Category,Channel,Image,ID,
9.76746,,Track,1,Image 1,1000014184,
4.34318,,Track,1,Image 1,1000014185,
0.579096,,Track,1,Image 1,1000014186,
0,,Track,1,Image 1,1000014187,
0,,Track,1,Image 1,1000014188,
0.965344,,Track,1,Image 1,1000014189,
15.6371,,Track,1,Image 1,1000014190,
2.54948,,Track,1,Image 1,1000014191,
13.9007,,Track,1,Image 1,1000014192,
5.59266,,Track,1,Image 1,1000014193,
22.286,,Track,1,Image 1,1000014194,
10.4277,,Track,1,Image 1,1000014195,
13.4977,,Track,1,Image 1,1000014196,
18.5059,,Track,1,Image 1,1000014197,
16.3574,,Track,1,Image 1,1000014198,
43.6189,,Track,1,Image 1,1000014199,
13.4981,,Track,1,Image 1,1000014200,
2.71023,,Track,1,Image 1,1000014201,
0,,Track,1,Image 1,1000014202,
18.2306,,Track,1,Image 1,1000014207,
12.1043,,Track,1,Image 1,1000014210,
0.316124,,Track,1,Image 1,1000014212,
2.93503,,Track,1,Image 1,1000014216,
28.9287,,Track,1,Image 1,1000014218,
2.10168,,Track,1,Image 1,1000014220,
10.2635,,Track,1,Image 1,1000014223,
7.58453,,Track,1,Image 1,1000014233,
6.17938,,Track,1,Image 1,1000014236,
0.162754,,Track,1,Image 1,1000014239,
3.60067,,Track,1,Image 1,1000014242,
0,,Track,1,Image 1,1000014261,
16.8116,,Track,1,Image 1,1000014275,
1.79411,,Track,1,Image 1,1000014288,
6.39026,,Track,1,Image 1,1000014289,
7.96874,,Track,1,Image 1,1000014298,
9.00928,,Track,1,Image 1,1000014299,
43.3975,,Track,1,Image 1,1000014302,
3.25574,,Track,1,Image 1,1000014304,
0.668043,,Track,1,Image 1,1000014329,
0.106292,,Track,1,Image 1,1000014331,
7.16791,,Track,1,Image 1,1000014350,
8.46693,,Track,1,Image 1,1000014353,
16.2355,,Track,1,Image 1,1000014394,
1.28455,,Track,1,Image 1,1000014397,
2.61846,,Track,1,Image 1,1000014400,
25.9384,,Track,1,Image 1,1000014402,
0,,Track,1,Image 1,1000014407,
2.74051,,Track,1,Image 1,1000014412,
15.1162,,Track,1,Image 1,1000014414,
15.1786,,Track,1,Image 1,1000014422,
14.3809,,Track,1,Image 1,1000014430,
13.2647,,Track,1,Image 1,1000014433,
5.18334,,Track,1,Image 1,1000014436,
21.5293,,Track,1,Image 1,1000014438,
0,,Track,1,Image 1,1000014439,
60.2872,,Track,1,Image 1,1000014440,
17.5003,,Track,1,Image 1,1000014447,
21.7471,,Track,1,Image 1,1000014453,
0,,Track,1,Image 1,1000014459,
3.40985,,Track,1,Image 1,1000014465,
18.6125,,Track,1,Image 1,1000014470,
0,,Track,1,Image 1,1000014493,
37.7471,,Track,1,Image 1,1000014501,
0,,Track,1,Image 1,1000014521,
8.31153,,Track,1,Image 1,1000014536,
10.7766,,Track,1,Image 1,1000014545,
0.265657,,Track,1,Image 1,1000014556,
34.9496,,Track,1,Image 1,1000014582,
2.20395,,Track,1,Image 1,1000014583,
0,,Track,1,Image 1,1000014584,
0,,Track,1,Image 1,1000014586,
17.6894,,Track,1,Image 1,1000014591,
11.0491,,Track,1,Image 1,1000014605,
10.867,,Track,1,Image 1,1000014607,
0.0999949,,Track,1,Image 1,1000014626,
5.62449,,Track,1,Image 1,1000014627,
0.335383,,Track,1,Image 1,1000014647,
3.29353,,Track,1,Image 1,1000014648,
0,,Track,1,Image 1,1000014656,
0,,Track,1,Image 1,1000014658,
15.6243,,Track,1,Image 1,1000014659,
9.05992,,Track,1,Image 1,1000014661,
24.8642,,Track,1,Image 1,1000014663,
17.9737,,Track,1,Image 1,1000014668,
12.7003,,Track,1,Image 1,1000014676,
8.091,,Track,1,Image 1,1000014683,
4.56321,,Track,1,Image 1,1000014686,
10.7696,,Track,1,Image 1,1000014702,
1.3382,,Track,1,Image 1,1000014710,
5.16064,,Track,1,Image 1,1000014716,
55.4446,,Track,1,Image 1,1000014732,
8.36328,,Track,1,Image 1,1000014748,
21.941,,Track,1,Image 1,1000014750,
35.19,,Track,1,Image 1,1000014752,
5.66991,,Track,1,Image 1,1000014756,
13.4057,,Track,1,Image 1,1000014762,
22.5823,,Track,1,Image 1,1000014764,
20.0158,,Track,1,Image 1,1000014765,
6.32353,,Track,1,Image 1,1000014775,
0.325373,,Track,1,Image 1,1000014776,
18.7064,,Track,1,Image 1,1000014780,
11.7047,,Track,1,Image 1,1000014783,
29.587,,Track,1,Image 1,1000014786,
0,,Track,1,Image 1,1000014798,
6.3421,,Track,1,Image 1,1000014800,
0,,Track,1,Image 1,1000014803,
7.38769,,Track,1,Image 1,1000014804,
20.8542,,Track,1,Image 1,1000014809,
5.71155,,Track,1,Image 1,1000014822,
8.96981,,Track,1,Image 1,1000014846,
8.8578,,Track,1,Image 1,1000014848,
2.63718,,Track,1,Image 1,1000014852,
9.16893,,Track,1,Image 1,1000014859,
6.31644,,Track,1,Image 1,1000014887,
14.3068,,Track,1,Image 1,1000014909,
45.2716,,Track,1,Image 1,1000014918,
14.8337,,Track,1,Image 1,1000014926,
0,,Track,1,Image 1,1000014938,
27.6005,,Track,1,Image 1,1000014939,
0.400678,,Track,1,Image 1,1000014943,
1.52336,,Track,1,Image 1,1000014948,
5.85332,,Track,1,Image 1,1000014950,
2.16433,,Track,1,Image 1,1000014956,
3.00095,,Track,1,Image 1,1000014964,
18.1627,,Track,1,Image 1,1000014966,
6.79364,,Track,1,Image 1,1000014981,
21.5455,,Track,1,Image 1,1000014991,
13.6026,,Track,1,Image 1,1000015000,
14.19,,Track,1,Image 1,1000015007,
0,,Track,1,Image 1,1000015009,
29.9342,,Track,1,Image 1,1000015012,
28.2318,,Track,1,Image 1,1000015021,
21.0792,,Track,1,Image 1,1000015022,
32.0734,,Track,1,Image 1,1000015027,
15.6299,,Track,1,Image 1,1000015029,
17.1617,,Track,1,Image 1,1000015030,
0.12402,,Track,1,Image 1,1000015055,
14.8084,,Track,1,Image 1,1000015069,
