
Track Intensity Sum Ch=6 Img=1
 ==================== 
Track Intensity Sum,Unit,Category,Channel,Image,ID,
24472,,Track,6,Image 1,1000014184,
68599,,Track,6,Image 1,1000014185,
18774,,Track,6,Image 1,1000014186,
44066,,Track,6,Image 1,1000014187,
8456,,Track,6,Image 1,1000014188,
57261,,Track,6,Image 1,1000014189,
42879,,Track,6,Image 1,1000014190,
37983,,Track,6,Image 1,1000014191,
21373,,Track,6,Image 1,1000014192,
46243,,Track,6,Image 1,1000014193,
5795,,Track,6,Image 1,1000014194,
15171,,Track,6,Image 1,1000014195,
14651,,Track,6,Image 1,1000014196,
33244,,Track,6,Image 1,1000014197,
209507,,Track,6,Image 1,1000014198,
62260,,Track,6,Image 1,1000014199,
52557,,Track,6,Image 1,1000014200,
24111,,Track,6,Image 1,1000014201,
4447,,Track,6,Image 1,1000014202,
37175,,Track,6,Image 1,1000014207,
5959,,Track,6,Image 1,1000014210,
8097,,Track,6,Image 1,1000014212,
29460,,Track,6,Image 1,1000014216,
25571,,Track,6,Image 1,1000014218,
11285,,Track,6,Image 1,1000014220,
5271,,Track,6,Image 1,1000014223,
17202,,Track,6,Image 1,1000014233,
11851,,Track,6,Image 1,1000014236,
21284,,Track,6,Image 1,1000014239,
6595,,Track,6,Image 1,1000014242,
7481,,Track,6,Image 1,1000014261,
6928,,Track,6,Image 1,1000014275,
28875,,Track,6,Image 1,1000014288,
11499,,Track,6,Image 1,1000014289,
18575,,Track,6,Image 1,1000014298,
19727,,Track,6,Image 1,1000014299,
4687,,Track,6,Image 1,1000014302,
16419,,Track,6,Image 1,1000014304,
6673,,Track,6,Image 1,1000014329,
26473,,Track,6,Image 1,1000014331,
32288,,Track,6,Image 1,1000014350,
43100,,Track,6,Image 1,1000014353,
95031,,Track,6,Image 1,1000014394,
15420,,Track,6,Image 1,1000014397,
57949,,Track,6,Image 1,1000014400,
11703,,Track,6,Image 1,1000014402,
5036,,Track,6,Image 1,1000014407,
15189,,Track,6,Image 1,1000014412,
21215,,Track,6,Image 1,1000014414,
8055,,Track,6,Image 1,1000014422,
5878,,Track,6,Image 1,1000014430,
14218,,Track,6,Image 1,1000014433,
16064,,Track,6,Image 1,1000014436,
14911,,Track,6,Image 1,1000014438,
9589,,Track,6,Image 1,1000014439,
37988,,Track,6,Image 1,1000014440,
25416,,Track,6,Image 1,1000014447,
43936,,Track,6,Image 1,1000014453,
8113,,Track,6,Image 1,1000014459,
15539,,Track,6,Image 1,1000014465,
28196,,Track,6,Image 1,1000014470,
14763,,Track,6,Image 1,1000014493,
61540,,Track,6,Image 1,1000014501,
9946,,Track,6,Image 1,1000014521,
8067,,Track,6,Image 1,1000014536,
17348,,Track,6,Image 1,1000014545,
10931,,Track,6,Image 1,1000014556,
15309,,Track,6,Image 1,1000014582,
23210,,Track,6,Image 1,1000014583,
3074,,Track,6,Image 1,1000014584,
11262,,Track,6,Image 1,1000014586,
36542,,Track,6,Image 1,1000014591,
9791,,Track,6,Image 1,1000014605,
32229,,Track,6,Image 1,1000014607,
14352,,Track,6,Image 1,1000014626,
28374,,Track,6,Image 1,1000014627,
10816,,Track,6,Image 1,1000014647,
27007,,Track,6,Image 1,1000014648,
6587,,Track,6,Image 1,1000014656,
5466,,Track,6,Image 1,1000014658,
200329,,Track,6,Image 1,1000014659,
21485,,Track,6,Image 1,1000014661,
14266,,Track,6,Image 1,1000014663,
5818,,Track,6,Image 1,1000014668,
41544,,Track,6,Image 1,1000014676,
11290,,Track,6,Image 1,1000014683,
30166,,Track,6,Image 1,1000014686,
5407,,Track,6,Image 1,1000014702,
35118,,Track,6,Image 1,1000014710,
5374,,Track,6,Image 1,1000014716,
34894,,Track,6,Image 1,1000014732,
12219,,Track,6,Image 1,1000014748,
5780,,Track,6,Image 1,1000014750,
8001,,Track,6,Image 1,1000014752,
20319,,Track,6,Image 1,1000014756,
7144,,Track,6,Image 1,1000014762,
