
Track Number of Surfaces
 ==================== 
Track Number of Surfaces,Unit,Category,ID,
11,,Track,1000014184,
26,,Track,1000014185,
5,,Track,1000014186,
7,,Track,1000014187,
4,,Track,1000014188,
16,,Track,1000014189,
7,,Track,1000014190,
5,,Track,1000014191,
5,,Track,1000014192,
12,,Track,1000014193,
5,,Track,1000014194,
4,,Track,1000014195,
6,,Track,1000014196,
17,,Track,1000014197,
31,,Track,1000014198,
30,,Track,1000014199,
15,,Track,1000014200,
10,,Track,1000014201,
6,,Track,1000014202,
6,,Track,1000014207,
5,,Track,1000014210,
6,,Track,1000014212,
7,,Track,1000014216,
7,,Track,1000014218,
4,,Track,1000014220,
4,,Track,1000014223,
6,,Track,1000014233,
4,,Track,1000014236,
6,,Track,1000014239,
4,,Track,1000014242,
4,,Track,1000014261,
4,,Track,1000014275,
4,,Track,1000014288,
6,,Track,1000014289,
7,,Track,1000014298,
10,,Track,1000014299,
4,,Track,1000014302,
5,,Track,1000014304,
4,,Track,1000014329,
8,,Track,1000014331,
6,,Track,1000014350,
21,,Track,1000014353,
15,,Track,1000014394,
6,,Track,1000014397,
9,,Track,1000014400,
7,,Track,1000014402,
5,,Track,1000014407,
6,,Track,1000014412,
7,,Track,1000014414,
4,,Track,1000014422,
4,,Track,1000014430,
4,,Track,1000014433,
4,,Track,1000014436,
6,,Track,1000014438,
4,,Track,1000014439,
7,,Track,1000014440,
4,,Track,1000014447,
9,,Track,1000014453,
4,,Track,1000014459,
5,,Track,1000014465,
18,,Track,1000014470,
6,,Track,1000014493,
13,,Track,1000014501,
6,,Track,1000014521,
8,,Track,1000014536,
5,,Track,1000014545,
4,,Track,1000014556,
5,,Track,1000014582,
4,,Track,1000014583,
4,,Track,1000014584,
4,,Track,1000014586,
16,,Track,1000014591,
6,,Track,1000014605,
12,,Track,1000014607,
4,,Track,1000014626,
4,,Track,1000014627,
4,,Track,1000014647,
11,,Track,1000014648,
4,,Track,1000014656,
4,,Track,1000014658,
32,,Track,1000014659,
6,,Track,1000014661,
5,,Track,1000014663,
6,,Track,1000014668,
13,,Track,1000014676,
6,,Track,1000014683,
10,,Track,1000014686,
4,,Track,1000014702,
5,,Track,1000014710,
4,,Track,1000014716,
10,,Track,1000014732,
4,,Track,1000014748,
5,,Track,1000014750,
10,,Track,1000014752,
4,,Track,1000014756,
6,,Track,1000014762,
4,,Track,1000014764,
4,,Track,1000014765,
7,,Track,1000014775,
5,,Track,1000014776,
4,,Track,1000014780,
14,,Track,1000014783,
4,,Track,1000014786,
4,,Track,1000014798,
4,,Track,1000014800,
5,,Track,1000014803,
4,,Track,1000014804,
9,,Track,1000014809,
4,,Track,1000014822,
5,,Track,1000014846,
4,,Track,1000014848,
9,,Track,1000014852,
4,,Track,1000014859,
5,,Track,1000014887,
12,,Track,1000014909,
8,,Track,1000014918,
12,,Track,1000014926,
5,,Track,1000014938,
4,,Track,1000014939,
10,,Track,1000014943,
4,,Track,1000014948,
9,,Track,1000014950,
4,,Track,1000014956,
4,,Track,1000014964,
4,,Track,1000014966,
4,,Track,1000014981,
9,,Track,1000014991,
5,,Track,1000015000,
6,,Track,1000015007,
4,,Track,1000015009,
4,,Track,1000015012,
26,,Track,1000015021,
11,,Track,1000015022,
11,,Track,1000015027,
16,,Track,1000015029,
11,,Track,1000015030,
4,,Track,1000015055,
6,,Track,1000015069,
29,,Track,1000015072,
6,,Track,1000015073,
46,,Track,1000015096,
43,,Track,1000015097,
6,,Track,1000015099,
9,,Track,1000015100,
4,,Track,1000015102,
9,,Track,1000015108,
