
Track Position
 ==================== 
Track Position X Mean,Track Position Y Mean,Track Position Z Mean,Unit,Category,Collection,ID,
181.655,242.006,41.8226,um,Track,Track Position,1000014184,
141.071,393.009,50.331,um,Track,Track Position,1000014185,
151.554,263.744,40.154,um,Track,Track Position,1000014186,
223.766,188.216,52.4789,um,Track,Track Position,1000014187,
350.011,33.8618,41.3888,um,Track,Track Position,1000014188,
201.662,158.096,22.3906,um,Track,Track Position,1000014189,
282.952,52.834,52.4714,um,Track,Track Position,1000014190,
43.4897,272.733,2.22352,um,Track,Track Position,1000014191,
126.944,178.873,11.16,um,Track,Track Position,1000014192,
80.523,219.602,12.5941,um,Track,Track Position,1000014193,
114.718,170.632,6.71053,um,Track,Track Position,1000014194,
261.167,2.23809,10.1504,um,Track,Track Position,1000014195,
87.9553,153.234,14.3314,um,Track,Track Position,1000014196,
158.001,68.3571,21.467,um,Track,Track Position,1000014197,
92.9534,104.645,9.46562,um,Track,Track Position,1000014198,
66.3044,123.856,31.2486,um,Track,Track Position,1000014199,
70.6368,119.292,5.80887,um,Track,Track Position,1000014200,
84.8471,98.8108,1.73555,um,Track,Track Position,1000014201,
38.9994,105.381,7.5,um,Track,Track Position,1000014202,
171.523,215.79,38.3275,um,Track,Track Position,1000014207,
120.564,226.44,31.5,um,Track,Track Position,1000014210,
125.644,215.74,8.575,um,Track,Track Position,1000014212,
83.5502,213.715,1.5,um,Track,Track Position,1000014216,
67.0137,208.643,9.38487,um,Track,Track Position,1000014218,
66.4139,190.251,20.1843,um,Track,Track Position,1000014220,
101.616,116.829,4.43182,um,Track,Track Position,1000014223,
167.868,220.65,29.4516,um,Track,Track Position,1000014233,
165.477,215.258,31.1431,um,Track,Track Position,1000014236,
125.26,225.041,14.836,um,Track,Track Position,1000014239,
202.584,126.742,28.5536,um,Track,Track Position,1000014242,
141.994,274.507,30.5052,um,Track,Track Position,1000014261,
123.291,183.869,16.4063,um,Track,Track Position,1000014275,
51.8808,149.94,1.5,um,Track,Track Position,1000014288,
77.324,118.507,5.97094,um,Track,Track Position,1000014289,
173.719,232.165,29.8989,um,Track,Track Position,1000014298,
124.311,272.703,45.0787,um,Track,Track Position,1000014299,
85.0053,296.65,34.0417,um,Track,Track Position,1000014302,
243.453,125.548,22.8391,um,Track,Track Position,1000014304,
120.147,390.836,34.5,um,Track,Track Position,1000014329,
172.941,276.189,45.6088,um,Track,Track Position,1000014331,
251.885,33.8384,52.2692,um,Track,Track Position,1000014350,
178.07,79.7473,30.3027,um,Track,Track Position,1000014353,
204.496,237.182,49.4162,um,Track,Track Position,1000014394,
201.434,214.05,52.5,um,Track,Track Position,1000014397,
43.8963,361.8,1.59282,um,Track,Track Position,1000014400,
86.8332,295.625,34.2143,um,Track,Track Position,1000014402,
127.363,187.267,43.8,um,Track,Track Position,1000014407,
73.5065,193.498,1.78585,um,Track,Track Position,1000014412,
87.9188,154.728,13.2137,um,Track,Track Position,1000014414,
179.216,228.583,39.8229,um,Track,Track Position,1000014422,
88.6179,313.517,22.4464,um,Track,Track Position,1000014430,
147.471,227.379,52.5,um,Track,Track Position,1000014433,
240.988,121.668,11.7624,um,Track,Track Position,1000014436,
124.543,181.156,12.6667,um,Track,Track Position,1000014438,
120.659,189.763,1.5,um,Track,Track Position,1000014439,
214.92,80.6362,52.398,um,Track,Track Position,1000014440,
163.531,37.22,1.52679,um,Track,Track Position,1000014447,
70.5149,115.25,2.07912,um,Track,Track Position,1000014453,
235.062,191.147,35.3804,um,Track,Track Position,1000014459,
28.5132,368.815,9.78615,um,Track,Track Position,1000014465,
144.681,174.963,42.5152,um,Track,Track Position,1000014470,
225.94,187.047,33.4262,um,Track,Track Position,1000014493,
83.0907,301.233,24.5028,um,Track,Track Position,1000014501,
39.8566,100.437,11.3043,um,Track,Track Position,1000014521,
72.2812,307.534,19.5,um,Track,Track Position,1000014536,
80.5051,217.903,11.7711,um,Track,Track Position,1000014545,
218.427,268.027,52.2672,um,Track,Track Position,1000014556,
137.051,33.2758,1.5,um,Track,Track Position,1000014582,
145.149,18.3632,1.62287,um,Track,Track Position,1000014583,
41.1119,103.257,4.5,um,Track,Track Position,1000014584,
223.887,212.324,40.3056,um,Track,Track Position,1000014586,
180.369,227.15,37.5125,um,Track,Track Position,1000014591,
