
Track Position Start
 ==================== 
Track Position X Start,Track Position Y Start,Track Position Z Start,Unit,Category,Collection,ID,
181.828,241.192,43.5,um,Track,Track Position Start,1000014184,
140.638,393.869,52.1667,um,Track,Track Position Start,1000014185,
150.728,263.748,42.75,um,Track,Track Position Start,1000014186,
221.701,187.067,52.5,um,Track,Track Position Start,1000014187,
352.447,35.909,37.5,um,Track,Track Position Start,1000014188,
194.858,160.71,29.9516,um,Track,Track Position Start,1000014189,
284.144,51.947,52.3,um,Track,Track Position Start,1000014190,
44.6316,271.835,1.77907,um,Track,Track Position Start,1000014191,
127.722,178.177,11.7308,um,Track,Track Position Start,1000014192,
80.0845,219.605,14.2826,um,Track,Track Position Start,1000014193,
116.39,169.265,6.55263,um,Track,Track Position Start,1000014194,
262.712,3.38751,9.78,um,Track,Track Position Start,1000014195,
89.7818,151.675,14.5909,um,Track,Track Position Start,1000014196,
152.395,61.3982,19.35,um,Track,Track Position Start,1000014197,
95.7803,105.029,12,um,Track,Track Position Start,1000014198,
66.6703,123.627,31.5,um,Track,Track Position Start,1000014199,
68.3931,120.908,7.5,um,Track,Track Position Start,1000014200,
86.0456,97.8205,2.18182,um,Track,Track Position Start,1000014201,
39.0224,105.444,7.5,um,Track,Track Position Start,1000014202,
169.755,216.623,38.7857,um,Track,Track Position Start,1000014207,
120.388,226.663,31.5,um,Track,Track Position Start,1000014210,
124.54,216.284,9,um,Track,Track Position Start,1000014212,
83.7184,213.724,1.5,um,Track,Track Position Start,1000014216,
67.0439,207.774,9.375,um,Track,Track Position Start,1000014218,
66.5274,189.909,23.8256,um,Track,Track Position Start,1000014220,
102.538,117.068,4.5,um,Track,Track Position Start,1000014223,
166.705,220.554,29.3571,um,Track,Track Position Start,1000014233,
165.127,215.965,31.5,um,Track,Track Position Start,1000014236,
120.25,226.524,13.5,um,Track,Track Position Start,1000014239,
203.553,127.169,28.5,um,Track,Track Position Start,1000014242,
146.386,276.064,30.1875,um,Track,Track Position Start,1000014261,
123.294,184.319,16.5,um,Track,Track Position Start,1000014275,
51.8374,150.856,1.5,um,Track,Track Position Start,1000014288,
78.46,116.237,4.5,um,Track,Track Position Start,1000014289,
175.601,233.127,28.5,um,Track,Track Position Start,1000014298,
122.775,273.677,46.125,um,Track,Track Position Start,1000014299,
84.2719,296.082,34.1667,um,Track,Track Position Start,1000014302,
243.544,125.855,26.5,um,Track,Track Position Start,1000014304,
120.037,392.237,34.5,um,Track,Track Position Start,1000014329,
170.733,276.78,50.0294,um,Track,Track Position Start,1000014331,
247.241,36.4724,52.5,um,Track,Track Position Start,1000014350,
170.786,69.8254,28.5,um,Track,Track Position Start,1000014353,
208.653,240.599,52.5,um,Track,Track Position Start,1000014394,
201.063,215.399,52.5,um,Track,Track Position Start,1000014397,
44.2647,362.431,1.5,um,Track,Track Position Start,1000014400,
87.925,295.326,34.5,um,Track,Track Position Start,1000014402,
127.031,187.64,43.5,um,Track,Track Position Start,1000014407,
75.732,196.239,1.5,um,Track,Track Position Start,1000014412,
89.0874,155.62,13.3,um,Track,Track Position Start,1000014414,
179.752,228.462,39.1667,um,Track,Track Position Start,1000014422,
84.3312,315.442,20.7857,um,Track,Track Position Start,1000014430,
145.047,227.299,52.5,um,Track,Track Position Start,1000014433,
239.199,121.579,13.1,um,Track,Track Position Start,1000014436,
123.502,182.243,13.5,um,Track,Track Position Start,1000014438,
119.512,188.332,1.5,um,Track,Track Position Start,1000014439,
214.782,78.4207,51.7857,um,Track,Track Position Start,1000014440,
162.762,38.1923,1.60714,um,Track,Track Position Start,1000014447,
67.6512,114.269,1.5,um,Track,Track Position Start,1000014453,
234.458,193.129,34.5,um,Track,Track Position Start,1000014459,
26.5408,371.766,9.7,um,Track,Track Position Start,1000014465,
148.617,175.186,40.5,um,Track,Track Position Start,1000014470,
228.821,191.376,36.8,um,Track,Track Position Start,1000014493,
81.4253,302.395,25.5,um,Track,Track Position Start,1000014501,
39.9911,99.7704,10.5,um,Track,Track Position Start,1000014521,
71.6519,308.776,19.5,um,Track,Track Position Start,1000014536,
80.5357,219.605,13.5,um,Track,Track Position Start,1000014545,
218.656,268.354,52.5,um,Track,Track Position Start,1000014556,
135.321,33.4245,1.5,um,Track,Track Position Start,1000014582,
141.491,16.5362,1.5,um,Track,Track Position Start,1000014583,
40.683,103.783,4.5,um,Track,Track Position Start,1000014584,
226.247,212.548,40.5,um,Track,Track Position Start,1000014586,
178.507,227.908,37.5,um,Track,Track Position Start,1000014591,
89.6686,152.769,10.5,um,Track,Track Position Start,1000014605,
101.292,114.162,1.5,um,Track,Track Position Start,1000014607,
190.309,168.307,5.35714,um,Track,Track Position Start,1000014626,
137.702,194.502,52.5,um,Track,Track Position Start,1000014627,
125.453,297.817,31.5,um,Track,Track Position Start,1000014647,
153.599,264.44,34.5,um,Track,Track Position Start,1000014648,
172.979,169.09,4.5,um,Track,Track Position Start,1000014656,
95.3421,241.4,1.5,um,Track,Track Position Start,1000014658,
121.181,198.32,49.0455,um,Track,Track Position Start,1000014659,
82.1765,219.091,11.9286,um,Track,Track Position Start,1000014661,
66.9401,205.699,8.625,um,Track,Track Position Start,1000014663,
101.292,105.582,11.5,um,Track,Track Position Start,1000014668,
181.496,241.94,39.3,um,Track,Track Position Start,1000014676,
123.756,272.558,42.1667,um,Track,Track Position Start,1000014683,
163.479,212.687,28.5,um,Track,Track Position Start,1000014686,
88.2572,93.0729,10.5,um,Track,Track Position Start,1000014702,
200.509,202.17,52.5,um,Track,Track Position Start,1000014710,
206.155,157.668,19.5,um,Track,Track Position Start,1000014716,
60.5056,103.161,2.0625,um,Track,Track Position Start,1000014732,
111.256,216.561,3.5,um,Track,Track Position Start,1000014748,
63.5153,227.701,34.5,um,Track,Track Position Start,1000014750,
78.8752,202.585,31.5,um,Track,Track Position Start,1000014752,
67.0124,156.329,1.5,um,Track,Track Position Start,1000014756,
136.475,33.522,1.5,um,Track,Track Position Start,1000014762,
111.142,31.2105,19.5,um,Track,Track Position Start,1000014764,
121.136,360.253,33.3,um,Track,Track Position Start,1000014765,
75.4157,298.585,1.5,um,Track,Track Position Start,1000014775,
192.137,172.419,13.75,um,Track,Track Position Start,1000014776,
111.671,211.234,15,um,Track,Track Position Start,1000014780,
83.1649,218.867,10.5,um,Track,Track Position Start,1000014783,
68.8527,207.745,4.5,um,Track,Track Position Start,1000014786,
217.76,207.982,49.1667,um,Track,Track Position Start,1000014798,
236.141,226.663,52.5,um,Track,Track Position Start,1000014800,
220.681,208.774,41.6591,um,Track,Track Position Start,1000014803,
201.858,228.531,19.5,um,Track,Track Position Start,1000014804,
168.959,229.569,39,um,Track,Track Position Start,1000014809,
23.6106,282.498,1.5,um,Track,Track Position Start,1000014822,
136.273,266.829,33.8158,um,Track,Track Position Start,1000014846,
154.927,244.43,23.85,um,Track,Track Position Start,1000014848,
64.9386,310.104,16.5,um,Track,Track Position Start,1000014852,
88.1926,218.96,1.5,um,Track,Track Position Start,1000014859,
70.1574,307.991,17.8636,um,Track,Track Position Start,1000014887,
201.152,232.675,45.2419,um,Track,Track Position Start,1000014909,
90.8501,294.84,30.1154,um,Track,Track Position Start,1000014918,
136.025,173.941,5,um,Track,Track Position Start,1000014926,
234.799,200.841,46.5,um,Track,Track Position Start,1000014938,
200.14,247.281,52.5,um,Track,Track Position Start,1000014939,
215.39,207.63,35.7692,um,Track,Track Position Start,1000014943,
90.914,314.007,13.8,um,Track,Track Position Start,1000014948,
85.7018,311.211,18.8333,um,Track,Track Position Start,1000014950,
175.89,160.151,13.5,um,Track,Track Position Start,1000014956,
134.305,113.826,14.6429,um,Track,Track Position Start,1000014964,
100.6,106.136,7.5,um,Track,Track Position Start,1000014966,
124.228,271.186,37.5,um,Track,Track Position Start,1000014981,
128.276,178.47,9.40909,um,Track,Track Position Start,1000014991,
152.964,34.0494,1.5,um,Track,Track Position Start,1000015000,
149.955,261.857,39.5,um,Track,Track Position Start,1000015007,
229.015,179.015,32.8333,um,Track,Track Position Start,1000015009,
92.9897,305.538,25.5,um,Track,Track Position Start,1000015012,
139.485,176.847,49.5,um,Track,Track Position Start,1000015021,
112.667,210.805,19.5,um,Track,Track Position Start,1000015022,
68.6565,206.066,10.9615,um,Track,Track Position Start,1000015027,
84.2719,152.235,15.6429,um,Track,Track Position Start,1000015029,
152.022,54.2164,25.5,um,Track,Track Position Start,1000015030,
174.393,149.976,11.5909,um,Track,Track Position Start,1000015055,
198.018,238.702,19.5,um,Track,Track Position Start,1000015069,
142.723,391.138,47.1,um,Track,Track Position Start,1000015072,
188.382,391.345,52.5,um,Track,Track Position Start,1000015073,
69.3271,119.974,28.5,um,Track,Track Position Start,1000015096,
91.0697,105.029,6.5625,um,Track,Track Position Start,1000015097,
90.3392,89.8923,4.5,um,Track,Track Position Start,1000015099,
65.6867,99.6639,1.5,um,Track,Track Position Start,1000015100,
329.456,88.4234,52.5,um,Track,Track Position Start,1000015102,
136.391,269.1,26.9516,um,Track,Track Position Start,1000015108,
157.75,148.618,52.5,um,Track,Track Position Start,1000015118,
98.5524,190.878,19.5,um,Track,Track Position Start,1000015122,
286.461,-15.0041,44.2143,um,Track,Track Position Start,1000015123,
151.575,241.504,51.375,um,Track,Track Position Start,1000015142,
92.9897,293.499,30,um,Track,Track Position Start,1000015145,
254.748,28.2064,52.3909,um,Track,Track Position Start,1000015154,
171.45,63.1003,22.5,um,Track,Track Position Start,1000015158,
219.605,-15.4785,21.4286,um,Track,Track Position Start,1000015161,
76.7995,325.286,46.5,um,Track,Track Position Start,1000015174,
170.679,210.769,26.6786,um,Track,Track Position Start,1000015179,
220.205,117.713,18.3333,um,Track,Track Position Start,1000015180,
109.803,205.387,43.25,um,Track,Track Position Start,1000015184,
54.9423,239.821,13.0116,um,Track,Track Position Start,1000015190,
174.652,-15.9529,1.5,um,Track,Track Position Start,1000015202,
215.753,205.69,35.22,um,Track,Track Position Start,1000015204,
207.507,213.201,40.5,um,Track,Track Position Start,1000015206,
182.99,239.034,37.2,um,Track,Track Position Start,1000015207,
235.305,191.376,32.0455,um,Track,Track Position Start,1000015208,
156.354,247.684,52.5,um,Track,Track Position Start,1000015213,
86.0247,305.676,10.5,um,Track,Track Position Start,1000015219,
110.097,277.811,3.86842,um,Track,Track Position Start,1000015221,
131.182,178.507,7.5,um,Track,Track Position Start,1000015228,
66.0815,195.679,1.5,um,Track,Track Position Start,1000015237,
100.462,112.916,1.5,um,Track,Track Position Start,1000015240,
70.3924,9.51676,1.5,um,Track,Track Position Start,1000015248,
147.734,262.96,43.2273,um,Track,Track Position Start,1000015251,
186.132,168.741,15.2368,um,Track,Track Position Start,1000015267,
140.003,193.245,1.5,um,Track,Track Position Start,1000015268,
138.315,174.243,7.5,um,Track,Track Position Start,1000015274,
64.6569,226.663,30.375,um,Track,Track Position Start,1000015279,
62.8234,225.936,20.25,um,Track,Track Position Start,1000015280,
70.9876,117.898,37.5,um,Track,Track Position Start,1000015290,
79.2903,112.086,7.5,um,Track,Track Position Start,1000015293,
228.797,241.489,51.75,um,Track,Track Position Start,1000015307,
204.453,276.064,52.5,um,Track,Track Position Start,1000015308,
122.464,359.505,34.5,um,Track,Track Position Start,1000015348,
210.887,206.736,34.5,um,Track,Track Position Start,1000015352,
146.819,265.685,50.8333,um,Track,Track Position Start,1000015353,
177.943,166.021,8.80769,um,Track,Track Position Start,1000015362,
85.5173,220.436,13.5,um,Track,Track Position Start,1000015370,
179.476,62.9619,25.5,um,Track,Track Position Start,1000015377,
203.428,233.479,47.9516,um,Track,Track Position Start,1000015388,
208.812,210.235,46.5,um,Track,Track Position Start,1000015394,
182.243,225.832,37.5,um,Track,Track Position Start,1000015400,
179.42,178.258,19.5,um,Track,Track Position Start,1000015407,
209.088,85.6558,46.5,um,Track,Track Position Start,1000015415,
30.8928,231.281,5.25,um,Track,Track Position Start,1000015421,
-6.84201,167.099,23.4444,um,Track,Track Position Start,1000015432,
181.413,238.286,40.5,um,Track,Track Position Start,1000015443,
91.9518,314.36,19.5,um,Track,Track Position Start,1000015450,
87.1778,273.158,4.5,um,Track,Track Position Start,1000015455,
127.778,179.919,10.5,um,Track,Track Position Start,1000015461,
113.772,66.684,4.5,um,Track,Track Position Start,1000015477,
139.662,199.323,26.3571,um,Track,Track Position Start,1000015497,
159.411,154.781,2.65385,um,Track,Track Position Start,1000015502,
135.748,175.364,1.5,um,Track,Track Position Start,1000015503,
125.889,154.948,52.5,um,Track,Track Position Start,1000015508,
219.605,-14.9448,22.5,um,Track,Track Position Start,1000015516,
227.757,205.038,43.5,um,Track,Track Position Start,1000015525,
175.716,210.158,8.43103,um,Track,Track Position Start,1000015536,
135.333,182.659,43.5,um,Track,Track Position Start,1000015541,
98.2203,105.527,7.5,um,Track,Track Position Start,1000015557,
75.5541,214.209,7.5,um,Track,Track Position Start,1000015590,
284.797,-15.6588,42.66,um,Track,Track Position Start,1000015591,
133.465,124.799,4.3125,um,Track,Track Position Start,1000015593,
110.987,204.172,41.2059,um,Track,Track Position Start,1000015622,
123.709,151.108,52.5,um,Track,Track Position Start,1000015630,
92.2978,302.079,25,um,Track,Track Position Start,1000015650,
69.2579,8.99458,4.5,um,Track,Track Position Start,1000015674,
224.255,209.864,29.7,um,Track,Track Position Start,1000015675,
231.398,215.439,52,um,Track,Track Position Start,1000015678,
198.73,395.835,52.0714,um,Track,Track Position Start,1000015680,
133.756,268.425,31.5,um,Track,Track Position Start,1000015682,
218.478,-13.047,21.6429,um,Track,Track Position Start,1000015700,
228.802,207.024,46.5,um,Track,Track Position Start,1000015706,
89.5302,270.667,4.5,um,Track,Track Position Start,1000015719,
217.529,92.1596,22.5,um,Track,Track Position Start,1000015724,
261.757,38.3945,52.5,um,Track,Track Position Start,1000015726,
127.957,175.697,31.6154,um,Track,Track Position Start,1000015727,
87.5929,148.677,11.7857,um,Track,Track Position Start,1000015732,
220.116,268.974,52.5,um,Track,Track Position Start,1000015744,
89.9454,309.413,16.5,um,Track,Track Position Start,1000015750,
155.675,235.796,28.5,um,Track,Track Position Start,1000015752,
88.1741,304.542,13.5,um,Track,Track Position Start,1000015753,
164.053,205.114,5.04545,um,Track,Track Position Start,1000015756,
67.1131,286.119,4.5,um,Track,Track Position Start,1000015758,
209.181,84.3643,46.5,um,Track,Track Position Start,1000015767,
65.0248,226.172,31.5,um,Track,Track Position Start,1000015768,
70.1574,205.906,7.5,um,Track,Track Position Start,1000015772,
142.99,287.318,30.8333,um,Track,Track Position Start,1000015781,
212.133,215.454,43.5,um,Track,Track Position Start,1000015782,
87.8302,219.012,11.3571,um,Track,Track Position Start,1000015808,
258.259,37.5465,49.5,um,Track,Track Position Start,1000015810,
157.128,40.7869,5.25,um,Track,Track Position Start,1000015856,
71.2644,117.898,35,um,Track,Track Position Start,1000015857,
52.7218,320.779,15.2143,um,Track,Track Position Start,1000015872,
92.96,225.758,1.5,um,Track,Track Position Start,1000015881,
166.197,136.643,16.8462,um,Track,Track Position Start,1000015885,
189.529,93.8794,1.56122,um,Track,Track Position Start,1000015891,
104.5,233.267,36.1364,um,Track,Track Position Start,1000015910,
79.2903,94.2353,16.5,um,Track,Track Position Start,1000015931,
95.5537,295.502,27.4412,um,Track,Track Position Start,1000015937,
252.987,20.0729,9,um,Track,Track Position Start,1000015951,
42.7586,102.953,7.5,um,Track,Track Position Start,1000015960,
144.669,266.754,49.7553,um,Track,Track Position Start,1000015964,
155.951,151.879,8.71429,um,Track,Track Position Start,1000015975,
168.129,216.522,28.5,um,Track,Track Position Start,1000015996,
219.882,-13.4226,22.5,um,Track,Track Position Start,1000016009,
130.087,347.165,27.4091,um,Track,Track Position Start,1000016017,
214.885,153.107,51.8333,um,Track,Track Position Start,1000016024,
74.3087,208.812,1.5,um,Track,Track Position Start,1000016031,
181.828,225.832,34.5,um,Track,Track Position Start,1000016045,
69.6039,308.236,9.5,um,Track,Track Position Start,1000016051,
131.597,187.018,49.5,um,Track,Track Position Start,1000016052,
182.928,200.343,18.075,um,Track,Track Position Start,1000016073,
137.924,201.912,41.9483,um,Track,Track Position Start,1000016077,
125.785,150.693,49.5,um,Track,Track Position Start,1000016083,
182.762,237.871,37.125,um,Track,Track Position Start,1000016095,
72.6293,319.917,6.40909,um,Track,Track Position Start,1000016100,
80.6187,301.636,10.5,um,Track,Track Position Start,1000016102,
70.9122,288.744,4.5,um,Track,Track Position Start,1000016107,
185.489,154.316,7.5,um,Track,Track Position Start,1000016109,
134.674,127.983,9.61765,um,Track,Track Position Start,1000016117,
131.043,176.985,10.5,um,Track,Track Position Start,1000016143,
51.2273,298.259,4.5,um,Track,Track Position Start,1000016167,
78.6261,327.125,43.5,um,Track,Track Position Start,1000016188,
137.468,232.909,10.7143,um,Track,Track Position Start,1000016195,
211.718,117.068,40.5,um,Track,Track Position Start,1000016200,
250.596,175.8,41.8043,um,Track,Track Position Start,1000016214,
227.077,179.753,31.5,um,Track,Track Position Start,1000016218,
71.1537,305.455,4.5,um,Track,Track Position Start,1000016223,
96.2646,215.362,4.5,um,Track,Track Position Start,1000016232,
136.855,172.557,7.5,um,Track,Track Position Start,1000016233,
23.6625,282.172,5.03571,um,Track,Track Position Start,1000016235,
96.1862,295.243,27.6,um,Track,Track Position Start,1000016250,
139.463,188.973,43.3421,um,Track,Track Position Start,1000016259,
136.579,273.158,48,um,Track,Track Position Start,1000016275,
240.881,118.417,20.25,um,Track,Track Position Start,1000016281,
69.7884,226.137,24.5,um,Track,Track Position Start,1000016292,
144.488,388.499,44.7632,um,Track,Track Position Start,1000016299,
94.1313,315.813,19.5,um,Track,Track Position Start,1000016304,
88.3194,223.964,7.875,um,Track,Track Position Start,1000016316,
89.8347,209.476,1.5,um,Track,Track Position Start,1000016320,
200.725,171.085,52.5,um,Track,Track Position Start,1000016332,
141.671,190.159,52.5,um,Track,Track Position Start,1000016337,
343.315,-16.1902,52.5,um,Track,Track Position Start,1000016338,
130.518,187.889,31.5,um,Track,Track Position Start,1000016342,
132.427,345.391,28.5,um,Track,Track Position Start,1000016354,
172.695,223.342,16.5,um,Track,Track Position Start,1000016357,
53.2753,324.565,24,um,Track,Track Position Start,1000016360,
243.544,213.102,52.5,um,Track,Track Position Start,1000016381,
142.013,254.829,19.0455,um,Track,Track Position Start,1000016386,
133.88,233.72,11.625,um,Track,Track Position Start,1000016390,
113.119,210.208,11.7766,um,Track,Track Position Start,1000016397,
50.6462,235.796,7.5,um,Track,Track Position Start,1000016402,
72.3516,209.049,4.5,um,Track,Track Position Start,1000016404,
82.6114,303.877,10.5,um,Track,Track Position Start,1000016415,
172.003,194.974,16.5,um,Track,Track Position Start,1000016419,
152.598,193.965,9.08823,um,Track,Track Position Start,1000016423,
139.761,182.659,44,um,Track,Track Position Start,1000016426,
253,41.9285,43.5,um,Track,Track Position Start,1000016430,
253.51,29.3084,15.9545,um,Track,Track Position Start,1000016436,
159.577,183.904,10.5,um,Track,Track Position Start,1000016453,
138.159,112.31,46.7308,um,Track,Track Position Start,1000016466,
27.7946,195.373,4.5,um,Track,Track Position Start,1000016468,
213.689,216.7,36.375,um,Track,Track Position Start,1000016474,
184.26,239.492,30.2143,um,Track,Track Position Start,1000016475,
144.843,208.133,35.8636,um,Track,Track Position Start,1000016485,
136.302,340.917,16.5,um,Track,Track Position Start,1000016504,
203.415,218.36,16.5,um,Track,Track Position Start,1000016508,
129.272,240.694,40.5,um,Track,Track Position Start,1000016512,
137.409,180.583,43.5,um,Track,Track Position Start,1000016521,
102.87,108.682,11.1,um,Track,Track Position Start,1000016531,
94.5225,104.965,8.07692,um,Track,Track Position Start,1000016534,
153.599,239.947,52.5,um,Track,Track Position Start,1000016542,
131.182,347.882,22.5,um,Track,Track Position Start,1000016585,
142.786,265.31,27.5,um,Track,Track Position Start,1000016590,
93.1676,312.595,13.5,um,Track,Track Position Start,1000016591,
108.246,160.76,52.5,um,Track,Track Position Start,1000016603,
73.2017,125.509,22.5,um,Track,Track Position Start,1000016609,
46.7024,102.123,4.5,um,Track,Track Position Start,1000016611,
16.1012,121.174,4.5,um,Track,Track Position Start,1000016612,
178.576,168.89,4.5,um,Track,Track Position Start,1000016623,
115.948,210.045,8.31818,um,Track,Track Position Start,1000016626,
144.306,372.822,36.5769,um,Track,Track Position Start,1000016639,
184.319,242.023,31.5,um,Track,Track Position Start,1000016641,
140.24,267.856,49.8934,um,Track,Track Position Start,1000016643,
142.224,340.492,10.5,um,Track,Track Position Start,1000016665,
208.812,235.09,30.3,um,Track,Track Position Start,1000016666,
80.9508,299.311,4.5,um,Track,Track Position Start,1000016674,
143.843,184.734,25.5,um,Track,Track Position Start,1000016677,
75.707,280.696,4.5,um,Track,Track Position Start,1000016700,
136.302,189.439,40.5,um,Track,Track Position Start,1000016703,
126.317,98.0545,37.5,um,Track,Track Position Start,1000016708,
