
Track Speed Min
 ==================== 
Track Speed Min,Unit,Category,ID,
0.0229134,um/s,Track,1000014184,
0.0120137,um/s,Track,1000014185,
0.0405125,um/s,Track,1000014186,
0.0162838,um/s,Track,1000014187,
0.01987,um/s,Track,1000014188,
0.0296383,um/s,Track,1000014189,
0.0175681,um/s,Track,1000014190,
0.015614,um/s,Track,1000014191,
0.0229936,um/s,Track,1000014192,
0.0223536,um/s,Track,1000014193,
0.0424865,um/s,Track,1000014194,
0.0319511,um/s,Track,1000014195,
0.0285883,um/s,Track,1000014196,
0.0393738,um/s,Track,1000014197,
0.011726,um/s,Track,1000014198,
0.0103327,um/s,Track,1000014199,
0.0284315,um/s,Track,1000014200,
0.0200858,um/s,Track,1000014201,
0.0107435,um/s,Track,1000014202,
0.0121528,um/s,Track,1000014207,
0.0101287,um/s,Track,1000014210,
0.0240377,um/s,Track,1000014212,
0.0258072,um/s,Track,1000014216,
0.044292,um/s,Track,1000014218,
0.068833,um/s,Track,1000014220,
0.0188099,um/s,Track,1000014223,
0.030016,um/s,Track,1000014233,
0.0310407,um/s,Track,1000014236,
0.0494051,um/s,Track,1000014239,
0.01858,um/s,Track,1000014242,
0.0929067,um/s,Track,1000014261,
0.0232207,um/s,Track,1000014275,
0.0298966,um/s,Track,1000014288,
0.0537171,um/s,Track,1000014289,
0.0247668,um/s,Track,1000014298,
0.0250711,um/s,Track,1000014299,
0.0694495,um/s,Track,1000014302,
0.0184181,um/s,Track,1000014304,
0.0420954,um/s,Track,1000014329,
0.0266055,um/s,Track,1000014331,
0.0367863,um/s,Track,1000014350,
0.0359998,um/s,Track,1000014353,
0.022273,um/s,Track,1000014394,
0.0181893,um/s,Track,1000014397,
0.0204385,um/s,Track,1000014400,
0.0373351,um/s,Track,1000014402,
0,um/s,Track,1000014407,
0.0251865,um/s,Track,1000014412,
0.0227937,um/s,Track,1000014414,
0.0336318,um/s,Track,1000014422,
0.0709407,um/s,Track,1000014430,
0.0542184,um/s,Track,1000014433,
0.0469653,um/s,Track,1000014436,
0.0235656,um/s,Track,1000014438,
0.0190639,um/s,Track,1000014439,
0.024517,um/s,Track,1000014440,
0.0222729,um/s,Track,1000014447,
0.0185103,um/s,Track,1000014453,
0.0121915,um/s,Track,1000014459,
0.0263942,um/s,Track,1000014465,
0.0406941,um/s,Track,1000014470,
0.0608327,um/s,Track,1000014493,
0.0158475,um/s,Track,1000014501,
0.0411447,um/s,Track,1000014521,
0.0245011,um/s,Track,1000014536,
0.0317345,um/s,Track,1000014545,
0.0162454,um/s,Track,1000014556,
0.023511,um/s,Track,1000014582,
0.0275499,um/s,Track,1000014583,
0,um/s,Track,1000014584,
0.0400754,um/s,Track,1000014586,
0.0175693,um/s,Track,1000014591,
0.0437552,um/s,Track,1000014605,
0.0136679,um/s,Track,1000014607,
0.0123718,um/s,Track,1000014626,
0.0254995,um/s,Track,1000014627,
0.0189075,um/s,Track,1000014647,
0.0298561,um/s,Track,1000014648,
0.0756225,um/s,Track,1000014656,
0.00407054,um/s,Track,1000014658,
0.0323298,um/s,Track,1000014659,
0.0298013,um/s,Track,1000014661,
0.0240727,um/s,Track,1000014663,
0.0215454,um/s,Track,1000014668,
0.0258077,um/s,Track,1000014676,
0.0104882,um/s,Track,1000014683,
0.0287369,um/s,Track,1000014686,
0.094036,um/s,Track,1000014702,
0.0493749,um/s,Track,1000014710,
0.0179689,um/s,Track,1000014716,
0.0311475,um/s,Track,1000014732,
0.0248283,um/s,Track,1000014748,
0.0273052,um/s,Track,1000014750,
0,um/s,Track,1000014752,
0.0462082,um/s,Track,1000014756,
0.00960121,um/s,Track,1000014762,
0.0607215,um/s,Track,1000014764,
0.052471,um/s,Track,1000014765,
0.0301121,um/s,Track,1000014775,
0.0291157,um/s,Track,1000014776,
0.0168733,um/s,Track,1000014780,
0.0292702,um/s,Track,1000014783,
0.0231668,um/s,Track,1000014786,
0.107602,um/s,Track,1000014798,
0.0853351,um/s,Track,1000014800,
0.0360293,um/s,Track,1000014803,
0.122487,um/s,Track,1000014804,
0.032233,um/s,Track,1000014809,
0.0136021,um/s,Track,1000014822,
0.0367775,um/s,Track,1000014846,
0.0626403,um/s,Track,1000014848,
0.0083187,um/s,Track,1000014852,
0.0461401,um/s,Track,1000014859,
0.0473469,um/s,Track,1000014887,
0.0166905,um/s,Track,1000014909,
0.015179,um/s,Track,1000014918,
0.0347795,um/s,Track,1000014926,
0.0449054,um/s,Track,1000014938,
0.019867,um/s,Track,1000014939,
0.0256188,um/s,Track,1000014943,
0.0604226,um/s,Track,1000014948,
0.0457648,um/s,Track,1000014950,
0.0431997,um/s,Track,1000014956,
0.0248508,um/s,Track,1000014964,
0.059738,um/s,Track,1000014966,
0.0625042,um/s,Track,1000014981,
0.0345533,um/s,Track,1000014991,
0.0554954,um/s,Track,1000015000,
0.0354745,um/s,Track,1000015007,
0.0187743,um/s,Track,1000015009,
0.0610046,um/s,Track,1000015012,
0.0332177,um/s,Track,1000015021,
0.0249758,um/s,Track,1000015022,
0.0186129,um/s,Track,1000015027,
0.036661,um/s,Track,1000015029,
0.0270643,um/s,Track,1000015030,
0.0354245,um/s,Track,1000015055,
0.0394251,um/s,Track,1000015069,
0.0135524,um/s,Track,1000015072,
0.0316932,um/s,Track,1000015073,
0.0148033,um/s,Track,1000015096,
0.0195781,um/s,Track,1000015097,
0.0287841,um/s,Track,1000015099,
0.0127886,um/s,Track,1000015100,
0.0352689,um/s,Track,1000015102,
0.0308398,um/s,Track,1000015108,
0.0403472,um/s,Track,1000015118,
0.0928577,um/s,Track,1000015122,
0.00719287,um/s,Track,1000015123,
0.0521361,um/s,Track,1000015142,
0.0271389,um/s,Track,1000015145,
0.0277094,um/s,Track,1000015154,
0.0508316,um/s,Track,1000015158,
0.038221,um/s,Track,1000015161,
0.0199687,um/s,Track,1000015174,
0.0319089,um/s,Track,1000015179,
0.11861,um/s,Track,1000015180,
0.0350389,um/s,Track,1000015184,
0.0468968,um/s,Track,1000015190,
0.0420077,um/s,Track,1000015202,
0.0596486,um/s,Track,1000015204,
0.0358841,um/s,Track,1000015206,
0.0217802,um/s,Track,1000015207,
0.0484241,um/s,Track,1000015208,
0.0240283,um/s,Track,1000015213,
0.0315101,um/s,Track,1000015219,
0.0636071,um/s,Track,1000015221,
0.048816,um/s,Track,1000015228,
0.0353151,um/s,Track,1000015237,
0.0151706,um/s,Track,1000015240,
0.0191549,um/s,Track,1000015248,
0.0221383,um/s,Track,1000015251,
0.0352694,um/s,Track,1000015267,
0.0400969,um/s,Track,1000015268,
0.0347979,um/s,Track,1000015274,
0.0358756,um/s,Track,1000015279,
0.0489826,um/s,Track,1000015280,
0.0316219,um/s,Track,1000015290,
0.0365565,um/s,Track,1000015293,
0.00866003,um/s,Track,1000015307,
0.010996,um/s,Track,1000015308,
0.0303916,um/s,Track,1000015348,
0.0679569,um/s,Track,1000015352,
0.0326862,um/s,Track,1000015353,
0.0494273,um/s,Track,1000015362,
0.0398494,um/s,Track,1000015370,
0.0348082,um/s,Track,1000015377,
0.0152257,um/s,Track,1000015388,
0.00866003,um/s,Track,1000015394,
0.0151546,um/s,Track,1000015400,
0.0627202,um/s,Track,1000015407,
0.0437939,um/s,Track,1000015415,
0.0309481,um/s,Track,1000015421,
0.0229047,um/s,Track,1000015432,
0.0342543,um/s,Track,1000015443,
0.0803828,um/s,Track,1000015450,
0.0206707,um/s,Track,1000015455,
0.0292342,um/s,Track,1000015461,
0.0916767,um/s,Track,1000015477,
0.0322613,um/s,Track,1000015497,
0.0197461,um/s,Track,1000015502,
0.0727085,um/s,Track,1000015503,
0.0336713,um/s,Track,1000015508,
0.036333,um/s,Track,1000015516,
0.057789,um/s,Track,1000015525,
0.02253,um/s,Track,1000015536,
0.0446909,um/s,Track,1000015541,
0.0345756,um/s,Track,1000015557,
0.0390064,um/s,Track,1000015590,
0.0168392,um/s,Track,1000015591,
0.079628,um/s,Track,1000015593,
0.0288099,um/s,Track,1000015622,
0.01902,um/s,Track,1000015630,
0.0574207,um/s,Track,1000015650,
0.0233633,um/s,Track,1000015674,
0.0934942,um/s,Track,1000015675,
0.0289061,um/s,Track,1000015678,
0.0371314,um/s,Track,1000015680,
0.0625419,um/s,Track,1000015682,
0.0292015,um/s,Track,1000015700,
0.0224435,um/s,Track,1000015706,
0.0565501,um/s,Track,1000015719,
0.0360895,um/s,Track,1000015724,
0.0158746,um/s,Track,1000015726,
0.067874,um/s,Track,1000015727,
0.0189543,um/s,Track,1000015732,
0.0365691,um/s,Track,1000015744,
0.0400848,um/s,Track,1000015750,
0.0178951,um/s,Track,1000015752,
0.0157102,um/s,Track,1000015753,
0.0476062,um/s,Track,1000015756,
0.0499053,um/s,Track,1000015758,
0.0148488,um/s,Track,1000015767,
0.0544542,um/s,Track,1000015768,
0.0432474,um/s,Track,1000015772,
0.0136836,um/s,Track,1000015781,
0.0340297,um/s,Track,1000015782,
0.0229976,um/s,Track,1000015808,
0.0452616,um/s,Track,1000015810,
0.0554165,um/s,Track,1000015856,
0.0218963,um/s,Track,1000015857,
0.0447272,um/s,Track,1000015872,
0.0238778,um/s,Track,1000015881,
0.0389649,um/s,Track,1000015885,
0.0322957,um/s,Track,1000015891,
0.0175077,um/s,Track,1000015910,
0.0507413,um/s,Track,1000015931,
0.0260124,um/s,Track,1000015937,
0.083079,um/s,Track,1000015951,
0.0270686,um/s,Track,1000015960,
0.0237404,um/s,Track,1000015964,
0.0237744,um/s,Track,1000015975,
0.0199355,um/s,Track,1000015996,
0.0135809,um/s,Track,1000016009,
0.0254417,um/s,Track,1000016017,
0.0194711,um/s,Track,1000016024,
0.0389879,um/s,Track,1000016031,
0.0250946,um/s,Track,1000016045,
0.0373365,um/s,Track,1000016051,
0.0341897,um/s,Track,1000016052,
0.0504507,um/s,Track,1000016073,
0.0428331,um/s,Track,1000016077,
0.0329932,um/s,Track,1000016083,
0.0381805,um/s,Track,1000016095,
0.0377189,um/s,Track,1000016100,
0.0307495,um/s,Track,1000016102,
0.0228414,um/s,Track,1000016107,
0.0564711,um/s,Track,1000016109,
0.0207752,um/s,Track,1000016117,
0.0252928,um/s,Track,1000016143,
0.0395352,um/s,Track,1000016167,
0.0379404,um/s,Track,1000016188,
0.0488627,um/s,Track,1000016195,
0.0531483,um/s,Track,1000016200,
0.0888389,um/s,Track,1000016214,
0.0492082,um/s,Track,1000016218,
0.0516533,um/s,Track,1000016223,
0.0802535,um/s,Track,1000016232,
0.0814563,um/s,Track,1000016233,
0.0868262,um/s,Track,1000016235,
0.0682,um/s,Track,1000016250,
0.00940311,um/s,Track,1000016259,
0.091194,um/s,Track,1000016275,
0.0507385,um/s,Track,1000016281,
