
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
118.574,45.6564,122.125,°,Surface,Velocity Angle,1,1000014184,14184,
134.075,91.4266,44.108,°,Surface,Velocity Angle,1,1000014185,14185,
78.2056,74.185,160.084,°,Surface,Velocity Angle,1,1000014186,14186,
7.12499,97.1276,90.0027,°,Surface,Velocity Angle,1,1000014187,14187,
114.249,132.084,51.8125,°,Surface,Velocity Angle,1,1000014188,14188,
63.9988,136.734,121.799,°,Surface,Velocity Angle,1,1000014189,14189,
25.3044,112.71,79.4273,°,Surface,Velocity Angle,1,1000014190,14190,
143.14,99.212,54.6793,°,Surface,Velocity Angle,1,1000014191,14191,
146.636,57.2393,84.3578,°,Surface,Velocity Angle,1,1000014192,14192,
140.738,50.7411,90.592,°,Surface,Velocity Angle,1,1000014193,14193,
140.27,56.6825,70.9208,°,Surface,Velocity Angle,1,1000014194,14194,
159.876,75.4998,76.3489,°,Surface,Velocity Angle,1,1000014195,14195,
123.657,33.9803,94.1632,°,Surface,Velocity Angle,1,1000014196,14196,
82.7937,29.0899,61.9874,°,Surface,Velocity Angle,1,1000014197,14197,
164.282,74.7908,93.8858,°,Surface,Velocity Angle,1,1000014198,14198,
81.0296,8.97301,90.0027,°,Surface,Velocity Angle,1,1000014199,14199,
117.782,111.637,143.546,°,Surface,Velocity Angle,1,1000014200,14200,
84.5058,22.1909,68.5739,°,Surface,Velocity Angle,1,1000014201,14201,
90.0027,0,90.0027,°,Surface,Velocity Angle,1,1000014202,14202,
161.82,90.0027,71.8178,°,Surface,Velocity Angle,2,1000014185,14203,
103.907,96.1341,164.758,°,Surface,Velocity Angle,2,1000014184,14204,
40.2134,85.9293,129.923,°,Surface,Velocity Angle,2,1000014186,14205,
62.2242,27.7785,90.0027,°,Surface,Velocity Angle,2,1000014187,14206,
56.6334,132.371,119.562,°,Surface,Velocity Angle,2,1000014207,14207,
117.647,106.656,33.0481,°,Surface,Velocity Angle,2,1000014188,14208,
67.6425,116.942,143.736,°,Surface,Velocity Angle,2,1000014189,14209,
45.0013,45.0013,90.0027,°,Surface,Velocity Angle,2,1000014210,14210,
15.4127,99.5275,77.9992,°,Surface,Velocity Angle,2,1000014190,14211,
53.4241,53.4235,122.572,°,Surface,Velocity Angle,2,1000014212,14212,
121.887,32.9513,97.4607,°,Surface,Velocity Angle,2,1000014191,14213,
118.979,46.4199,122.591,°,Surface,Velocity Angle,2,1000014192,14214,
104.92,61.6118,147.274,°,Surface,Velocity Angle,2,1000014193,14215,
152.127,62.1246,90.0027,°,Surface,Velocity Angle,2,1000014216,14216,
135.471,50.7684,72.3626,°,Surface,Velocity Angle,2,1000014194,14217,
110.156,21.1345,83.9021,°,Surface,Velocity Angle,2,1000014218,14218,
143.41,125.001,80.6441,°,Surface,Velocity Angle,2,1000014195,14219,
81.1789,83.3466,168.92,°,Surface,Velocity Angle,2,1000014220,14220,
119.558,29.6071,88.413,°,Surface,Velocity Angle,2,1000014196,14221,
83.9177,15.3777,75.9347,°,Surface,Velocity Angle,2,1000014197,14222,
133.863,130.514,108.24,°,Surface,Velocity Angle,2,1000014223,14223,
141.916,51.913,90.0027,°,Surface,Velocity Angle,2,1000014199,14224,
140.949,66.9573,119.589,°,Surface,Velocity Angle,2,1000014198,14225,
137.648,103.867,129.031,°,Surface,Velocity Angle,2,1000014200,14226,
92.7863,17.2451,107.008,°,Surface,Velocity Angle,2,1000014201,14227,
11.3106,101.313,90.0027,°,Surface,Velocity Angle,2,1000014202,14228,
98.4283,8.42559,90.0027,°,Surface,Velocity Angle,3,1000014185,14229,
19.1599,108.475,94.9132,°,Surface,Velocity Angle,3,1000014184,14230,
77.1644,118.606,148.149,°,Surface,Velocity Angle,3,1000014186,14231,
41.8132,48.1895,90.0027,°,Surface,Velocity Angle,3,1000014187,14232,
36.8591,126.638,86.4909,°,Surface,Velocity Angle,3,1000014233,14233,
86.3578,157.449,112.23,°,Surface,Velocity Angle,3,1000014207,14234,
120.877,61.7127,44.3088,°,Surface,Velocity Angle,3,1000014188,14235,
47.4261,137.429,90.0027,°,Surface,Velocity Angle,3,1000014236,14236,
74.7997,104.47,158.77,°,Surface,Velocity Angle,3,1000014189,14237,
40.2377,130.24,90.0027,°,Surface,Velocity Angle,3,1000014210,14238,
162.509,107.499,90.0027,°,Surface,Velocity Angle,3,1000014239,14239,
156.448,66.4456,90.0027,°,Surface,Velocity Angle,3,1000014190,14240,
56.069,144.962,97.7308,°,Surface,Velocity Angle,3,1000014212,14241,
