
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
191.822,18.888,32.6211,µm,Surface,Position,1,0,
245.761,30.4159,7.29153,µm,Surface,Position,1,1,
225.742,49.8664,27.9439,µm,Surface,Position,1,2,
251.508,85.583,24.2866,µm,Surface,Position,1,4,
236.051,105.658,36.0348,µm,Surface,Position,1,5,
116.9,64.5927,57.6979,µm,Surface,Position,1,6,
144.383,74.544,81.5799,µm,Surface,Position,1,7,
133.404,10.0679,58.7386,µm,Surface,Position,1,8,
152.057,-36.2328,27.0198,µm,Surface,Position,1,9,
165.243,-73.8359,10.3518,µm,Surface,Position,1,10,
103.967,-40.4158,31.7679,µm,Surface,Position,1,11,
125.428,-56.1611,41.8335,µm,Surface,Position,1,12,
97.4858,26.5983,85.6114,µm,Surface,Position,1,13,
155.514,-123.458,4.17748,µm,Surface,Position,1,14,
88.8795,-68.0581,45.4806,µm,Surface,Position,1,15,
143.998,-112.326,10.5584,µm,Surface,Position,1,16,
100.822,-76.1309,44.4613,µm,Surface,Position,1,17,
83.1716,-54.371,47.5211,µm,Surface,Position,1,19,
119.209,-95.4947,27.431,µm,Surface,Position,1,20,
132.237,-136.159,10.0895,µm,Surface,Position,1,21,
107.877,-128.195,19.4675,µm,Surface,Position,1,22,
82.9965,-104.283,38.7747,µm,Surface,Position,1,23,
