
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
96.0896,337.871,66.3974,µm,Surface,Position,1,0,
143.745,334.441,36.751,µm,Surface,Position,1,1,
271.648,257.684,6.19875,µm,Surface,Position,1,2,
176.063,210.823,70.759,µm,Surface,Position,1,3,
122.028,172.025,113.831,µm,Surface,Position,1,4,
50.1605,246.696,104.856,µm,Surface,Position,1,6,
77.3551,219.981,69.8717,µm,Surface,Position,1,7,
184.11,108.166,77.0997,µm,Surface,Position,1,9,
150.611,142.119,66.5961,µm,Surface,Position,1,10,
108.303,172.776,81.1091,µm,Surface,Position,1,11,
91.3045,100.379,96.276,µm,Surface,Position,1,13,
120.62,66.4633,69.2594,µm,Surface,Position,1,14,
203.88,107.405,40.5,µm,Surface,Position,1,17,
199.49,102.998,37.9615,µm,Surface,Position,1,18,
199.064,105.857,37.8824,µm,Surface,Position,1,19,
201.599,89.1118,17.3108,µm,Surface,Position,1,20,
201.474,89.6344,18.1154,µm,Surface,Position,1,21,
201.027,109.112,37.2067,µm,Surface,Position,1,22,
