
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
295.435,281.595,144.454,µm,Surface,Position,1,663,
251.411,294.415,126.009,µm,Surface,Position,1,664,
269.326,224.734,98.8924,µm,Surface,Position,1,665,
209.341,266.454,88.9761,µm,Surface,Position,1,666,
294.134,189.648,57.9901,µm,Surface,Position,1,667,
231.926,267.002,131.754,µm,Surface,Position,1,668,
170.504,254.339,133.453,µm,Surface,Position,1,669,
218.936,230.234,102.927,µm,Surface,Position,1,670,
144.272,279.887,109.593,µm,Surface,Position,1,671,
234.695,167.662,143.111,µm,Surface,Position,1,672,
226.806,192.838,136.427,µm,Surface,Position,1,673,
114.885,269.745,134.487,µm,Surface,Position,1,674,
162.657,202.389,119.7,µm,Surface,Position,1,675,
227.28,171.276,96.2241,µm,Surface,Position,1,676,
241.489,125.462,50.2844,µm,Surface,Position,1,677,
