
CellTypeCount
==================== 
Count,Time, CellType
5093.0,2,Fragment-LogNorm
5217.0,3,Fragment-LogNorm
5328.0,4,Fragment-LogNorm
5417.0,5,Fragment-LogNorm
5494.0,6,Fragment-LogNorm
5572.0,7,Fragment-LogNorm
5644.0,8,Fragment-LogNorm
5726.0,9,Fragment-LogNorm
5813.0,10,Fragment-LogNorm
5875.0,11,Fragment-LogNorm
5952.0,12,Fragment-LogNorm
6017.0,13,Fragment-LogNorm
6084.0,14,Fragment-LogNorm
6149.0,15,Fragment-LogNorm
6214.0,16,Fragment-LogNorm
6274.0,17,Fragment-LogNorm
6364.0,18,Fragment-LogNorm
6420.0,19,Fragment-LogNorm
6483.0,20,Fragment-LogNorm
6535.0,21,Fragment-LogNorm
6587.0,22,Fragment-LogNorm
6650.0,23,Fragment-LogNorm
6720.0,24,Fragment-LogNorm
6790.0,25,Fragment-LogNorm
6854.0,26,Fragment-LogNorm
6916.0,27,Fragment-LogNorm
6965.0,28,Fragment-LogNorm
7032.0,29,Fragment-LogNorm
7089.0,30,Fragment-LogNorm
7138.0,31,Fragment-LogNorm
7199.0,32,Fragment-LogNorm
7261.0,33,Fragment-LogNorm
7317.0,34,Fragment-LogNorm
7372.0,35,Fragment-LogNorm
7435.0,36,Fragment-LogNorm
7488.0,37,Fragment-LogNorm
7554.0,38,Fragment-LogNorm
7620.0,39,Fragment-LogNorm
7679.0,40,Fragment-LogNorm
7740.0,41,Fragment-LogNorm
7790.0,42,Fragment-LogNorm
7852.0,43,Fragment-LogNorm
7909.0,44,Fragment-LogNorm
7970.0,45,Fragment-LogNorm
8022.0,46,Fragment-LogNorm
8079.0,47,Fragment-LogNorm
8138.0,48,Fragment-LogNorm
8188.0,49,Fragment-LogNorm
8248.0,50,Fragment-LogNorm
8303.0,51,Fragment-LogNorm
8365.0,52,Fragment-LogNorm
8421.0,53,Fragment-LogNorm
8477.0,54,Fragment-LogNorm
8536.0,55,Fragment-LogNorm
8586.0,56,Fragment-LogNorm
8640.0,57,Fragment-LogNorm
8688.0,58,Fragment-LogNorm
8745.0,59,Fragment-LogNorm
8805.0,60,Fragment-LogNorm
8860.0,61,Fragment-LogNorm
8922.0,62,Fragment-LogNorm
8981.0,63,Fragment-LogNorm
9041.0,64,Fragment-LogNorm
9097.0,65,Fragment-LogNorm
9165.0,66,Fragment-LogNorm
9203.0,67,Fragment-LogNorm
9274.0,68,Fragment-LogNorm
9320.0,69,Fragment-LogNorm
9371.0,70,Fragment-LogNorm
9426.0,71,Fragment-LogNorm
9474.0,72,Fragment-LogNorm
9540.0,73,Fragment-LogNorm
9596.0,74,Fragment-LogNorm
9657.0,75,Fragment-LogNorm
9715.0,76,Fragment-LogNorm
9765.0,77,Fragment-LogNorm
9816.0,78,Fragment-LogNorm
9864.0,79,Fragment-LogNorm
9924.0,80,Fragment-LogNorm
9974.0,81,Fragment-LogNorm
10036.0,82,Fragment-LogNorm
10081.0,83,Fragment-LogNorm
10141.0,84,Fragment-LogNorm
10193.0,85,Fragment-LogNorm
10257.0,86,Fragment-LogNorm
10313.0,87,Fragment-LogNorm
10364.0,88,Fragment-LogNorm
10409.0,89,Fragment-LogNorm
10464.0,90,Fragment-LogNorm
10514.0,91,Fragment-LogNorm
10566.0,92,Fragment-LogNorm
10624.0,93,Fragment-LogNorm
10672.0,94,Fragment-LogNorm
10728.0,95,Fragment-LogNorm
10794.0,96,Fragment-LogNorm
10845.0,97,Fragment-LogNorm
10893.0,98,Fragment-LogNorm
10954.0,99,Fragment-LogNorm
11008.0,100,Fragment-LogNorm
11072.0,101,Fragment-LogNorm
11120.0,102,Fragment-LogNorm
11183.0,103,Fragment-LogNorm
11240.0,104,Fragment-LogNorm
11304.0,105,Fragment-LogNorm
11355.0,106,Fragment-LogNorm
11411.0,107,Fragment-LogNorm
11450.0,108,Fragment-LogNorm
11502.0,109,Fragment-LogNorm
11553.0,110,Fragment-LogNorm
11605.0,111,Fragment-LogNorm
11665.0,112,Fragment-LogNorm
11703.0,113,Fragment-LogNorm
11749.0,114,Fragment-LogNorm
11805.0,115,Fragment-LogNorm
11867.0,116,Fragment-LogNorm
11917.0,117,Fragment-LogNorm
11961.0,118,Fragment-LogNorm
12016.0,119,Fragment-LogNorm
12070.0,120,Fragment-LogNorm
12129.0,121,Fragment-LogNorm
12184.0,122,Fragment-LogNorm
12247.0,123,Fragment-LogNorm
12308.0,124,Fragment-LogNorm
12355.0,125,Fragment-LogNorm
12406.0,126,Fragment-LogNorm
12452.0,127,Fragment-LogNorm
12515.0,128,Fragment-LogNorm
12567.0,129,Fragment-LogNorm
12634.0,130,Fragment-LogNorm
12680.0,131,Fragment-LogNorm
12745.0,132,Fragment-LogNorm
12792.0,133,Fragment-LogNorm
12855.0,134,Fragment-LogNorm
12908.0,135,Fragment-LogNorm
12965.0,136,Fragment-LogNorm
13023.0,137,Fragment-LogNorm
13076.0,138,Fragment-LogNorm
13118.0,139,Fragment-LogNorm
13173.0,140,Fragment-LogNorm
13224.0,141,Fragment-LogNorm
13273.0,142,Fragment-LogNorm
13330.0,143,Fragment-LogNorm
13374.0,144,Fragment-LogNorm
13420.0,145,Fragment-LogNorm
13463.0,146,Fragment-LogNorm
13515.0,147,Fragment-LogNorm
13574.0,148,Fragment-LogNorm
13626.0,149,Fragment-LogNorm
13687.0,150,Fragment-LogNorm
13736.0,151,Fragment-LogNorm
13798.0,152,Fragment-LogNorm
13844.0,153,Fragment-LogNorm
13899.0,154,Fragment-LogNorm
13944.0,155,Fragment-LogNorm
14001.0,156,Fragment-LogNorm
14060.0,157,Fragment-LogNorm
14128.0,158,Fragment-LogNorm
14193.0,159,Fragment-LogNorm
14241.0,160,Fragment-LogNorm
14297.0,161,Fragment-LogNorm
14347.0,162,Fragment-LogNorm
14404.0,163,Fragment-LogNorm
14461.0,164,Fragment-LogNorm
14506.0,165,Fragment-LogNorm
14554.0,166,Fragment-LogNorm
14609.0,167,Fragment-LogNorm
14659.0,168,Fragment-LogNorm
14714.0,169,Fragment-LogNorm
14761.0,170,Fragment-LogNorm
14814.0,171,Fragment-LogNorm
14860.0,172,Fragment-LogNorm
14921.0,173,Fragment-LogNorm
14984.0,174,Fragment-LogNorm
15034.0,175,Fragment-LogNorm
15083.0,176,Fragment-LogNorm
15131.0,177,Fragment-LogNorm
15179.0,178,Fragment-LogNorm
15232.0,179,Fragment-LogNorm
15291.0,180,Fragment-LogNorm
15349.0,181,Fragment-LogNorm
15408.0,182,Fragment-LogNorm
15460.0,183,Fragment-LogNorm
15516.0,184,Fragment-LogNorm
15563.0,185,Fragment-LogNorm
15613.0,186,Fragment-LogNorm
15664.0,187,Fragment-LogNorm
15723.0,188,Fragment-LogNorm
15783.0,189,Fragment-LogNorm
15842.0,190,Fragment-LogNorm
15900.0,191,Fragment-LogNorm
15945.0,192,Fragment-LogNorm
15995.0,193,Fragment-LogNorm
16051.0,194,Fragment-LogNorm
16102.0,195,Fragment-LogNorm
16156.0,196,Fragment-LogNorm
16212.0,197,Fragment-LogNorm
16265.0,198,Fragment-LogNorm
16310.0,199,Fragment-LogNorm
16348.0,200,Fragment-LogNorm
16386.0,201,Fragment-LogNorm
16429.0,202,Fragment-LogNorm
16479.0,203,Fragment-LogNorm
16535.0,204,Fragment-LogNorm
16587.0,205,Fragment-LogNorm
16642.0,206,Fragment-LogNorm
16704.0,207,Fragment-LogNorm
16756.0,208,Fragment-LogNorm
16803.0,209,Fragment-LogNorm
16854.0,210,Fragment-LogNorm
16905.0,211,Fragment-LogNorm
16942.0,212,Fragment-LogNorm
16977.0,213,Fragment-LogNorm
17024.0,214,Fragment-LogNorm
17079.0,215,Fragment-LogNorm
17138.0,216,Fragment-LogNorm
17188.0,217,Fragment-LogNorm
17232.0,218,Fragment-LogNorm
17276.0,219,Fragment-LogNorm
17331.0,220,Fragment-LogNorm
17385.0,221,Fragment-LogNorm
17442.0,222,Fragment-LogNorm
17488.0,223,Fragment-LogNorm
17542.0,224,Fragment-LogNorm
17595.0,225,Fragment-LogNorm
17652.0,226,Fragment-LogNorm
17711.0,227,Fragment-LogNorm
17748.0,228,Fragment-LogNorm
17801.0,229,Fragment-LogNorm
17856.0,230,Fragment-LogNorm
17909.0,231,Fragment-LogNorm
17959.0,232,Fragment-LogNorm
18007.0,233,Fragment-LogNorm
18071.0,234,Fragment-LogNorm
18123.0,235,Fragment-LogNorm
18178.0,236,Fragment-LogNorm
18240.0,237,Fragment-LogNorm
18288.0,238,Fragment-LogNorm
18348.0,239,Fragment-LogNorm
18400.0,240,Fragment-LogNorm
18453.0,241,Fragment-LogNorm
18519.0,242,Fragment-LogNorm
18563.0,243,Fragment-LogNorm
18606.0,244,Fragment-LogNorm
18663.0,245,Fragment-LogNorm
18720.0,246,Fragment-LogNorm
18781.0,247,Fragment-LogNorm
18833.0,248,Fragment-LogNorm
18883.0,249,Fragment-LogNorm
18934.0,250,Fragment-LogNorm
18972.0,251,Fragment-LogNorm
19030.0,252,Fragment-LogNorm
19080.0,253,Fragment-LogNorm
19127.0,254,Fragment-LogNorm
19183.0,255,Fragment-LogNorm
19231.0,256,Fragment-LogNorm
19281.0,257,Fragment-LogNorm
19350.0,258,Fragment-LogNorm
19412.0,259,Fragment-LogNorm
19463.0,260,Fragment-LogNorm
19519.0,261,Fragment-LogNorm
19577.0,262,Fragment-LogNorm
19620.0,263,Fragment-LogNorm
19675.0,264,Fragment-LogNorm
19728.0,265,Fragment-LogNorm
19775.0,266,Fragment-LogNorm
19824.0,267,Fragment-LogNorm
19881.0,268,Fragment-LogNorm
19925.0,269,Fragment-LogNorm
19979.0,270,Fragment-LogNorm
20042.0,271,Fragment-LogNorm
20093.0,272,Fragment-LogNorm
20139.0,273,Fragment-LogNorm
20192.0,274,Fragment-LogNorm
20243.0,275,Fragment-LogNorm
20287.0,276,Fragment-LogNorm
20337.0,277,Fragment-LogNorm
20387.0,278,Fragment-LogNorm
20432.0,279,Fragment-LogNorm
20493.0,280,Fragment-LogNorm
20558.0,281,Fragment-LogNorm
20605.0,282,Fragment-LogNorm
20669.0,283,Fragment-LogNorm
20719.0,284,Fragment-LogNorm
20782.0,285,Fragment-LogNorm
20837.0,286,Fragment-LogNorm
20914.0,287,Fragment-LogNorm
20956.0,288,Fragment-LogNorm
21002.0,289,Fragment-LogNorm
21056.0,290,Fragment-LogNorm
21111.0,291,Fragment-LogNorm
21147.0,292,Fragment-LogNorm
21192.0,293,Fragment-LogNorm
21244.0,294,Fragment-LogNorm
21304.0,295,Fragment-LogNorm
21353.0,296,Fragment-LogNorm
21395.0,297,Fragment-LogNorm
21440.0,298,Fragment-LogNorm
21487.0,299,Fragment-LogNorm
21542.0,300,Fragment-LogNorm
21586.0,301,Fragment-LogNorm
21644.0,302,Fragment-LogNorm
21693.0,303,Fragment-LogNorm
21745.0,304,Fragment-LogNorm
21792.0,305,Fragment-LogNorm
21844.0,306,Fragment-LogNorm
21902.0,307,Fragment-LogNorm
21949.0,308,Fragment-LogNorm
22000.0,309,Fragment-LogNorm
22043.0,310,Fragment-LogNorm
22096.0,311,Fragment-LogNorm
22151.0,312,Fragment-LogNorm
22213.0,313,Fragment-LogNorm
22273.0,314,Fragment-LogNorm
22333.0,315,Fragment-LogNorm
22378.0,316,Fragment-LogNorm
22441.0,317,Fragment-LogNorm
22489.0,318,Fragment-LogNorm
22536.0,319,Fragment-LogNorm
22576.0,320,Fragment-LogNorm
22625.0,321,Fragment-LogNorm
22671.0,322,Fragment-LogNorm
22714.0,323,Fragment-LogNorm
22754.0,324,Fragment-LogNorm
22815.0,325,Fragment-LogNorm
22876.0,326,Fragment-LogNorm
22939.0,327,Fragment-LogNorm
22979.0,328,Fragment-LogNorm
23020.0,329,Fragment-LogNorm
23080.0,330,Fragment-LogNorm
23138.0,331,Fragment-LogNorm
23190.0,332,Fragment-LogNorm
23245.0,333,Fragment-LogNorm
23298.0,334,Fragment-LogNorm
23359.0,335,Fragment-LogNorm
23410.0,336,Fragment-LogNorm
23453.0,337,Fragment-LogNorm
23495.0,338,Fragment-LogNorm
23560.0,339,Fragment-LogNorm
23600.0,340,Fragment-LogNorm
23652.0,341,Fragment-LogNorm
23706.0,342,Fragment-LogNorm
23762.0,343,Fragment-LogNorm
23818.0,344,Fragment-LogNorm
23879.0,345,Fragment-LogNorm
23926.0,346,Fragment-LogNorm
23975.0,347,Fragment-LogNorm
24028.0,348,Fragment-LogNorm
24086.0,349,Fragment-LogNorm
24144.0,350,Fragment-LogNorm
24193.0,351,Fragment-LogNorm
24244.0,352,Fragment-LogNorm
24298.0,353,Fragment-LogNorm
24350.0,354,Fragment-LogNorm
24399.0,355,Fragment-LogNorm
24443.0,356,Fragment-LogNorm
24496.0,357,Fragment-LogNorm
24548.0,358,Fragment-LogNorm
24602.0,359,Fragment-LogNorm
24653.0,360,Fragment-LogNorm
24697.0,361,Fragment-LogNorm
24755.0,362,Fragment-LogNorm
24807.0,363,Fragment-LogNorm
24852.0,364,Fragment-LogNorm
24902.0,365,Fragment-LogNorm
24951.0,366,Fragment-LogNorm
24992.0,367,Fragment-LogNorm
25050.0,368,Fragment-LogNorm
25098.0,369,Fragment-LogNorm
25153.0,370,Fragment-LogNorm
25204.0,371,Fragment-LogNorm
25259.0,372,Fragment-LogNorm
25308.0,373,Fragment-LogNorm
25376.0,374,Fragment-LogNorm
25431.0,375,Fragment-LogNorm
25492.0,376,Fragment-LogNorm
25535.0,377,Fragment-LogNorm
25588.0,378,Fragment-LogNorm
25638.0,379,Fragment-LogNorm
25689.0,380,Fragment-LogNorm
25748.0,381,Fragment-LogNorm
25811.0,382,Fragment-LogNorm
25860.0,383,Fragment-LogNorm
25899.0,384,Fragment-LogNorm
25943.0,385,Fragment-LogNorm
25987.0,386,Fragment-LogNorm
26039.0,387,Fragment-LogNorm
26099.0,388,Fragment-LogNorm
26157.0,389,Fragment-LogNorm
26208.0,390,Fragment-LogNorm
26255.0,391,Fragment-LogNorm
26299.0,392,Fragment-LogNorm
26369.0,393,Fragment-LogNorm
26420.0,394,Fragment-LogNorm
26460.0,395,Fragment-LogNorm
26515.0,396,Fragment-LogNorm
26576.0,397,Fragment-LogNorm
26642.0,398,Fragment-LogNorm
26686.0,399,Fragment-LogNorm
26726.0,400,Fragment-LogNorm
26778.0,401,Fragment-LogNorm
26834.0,402,Fragment-LogNorm
26878.0,403,Fragment-LogNorm
26926.0,404,Fragment-LogNorm
26978.0,405,Fragment-LogNorm
27042.0,406,Fragment-LogNorm
27094.0,407,Fragment-LogNorm
27158.0,408,Fragment-LogNorm
27208.0,409,Fragment-LogNorm
27268.0,410,Fragment-LogNorm
27315.0,411,Fragment-LogNorm
27359.0,412,Fragment-LogNorm
27424.0,413,Fragment-LogNorm
27480.0,414,Fragment-LogNorm
27530.0,415,Fragment-LogNorm
27586.0,416,Fragment-LogNorm
27649.0,417,Fragment-LogNorm
27702.0,418,Fragment-LogNorm
27771.0,419,Fragment-LogNorm
27820.0,420,Fragment-LogNorm
27870.0,421,Fragment-LogNorm
27923.0,422,Fragment-LogNorm
27976.0,423,Fragment-LogNorm
28031.0,424,Fragment-LogNorm
28084.0,425,Fragment-LogNorm
28130.0,426,Fragment-LogNorm
28176.0,427,Fragment-LogNorm
28217.0,428,Fragment-LogNorm
28260.0,429,Fragment-LogNorm
28328.0,430,Fragment-LogNorm
28375.0,431,Fragment-LogNorm
28433.0,432,Fragment-LogNorm
28475.0,433,Fragment-LogNorm
28532.0,434,Fragment-LogNorm
28579.0,435,Fragment-LogNorm
28637.0,436,Fragment-LogNorm
28682.0,437,Fragment-LogNorm
28735.0,438,Fragment-LogNorm
28775.0,439,Fragment-LogNorm
28835.0,440,Fragment-LogNorm
28884.0,441,Fragment-LogNorm
28938.0,442,Fragment-LogNorm
28992.0,443,Fragment-LogNorm
29039.0,444,Fragment-LogNorm
29094.0,445,Fragment-LogNorm
29132.0,446,Fragment-LogNorm
29182.0,447,Fragment-LogNorm
29222.0,448,Fragment-LogNorm
29269.0,449,Fragment-LogNorm
29322.0,450,Fragment-LogNorm
29378.0,451,Fragment-LogNorm
29422.0,452,Fragment-LogNorm
29471.0,453,Fragment-LogNorm
29519.0,454,Fragment-LogNorm
29556.0,455,Fragment-LogNorm
29603.0,456,Fragment-LogNorm
29652.0,457,Fragment-LogNorm
29698.0,458,Fragment-LogNorm
29740.0,459,Fragment-LogNorm
29798.0,460,Fragment-LogNorm
29845.0,461,Fragment-LogNorm
29902.0,462,Fragment-LogNorm
29957.0,463,Fragment-LogNorm
30013.0,464,Fragment-LogNorm
30065.0,465,Fragment-LogNorm
30111.0,466,Fragment-LogNorm
30154.0,467,Fragment-LogNorm
30210.0,468,Fragment-LogNorm
30257.0,469,Fragment-LogNorm
30313.0,470,Fragment-LogNorm
30380.0,471,Fragment-LogNorm
30428.0,472,Fragment-LogNorm
30482.0,473,Fragment-LogNorm
30536.0,474,Fragment-LogNorm
30570.0,475,Fragment-LogNorm
30624.0,476,Fragment-LogNorm
30685.0,477,Fragment-LogNorm
30730.0,478,Fragment-LogNorm
30790.0,479,Fragment-LogNorm
30842.0,480,Fragment-LogNorm
30896.0,481,Fragment-LogNorm
30949.0,482,Fragment-LogNorm
30995.0,483,Fragment-LogNorm
31052.0,484,Fragment-LogNorm
31111.0,485,Fragment-LogNorm
31165.0,486,Fragment-LogNorm
31221.0,487,Fragment-LogNorm
31275.0,488,Fragment-LogNorm
31331.0,489,Fragment-LogNorm
31386.0,490,Fragment-LogNorm
31439.0,491,Fragment-LogNorm
31490.0,492,Fragment-LogNorm
31536.0,493,Fragment-LogNorm
31603.0,494,Fragment-LogNorm
31657.0,495,Fragment-LogNorm
31717.0,496,Fragment-LogNorm
31783.0,497,Fragment-LogNorm
31842.0,498,Fragment-LogNorm
31906.0,499,Fragment-LogNorm
31963.0,500,Fragment-LogNorm
32023.0,501,Fragment-LogNorm
32083.0,502,Fragment-LogNorm
32139.0,503,Fragment-LogNorm
32199.0,504,Fragment-LogNorm
32254.0,505,Fragment-LogNorm
32297.0,506,Fragment-LogNorm
32344.0,507,Fragment-LogNorm
32396.0,508,Fragment-LogNorm
32450.0,509,Fragment-LogNorm
32511.0,510,Fragment-LogNorm
32558.0,511,Fragment-LogNorm
32622.0,512,Fragment-LogNorm
32675.0,513,Fragment-LogNorm
32730.0,514,Fragment-LogNorm
32780.0,515,Fragment-LogNorm
32838.0,516,Fragment-LogNorm
32882.0,517,Fragment-LogNorm
32928.0,518,Fragment-LogNorm
32974.0,519,Fragment-LogNorm
33027.0,520,Fragment-LogNorm
33083.0,521,Fragment-LogNorm
33143.0,522,Fragment-LogNorm
33202.0,523,Fragment-LogNorm
33255.0,524,Fragment-LogNorm
33309.0,525,Fragment-LogNorm
33357.0,526,Fragment-LogNorm
33413.0,527,Fragment-LogNorm
33459.0,528,Fragment-LogNorm
33514.0,529,Fragment-LogNorm
33554.0,530,Fragment-LogNorm
33610.0,531,Fragment-LogNorm
33656.0,532,Fragment-LogNorm
33713.0,533,Fragment-LogNorm
33755.0,534,Fragment-LogNorm
33815.0,535,Fragment-LogNorm
33874.0,536,Fragment-LogNorm
33927.0,537,Fragment-LogNorm
33985.0,538,Fragment-LogNorm
34026.0,539,Fragment-LogNorm
34076.0,540,Fragment-LogNorm
34126.0,541,Fragment-LogNorm
34182.0,542,Fragment-LogNorm
34224.0,543,Fragment-LogNorm
34278.0,544,Fragment-LogNorm
34335.0,545,Fragment-LogNorm
34385.0,546,Fragment-LogNorm
34438.0,547,Fragment-LogNorm
34486.0,548,Fragment-LogNorm
34547.0,549,Fragment-LogNorm
34607.0,550,Fragment-LogNorm
34648.0,551,Fragment-LogNorm
34702.0,552,Fragment-LogNorm
34749.0,553,Fragment-LogNorm
34793.0,554,Fragment-LogNorm
34840.0,555,Fragment-LogNorm
34890.0,556,Fragment-LogNorm
34939.0,557,Fragment-LogNorm
34986.0,558,Fragment-LogNorm
35031.0,559,Fragment-LogNorm
35073.0,560,Fragment-LogNorm
35135.0,561,Fragment-LogNorm
35196.0,562,Fragment-LogNorm
35253.0,563,Fragment-LogNorm
35311.0,564,Fragment-LogNorm
35358.0,565,Fragment-LogNorm
35417.0,566,Fragment-LogNorm
35466.0,567,Fragment-LogNorm
35510.0,568,Fragment-LogNorm
35566.0,569,Fragment-LogNorm
35610.0,570,Fragment-LogNorm
35667.0,571,Fragment-LogNorm
35721.0,572,Fragment-LogNorm
35768.0,573,Fragment-LogNorm
35821.0,574,Fragment-LogNorm
35873.0,575,Fragment-LogNorm
35941.0,576,Fragment-LogNorm
35993.0,577,Fragment-LogNorm
36047.0,578,Fragment-LogNorm
36097.0,579,Fragment-LogNorm
36162.0,580,Fragment-LogNorm
36221.0,581,Fragment-LogNorm
36273.0,582,Fragment-LogNorm
36311.0,583,Fragment-LogNorm
36357.0,584,Fragment-LogNorm
36407.0,585,Fragment-LogNorm
36448.0,586,Fragment-LogNorm
36524.0,587,Fragment-LogNorm
36573.0,588,Fragment-LogNorm
36626.0,589,Fragment-LogNorm
36681.0,590,Fragment-LogNorm
36731.0,591,Fragment-LogNorm
36781.0,592,Fragment-LogNorm
36837.0,593,Fragment-LogNorm
36893.0,594,Fragment-LogNorm
36944.0,595,Fragment-LogNorm
36994.0,596,Fragment-LogNorm
37037.0,597,Fragment-LogNorm
37083.0,598,Fragment-LogNorm
