
CellTypeCount
==================== 
Count,Time, CellType
4031.0,2,Fragment-LogNorm
4072.0,3,Fragment-LogNorm
4111.0,4,Fragment-LogNorm
4153.0,5,Fragment-LogNorm
4183.0,6,Fragment-LogNorm
4217.0,7,Fragment-LogNorm
4248.0,8,Fragment-LogNorm
4278.0,9,Fragment-LogNorm
4305.0,10,Fragment-LogNorm
4334.0,11,Fragment-LogNorm
4373.0,12,Fragment-LogNorm
4391.0,13,Fragment-LogNorm
4421.0,14,Fragment-LogNorm
4447.0,15,Fragment-LogNorm
4476.0,16,Fragment-LogNorm
4503.0,17,Fragment-LogNorm
4519.0,18,Fragment-LogNorm
4538.0,19,Fragment-LogNorm
4566.0,20,Fragment-LogNorm
4591.0,21,Fragment-LogNorm
4617.0,22,Fragment-LogNorm
4639.0,23,Fragment-LogNorm
4665.0,24,Fragment-LogNorm
4687.0,25,Fragment-LogNorm
4711.0,26,Fragment-LogNorm
4726.0,27,Fragment-LogNorm
4754.0,28,Fragment-LogNorm
4772.0,29,Fragment-LogNorm
4794.0,30,Fragment-LogNorm
4816.0,31,Fragment-LogNorm
4838.0,32,Fragment-LogNorm
4873.0,33,Fragment-LogNorm
4904.0,34,Fragment-LogNorm
4920.0,35,Fragment-LogNorm
4938.0,36,Fragment-LogNorm
4956.0,37,Fragment-LogNorm
4980.0,38,Fragment-LogNorm
4997.0,39,Fragment-LogNorm
5024.0,40,Fragment-LogNorm
5046.0,41,Fragment-LogNorm
5067.0,42,Fragment-LogNorm
5089.0,43,Fragment-LogNorm
5105.0,44,Fragment-LogNorm
5128.0,45,Fragment-LogNorm
5150.0,46,Fragment-LogNorm
5166.0,47,Fragment-LogNorm
5182.0,48,Fragment-LogNorm
5213.0,49,Fragment-LogNorm
5231.0,50,Fragment-LogNorm
5255.0,51,Fragment-LogNorm
5272.0,52,Fragment-LogNorm
5290.0,53,Fragment-LogNorm
5310.0,54,Fragment-LogNorm
5330.0,55,Fragment-LogNorm
5348.0,56,Fragment-LogNorm
5364.0,57,Fragment-LogNorm
5378.0,58,Fragment-LogNorm
5396.0,59,Fragment-LogNorm
5416.0,60,Fragment-LogNorm
5438.0,61,Fragment-LogNorm
5461.0,62,Fragment-LogNorm
5490.0,63,Fragment-LogNorm
5506.0,64,Fragment-LogNorm
5530.0,65,Fragment-LogNorm
5556.0,66,Fragment-LogNorm
5577.0,67,Fragment-LogNorm
5587.0,68,Fragment-LogNorm
5601.0,69,Fragment-LogNorm
5615.0,70,Fragment-LogNorm
5632.0,71,Fragment-LogNorm
5655.0,72,Fragment-LogNorm
5668.0,73,Fragment-LogNorm
5688.0,74,Fragment-LogNorm
5706.0,75,Fragment-LogNorm
5725.0,76,Fragment-LogNorm
5740.0,77,Fragment-LogNorm
5759.0,78,Fragment-LogNorm
5781.0,79,Fragment-LogNorm
5804.0,80,Fragment-LogNorm
5824.0,81,Fragment-LogNorm
5848.0,82,Fragment-LogNorm
5869.0,83,Fragment-LogNorm
5883.0,84,Fragment-LogNorm
5904.0,85,Fragment-LogNorm
5926.0,86,Fragment-LogNorm
5941.0,87,Fragment-LogNorm
5954.0,88,Fragment-LogNorm
5971.0,89,Fragment-LogNorm
5986.0,90,Fragment-LogNorm
6008.0,91,Fragment-LogNorm
6030.0,92,Fragment-LogNorm
6052.0,93,Fragment-LogNorm
6065.0,94,Fragment-LogNorm
6081.0,95,Fragment-LogNorm
6098.0,96,Fragment-LogNorm
6119.0,97,Fragment-LogNorm
6138.0,98,Fragment-LogNorm
6156.0,99,Fragment-LogNorm
6168.0,100,Fragment-LogNorm
6184.0,101,Fragment-LogNorm
6199.0,102,Fragment-LogNorm
6215.0,103,Fragment-LogNorm
6233.0,104,Fragment-LogNorm
6255.0,105,Fragment-LogNorm
6274.0,106,Fragment-LogNorm
6290.0,107,Fragment-LogNorm
6310.0,108,Fragment-LogNorm
6332.0,109,Fragment-LogNorm
6354.0,110,Fragment-LogNorm
6372.0,111,Fragment-LogNorm
6391.0,112,Fragment-LogNorm
6407.0,113,Fragment-LogNorm
6427.0,114,Fragment-LogNorm
6445.0,115,Fragment-LogNorm
6469.0,116,Fragment-LogNorm
6486.0,117,Fragment-LogNorm
6508.0,118,Fragment-LogNorm
6525.0,119,Fragment-LogNorm
6544.0,120,Fragment-LogNorm
6565.0,121,Fragment-LogNorm
6583.0,122,Fragment-LogNorm
6600.0,123,Fragment-LogNorm
6615.0,124,Fragment-LogNorm
6630.0,125,Fragment-LogNorm
6649.0,126,Fragment-LogNorm
6665.0,127,Fragment-LogNorm
6683.0,128,Fragment-LogNorm
6701.0,129,Fragment-LogNorm
6718.0,130,Fragment-LogNorm
6728.0,131,Fragment-LogNorm
6738.0,132,Fragment-LogNorm
6759.0,133,Fragment-LogNorm
6785.0,134,Fragment-LogNorm
6800.0,135,Fragment-LogNorm
6812.0,136,Fragment-LogNorm
6830.0,137,Fragment-LogNorm
6838.0,138,Fragment-LogNorm
6859.0,139,Fragment-LogNorm
6874.0,140,Fragment-LogNorm
6903.0,141,Fragment-LogNorm
6923.0,142,Fragment-LogNorm
6937.0,143,Fragment-LogNorm
6952.0,144,Fragment-LogNorm
6972.0,145,Fragment-LogNorm
6989.0,146,Fragment-LogNorm
7009.0,147,Fragment-LogNorm
7017.0,148,Fragment-LogNorm
7033.0,149,Fragment-LogNorm
7050.0,150,Fragment-LogNorm
7064.0,151,Fragment-LogNorm
7083.0,152,Fragment-LogNorm
7105.0,153,Fragment-LogNorm
7120.0,154,Fragment-LogNorm
7142.0,155,Fragment-LogNorm
7160.0,156,Fragment-LogNorm
7180.0,157,Fragment-LogNorm
7195.0,158,Fragment-LogNorm
7213.0,159,Fragment-LogNorm
7234.0,160,Fragment-LogNorm
7249.0,161,Fragment-LogNorm
7270.0,162,Fragment-LogNorm
7292.0,163,Fragment-LogNorm
7317.0,164,Fragment-LogNorm
7335.0,165,Fragment-LogNorm
7349.0,166,Fragment-LogNorm
7368.0,167,Fragment-LogNorm
7394.0,168,Fragment-LogNorm
7410.0,169,Fragment-LogNorm
7426.0,170,Fragment-LogNorm
7437.0,171,Fragment-LogNorm
7454.0,172,Fragment-LogNorm
7473.0,173,Fragment-LogNorm
7486.0,174,Fragment-LogNorm
7504.0,175,Fragment-LogNorm
7522.0,176,Fragment-LogNorm
7535.0,177,Fragment-LogNorm
7553.0,178,Fragment-LogNorm
7576.0,179,Fragment-LogNorm
7590.0,180,Fragment-LogNorm
7605.0,181,Fragment-LogNorm
7615.0,182,Fragment-LogNorm
7639.0,183,Fragment-LogNorm
7660.0,184,Fragment-LogNorm
7678.0,185,Fragment-LogNorm
7696.0,186,Fragment-LogNorm
7722.0,187,Fragment-LogNorm
7736.0,188,Fragment-LogNorm
7756.0,189,Fragment-LogNorm
7767.0,190,Fragment-LogNorm
7780.0,191,Fragment-LogNorm
7798.0,192,Fragment-LogNorm
7818.0,193,Fragment-LogNorm
7829.0,194,Fragment-LogNorm
7841.0,195,Fragment-LogNorm
7852.0,196,Fragment-LogNorm
7866.0,197,Fragment-LogNorm
7882.0,198,Fragment-LogNorm
7892.0,199,Fragment-LogNorm
7907.0,200,Fragment-LogNorm
7924.0,201,Fragment-LogNorm
7946.0,202,Fragment-LogNorm
7963.0,203,Fragment-LogNorm
7975.0,204,Fragment-LogNorm
7989.0,205,Fragment-LogNorm
8001.0,206,Fragment-LogNorm
8018.0,207,Fragment-LogNorm
8034.0,208,Fragment-LogNorm
8050.0,209,Fragment-LogNorm
8083.0,210,Fragment-LogNorm
8096.0,211,Fragment-LogNorm
8114.0,212,Fragment-LogNorm
8127.0,213,Fragment-LogNorm
8141.0,214,Fragment-LogNorm
8165.0,215,Fragment-LogNorm
8180.0,216,Fragment-LogNorm
8207.0,217,Fragment-LogNorm
8225.0,218,Fragment-LogNorm
8238.0,219,Fragment-LogNorm
8251.0,220,Fragment-LogNorm
8265.0,221,Fragment-LogNorm
8282.0,222,Fragment-LogNorm
8301.0,223,Fragment-LogNorm
8313.0,224,Fragment-LogNorm
8326.0,225,Fragment-LogNorm
8348.0,226,Fragment-LogNorm
8365.0,227,Fragment-LogNorm
8382.0,228,Fragment-LogNorm
8406.0,229,Fragment-LogNorm
8420.0,230,Fragment-LogNorm
8439.0,231,Fragment-LogNorm
8451.0,232,Fragment-LogNorm
8468.0,233,Fragment-LogNorm
8482.0,234,Fragment-LogNorm
8502.0,235,Fragment-LogNorm
8515.0,236,Fragment-LogNorm
8536.0,237,Fragment-LogNorm
8555.0,238,Fragment-LogNorm
8578.0,239,Fragment-LogNorm
8598.0,240,Fragment-LogNorm
8610.0,241,Fragment-LogNorm
8632.0,242,Fragment-LogNorm
8648.0,243,Fragment-LogNorm
8668.0,244,Fragment-LogNorm
8694.0,245,Fragment-LogNorm
8703.0,246,Fragment-LogNorm
8719.0,247,Fragment-LogNorm
8735.0,248,Fragment-LogNorm
8753.0,249,Fragment-LogNorm
8775.0,250,Fragment-LogNorm
8785.0,251,Fragment-LogNorm
8805.0,252,Fragment-LogNorm
8821.0,253,Fragment-LogNorm
8834.0,254,Fragment-LogNorm
8840.0,255,Fragment-LogNorm
8860.0,256,Fragment-LogNorm
8873.0,257,Fragment-LogNorm
8899.0,258,Fragment-LogNorm
8921.0,259,Fragment-LogNorm
8934.0,260,Fragment-LogNorm
8948.0,261,Fragment-LogNorm
8956.0,262,Fragment-LogNorm
8971.0,263,Fragment-LogNorm
8984.0,264,Fragment-LogNorm
8995.0,265,Fragment-LogNorm
9006.0,266,Fragment-LogNorm
9022.0,267,Fragment-LogNorm
9042.0,268,Fragment-LogNorm
9052.0,269,Fragment-LogNorm
9074.0,270,Fragment-LogNorm
9091.0,271,Fragment-LogNorm
9109.0,272,Fragment-LogNorm
9129.0,273,Fragment-LogNorm
9143.0,274,Fragment-LogNorm
9158.0,275,Fragment-LogNorm
9177.0,276,Fragment-LogNorm
9190.0,277,Fragment-LogNorm
9208.0,278,Fragment-LogNorm
9226.0,279,Fragment-LogNorm
9243.0,280,Fragment-LogNorm
9260.0,281,Fragment-LogNorm
9269.0,282,Fragment-LogNorm
9281.0,283,Fragment-LogNorm
9298.0,284,Fragment-LogNorm
9315.0,285,Fragment-LogNorm
9324.0,286,Fragment-LogNorm
9341.0,287,Fragment-LogNorm
9357.0,288,Fragment-LogNorm
9370.0,289,Fragment-LogNorm
9393.0,290,Fragment-LogNorm
9409.0,291,Fragment-LogNorm
9433.0,292,Fragment-LogNorm
9450.0,293,Fragment-LogNorm
9467.0,294,Fragment-LogNorm
9483.0,295,Fragment-LogNorm
9503.0,296,Fragment-LogNorm
9521.0,297,Fragment-LogNorm
9539.0,298,Fragment-LogNorm
9550.0,299,Fragment-LogNorm
9567.0,300,Fragment-LogNorm
9589.0,301,Fragment-LogNorm
9605.0,302,Fragment-LogNorm
9629.0,303,Fragment-LogNorm
9651.0,304,Fragment-LogNorm
9665.0,305,Fragment-LogNorm
9682.0,306,Fragment-LogNorm
9698.0,307,Fragment-LogNorm
9722.0,308,Fragment-LogNorm
9734.0,309,Fragment-LogNorm
9750.0,310,Fragment-LogNorm
9768.0,311,Fragment-LogNorm
9790.0,312,Fragment-LogNorm
9813.0,313,Fragment-LogNorm
9837.0,314,Fragment-LogNorm
9862.0,315,Fragment-LogNorm
9879.0,316,Fragment-LogNorm
9893.0,317,Fragment-LogNorm
9904.0,318,Fragment-LogNorm
9917.0,319,Fragment-LogNorm
9933.0,320,Fragment-LogNorm
9946.0,321,Fragment-LogNorm
9962.0,322,Fragment-LogNorm
9979.0,323,Fragment-LogNorm
10004.0,324,Fragment-LogNorm
10015.0,325,Fragment-LogNorm
10031.0,326,Fragment-LogNorm
10052.0,327,Fragment-LogNorm
10072.0,328,Fragment-LogNorm
10087.0,329,Fragment-LogNorm
10097.0,330,Fragment-LogNorm
10107.0,331,Fragment-LogNorm
10118.0,332,Fragment-LogNorm
10134.0,333,Fragment-LogNorm
10155.0,334,Fragment-LogNorm
10179.0,335,Fragment-LogNorm
10198.0,336,Fragment-LogNorm
10213.0,337,Fragment-LogNorm
10235.0,338,Fragment-LogNorm
10249.0,339,Fragment-LogNorm
10263.0,340,Fragment-LogNorm
10282.0,341,Fragment-LogNorm
10301.0,342,Fragment-LogNorm
10318.0,343,Fragment-LogNorm
10332.0,344,Fragment-LogNorm
10349.0,345,Fragment-LogNorm
10364.0,346,Fragment-LogNorm
10377.0,347,Fragment-LogNorm
10393.0,348,Fragment-LogNorm
10404.0,349,Fragment-LogNorm
10414.0,350,Fragment-LogNorm
10431.0,351,Fragment-LogNorm
10442.0,352,Fragment-LogNorm
10456.0,353,Fragment-LogNorm
10471.0,354,Fragment-LogNorm
10497.0,355,Fragment-LogNorm
10509.0,356,Fragment-LogNorm
10529.0,357,Fragment-LogNorm
10543.0,358,Fragment-LogNorm
10555.0,359,Fragment-LogNorm
10578.0,360,Fragment-LogNorm
10598.0,361,Fragment-LogNorm
10620.0,362,Fragment-LogNorm
10638.0,363,Fragment-LogNorm
10651.0,364,Fragment-LogNorm
10673.0,365,Fragment-LogNorm
10692.0,366,Fragment-LogNorm
10706.0,367,Fragment-LogNorm
10723.0,368,Fragment-LogNorm
10742.0,369,Fragment-LogNorm
10766.0,370,Fragment-LogNorm
10783.0,371,Fragment-LogNorm
10801.0,372,Fragment-LogNorm
10811.0,373,Fragment-LogNorm
10831.0,374,Fragment-LogNorm
10849.0,375,Fragment-LogNorm
10864.0,376,Fragment-LogNorm
10880.0,377,Fragment-LogNorm
10895.0,378,Fragment-LogNorm
10911.0,379,Fragment-LogNorm
10931.0,380,Fragment-LogNorm
10946.0,381,Fragment-LogNorm
10958.0,382,Fragment-LogNorm
10973.0,383,Fragment-LogNorm
10995.0,384,Fragment-LogNorm
11009.0,385,Fragment-LogNorm
11028.0,386,Fragment-LogNorm
11044.0,387,Fragment-LogNorm
11065.0,388,Fragment-LogNorm
11086.0,389,Fragment-LogNorm
11100.0,390,Fragment-LogNorm
11115.0,391,Fragment-LogNorm
11133.0,392,Fragment-LogNorm
11155.0,393,Fragment-LogNorm
11171.0,394,Fragment-LogNorm
11190.0,395,Fragment-LogNorm
11205.0,396,Fragment-LogNorm
11222.0,397,Fragment-LogNorm
11240.0,398,Fragment-LogNorm
11262.0,399,Fragment-LogNorm
11277.0,400,Fragment-LogNorm
11291.0,401,Fragment-LogNorm
11303.0,402,Fragment-LogNorm
11321.0,403,Fragment-LogNorm
11342.0,404,Fragment-LogNorm
11354.0,405,Fragment-LogNorm
11372.0,406,Fragment-LogNorm
11385.0,407,Fragment-LogNorm
11405.0,408,Fragment-LogNorm
11415.0,409,Fragment-LogNorm
11427.0,410,Fragment-LogNorm
11442.0,411,Fragment-LogNorm
11462.0,412,Fragment-LogNorm
11482.0,413,Fragment-LogNorm
11503.0,414,Fragment-LogNorm
11517.0,415,Fragment-LogNorm
11530.0,416,Fragment-LogNorm
11545.0,417,Fragment-LogNorm
11561.0,418,Fragment-LogNorm
11579.0,419,Fragment-LogNorm
11592.0,420,Fragment-LogNorm
11612.0,421,Fragment-LogNorm
11629.0,422,Fragment-LogNorm
11652.0,423,Fragment-LogNorm
11667.0,424,Fragment-LogNorm
11682.0,425,Fragment-LogNorm
11700.0,426,Fragment-LogNorm
11711.0,427,Fragment-LogNorm
11732.0,428,Fragment-LogNorm
