
removedCount
==================== 
Count,Time, CellType
135.0,2,Fragment-LogNorm
163.0,3,Fragment-LogNorm
184.0,4,Fragment-LogNorm
201.0,5,Fragment-LogNorm
217.0,6,Fragment-LogNorm
238.0,7,Fragment-LogNorm
253.0,8,Fragment-LogNorm
270.0,9,Fragment-LogNorm
283.0,10,Fragment-LogNorm
293.0,11,Fragment-LogNorm
304.0,12,Fragment-LogNorm
319.0,13,Fragment-LogNorm
336.0,14,Fragment-LogNorm
349.0,15,Fragment-LogNorm
365.0,16,Fragment-LogNorm
375.0,17,Fragment-LogNorm
388.0,18,Fragment-LogNorm
402.0,19,Fragment-LogNorm
414.0,20,Fragment-LogNorm
424.0,21,Fragment-LogNorm
431.0,22,Fragment-LogNorm
440.0,23,Fragment-LogNorm
446.0,24,Fragment-LogNorm
455.0,25,Fragment-LogNorm
464.0,26,Fragment-LogNorm
471.0,27,Fragment-LogNorm
481.0,28,Fragment-LogNorm
490.0,29,Fragment-LogNorm
500.0,30,Fragment-LogNorm
507.0,31,Fragment-LogNorm
519.0,32,Fragment-LogNorm
528.0,33,Fragment-LogNorm
535.0,34,Fragment-LogNorm
544.0,35,Fragment-LogNorm
553.0,36,Fragment-LogNorm
562.0,37,Fragment-LogNorm
571.0,38,Fragment-LogNorm
577.0,39,Fragment-LogNorm
583.0,40,Fragment-LogNorm
588.0,41,Fragment-LogNorm
598.0,42,Fragment-LogNorm
605.0,43,Fragment-LogNorm
611.0,44,Fragment-LogNorm
621.0,45,Fragment-LogNorm
629.0,46,Fragment-LogNorm
637.0,47,Fragment-LogNorm
647.0,48,Fragment-LogNorm
655.0,49,Fragment-LogNorm
666.0,50,Fragment-LogNorm
671.0,51,Fragment-LogNorm
682.0,52,Fragment-LogNorm
690.0,53,Fragment-LogNorm
693.0,54,Fragment-LogNorm
698.0,55,Fragment-LogNorm
704.0,56,Fragment-LogNorm
712.0,57,Fragment-LogNorm
721.0,58,Fragment-LogNorm
732.0,59,Fragment-LogNorm
736.0,60,Fragment-LogNorm
742.0,61,Fragment-LogNorm
754.0,62,Fragment-LogNorm
765.0,63,Fragment-LogNorm
772.0,64,Fragment-LogNorm
775.0,65,Fragment-LogNorm
784.0,66,Fragment-LogNorm
792.0,67,Fragment-LogNorm
796.0,68,Fragment-LogNorm
802.0,69,Fragment-LogNorm
808.0,70,Fragment-LogNorm
815.0,71,Fragment-LogNorm
821.0,72,Fragment-LogNorm
829.0,73,Fragment-LogNorm
837.0,74,Fragment-LogNorm
844.0,75,Fragment-LogNorm
853.0,76,Fragment-LogNorm
861.0,77,Fragment-LogNorm
871.0,78,Fragment-LogNorm
879.0,79,Fragment-LogNorm
884.0,80,Fragment-LogNorm
891.0,81,Fragment-LogNorm
898.0,82,Fragment-LogNorm
912.0,83,Fragment-LogNorm
914.0,84,Fragment-LogNorm
924.0,85,Fragment-LogNorm
929.0,86,Fragment-LogNorm
937.0,87,Fragment-LogNorm
948.0,88,Fragment-LogNorm
959.0,89,Fragment-LogNorm
966.0,90,Fragment-LogNorm
977.0,91,Fragment-LogNorm
985.0,92,Fragment-LogNorm
998.0,93,Fragment-LogNorm
1004.0,94,Fragment-LogNorm
1011.0,95,Fragment-LogNorm
1018.0,96,Fragment-LogNorm
1026.0,97,Fragment-LogNorm
1032.0,98,Fragment-LogNorm
1038.0,99,Fragment-LogNorm
1043.0,100,Fragment-LogNorm
1052.0,101,Fragment-LogNorm
1062.0,102,Fragment-LogNorm
1067.0,103,Fragment-LogNorm
1074.0,104,Fragment-LogNorm
1080.0,105,Fragment-LogNorm
1087.0,106,Fragment-LogNorm
1096.0,107,Fragment-LogNorm
1106.0,108,Fragment-LogNorm
1116.0,109,Fragment-LogNorm
1120.0,110,Fragment-LogNorm
1127.0,111,Fragment-LogNorm
1133.0,112,Fragment-LogNorm
1138.0,113,Fragment-LogNorm
1143.0,114,Fragment-LogNorm
1149.0,115,Fragment-LogNorm
1156.0,116,Fragment-LogNorm
1166.0,117,Fragment-LogNorm
1173.0,118,Fragment-LogNorm
1175.0,119,Fragment-LogNorm
1185.0,120,Fragment-LogNorm
1188.0,121,Fragment-LogNorm
1196.0,122,Fragment-LogNorm
1205.0,123,Fragment-LogNorm
1213.0,124,Fragment-LogNorm
1218.0,125,Fragment-LogNorm
1225.0,126,Fragment-LogNorm
1233.0,127,Fragment-LogNorm
1241.0,128,Fragment-LogNorm
1254.0,129,Fragment-LogNorm
1269.0,130,Fragment-LogNorm
1277.0,131,Fragment-LogNorm
1282.0,132,Fragment-LogNorm
1294.0,133,Fragment-LogNorm
1304.0,134,Fragment-LogNorm
1308.0,135,Fragment-LogNorm
1313.0,136,Fragment-LogNorm
1321.0,137,Fragment-LogNorm
1329.0,138,Fragment-LogNorm
1335.0,139,Fragment-LogNorm
1342.0,140,Fragment-LogNorm
1347.0,141,Fragment-LogNorm
1353.0,142,Fragment-LogNorm
1365.0,143,Fragment-LogNorm
1371.0,144,Fragment-LogNorm
1380.0,145,Fragment-LogNorm
1386.0,146,Fragment-LogNorm
1395.0,147,Fragment-LogNorm
1405.0,148,Fragment-LogNorm
1413.0,149,Fragment-LogNorm
1425.0,150,Fragment-LogNorm
1435.0,151,Fragment-LogNorm
1439.0,152,Fragment-LogNorm
1444.0,153,Fragment-LogNorm
1451.0,154,Fragment-LogNorm
1458.0,155,Fragment-LogNorm
1466.0,156,Fragment-LogNorm
1476.0,157,Fragment-LogNorm
1485.0,158,Fragment-LogNorm
1490.0,159,Fragment-LogNorm
1495.0,160,Fragment-LogNorm
1501.0,161,Fragment-LogNorm
1512.0,162,Fragment-LogNorm
1514.0,163,Fragment-LogNorm
1523.0,164,Fragment-LogNorm
1527.0,165,Fragment-LogNorm
1536.0,166,Fragment-LogNorm
1545.0,167,Fragment-LogNorm
1551.0,168,Fragment-LogNorm
1557.0,169,Fragment-LogNorm
1563.0,170,Fragment-LogNorm
1567.0,171,Fragment-LogNorm
1573.0,172,Fragment-LogNorm
1583.0,173,Fragment-LogNorm
1591.0,174,Fragment-LogNorm
1597.0,175,Fragment-LogNorm
1606.0,176,Fragment-LogNorm
1613.0,177,Fragment-LogNorm
1622.0,178,Fragment-LogNorm
1632.0,179,Fragment-LogNorm
1639.0,180,Fragment-LogNorm
1648.0,181,Fragment-LogNorm
1651.0,182,Fragment-LogNorm
1664.0,183,Fragment-LogNorm
1672.0,184,Fragment-LogNorm
1679.0,185,Fragment-LogNorm
1689.0,186,Fragment-LogNorm
1697.0,187,Fragment-LogNorm
1705.0,188,Fragment-LogNorm
1710.0,189,Fragment-LogNorm
1715.0,190,Fragment-LogNorm
1719.0,191,Fragment-LogNorm
1723.0,192,Fragment-LogNorm
1727.0,193,Fragment-LogNorm
1736.0,194,Fragment-LogNorm
1738.0,195,Fragment-LogNorm
1747.0,196,Fragment-LogNorm
1755.0,197,Fragment-LogNorm
1758.0,198,Fragment-LogNorm
1766.0,199,Fragment-LogNorm
1775.0,200,Fragment-LogNorm
1779.0,201,Fragment-LogNorm
1788.0,202,Fragment-LogNorm
1797.0,203,Fragment-LogNorm
1807.0,204,Fragment-LogNorm
1818.0,205,Fragment-LogNorm
1825.0,206,Fragment-LogNorm
