
CellTypeCount
==================== 
Count,Time, CellType
503.0,2,Fragment-LogNorm
508.0,3,Fragment-LogNorm
508.0,4,Fragment-LogNorm
509.0,5,Fragment-LogNorm
512.0,6,Fragment-LogNorm
516.0,7,Fragment-LogNorm
517.0,8,Fragment-LogNorm
519.0,9,Fragment-LogNorm
522.0,10,Fragment-LogNorm
525.0,11,Fragment-LogNorm
526.0,12,Fragment-LogNorm
529.0,13,Fragment-LogNorm
531.0,14,Fragment-LogNorm
533.0,15,Fragment-LogNorm
534.0,16,Fragment-LogNorm
535.0,17,Fragment-LogNorm
538.0,18,Fragment-LogNorm
539.0,19,Fragment-LogNorm
539.0,20,Fragment-LogNorm
539.0,21,Fragment-LogNorm
539.0,22,Fragment-LogNorm
539.0,23,Fragment-LogNorm
541.0,24,Fragment-LogNorm
542.0,25,Fragment-LogNorm
542.0,26,Fragment-LogNorm
544.0,27,Fragment-LogNorm
546.0,28,Fragment-LogNorm
548.0,29,Fragment-LogNorm
550.0,30,Fragment-LogNorm
551.0,31,Fragment-LogNorm
552.0,32,Fragment-LogNorm
553.0,33,Fragment-LogNorm
555.0,34,Fragment-LogNorm
558.0,35,Fragment-LogNorm
558.0,36,Fragment-LogNorm
559.0,37,Fragment-LogNorm
561.0,38,Fragment-LogNorm
561.0,39,Fragment-LogNorm
562.0,40,Fragment-LogNorm
563.0,41,Fragment-LogNorm
564.0,42,Fragment-LogNorm
566.0,43,Fragment-LogNorm
568.0,44,Fragment-LogNorm
569.0,45,Fragment-LogNorm
571.0,46,Fragment-LogNorm
572.0,47,Fragment-LogNorm
574.0,48,Fragment-LogNorm
574.0,49,Fragment-LogNorm
576.0,50,Fragment-LogNorm
577.0,51,Fragment-LogNorm
578.0,52,Fragment-LogNorm
579.0,53,Fragment-LogNorm
580.0,54,Fragment-LogNorm
582.0,55,Fragment-LogNorm
584.0,56,Fragment-LogNorm
585.0,57,Fragment-LogNorm
587.0,58,Fragment-LogNorm
588.0,59,Fragment-LogNorm
591.0,60,Fragment-LogNorm
594.0,61,Fragment-LogNorm
