
removedCount
==================== 
Count,Time, CellType
25.0,2,Fragment-LogNorm
28.0,3,Fragment-LogNorm
33.0,4,Fragment-LogNorm
37.0,5,Fragment-LogNorm
45.0,6,Fragment-LogNorm
47.0,7,Fragment-LogNorm
48.0,8,Fragment-LogNorm
48.0,9,Fragment-LogNorm
49.0,10,Fragment-LogNorm
52.0,11,Fragment-LogNorm
55.0,12,Fragment-LogNorm
58.0,13,Fragment-LogNorm
61.0,14,Fragment-LogNorm
61.0,15,Fragment-LogNorm
62.0,16,Fragment-LogNorm
64.0,17,Fragment-LogNorm
65.0,18,Fragment-LogNorm
66.0,19,Fragment-LogNorm
67.0,20,Fragment-LogNorm
69.0,21,Fragment-LogNorm
70.0,22,Fragment-LogNorm
71.0,23,Fragment-LogNorm
72.0,24,Fragment-LogNorm
72.0,25,Fragment-LogNorm
75.0,26,Fragment-LogNorm
75.0,27,Fragment-LogNorm
75.0,28,Fragment-LogNorm
76.0,29,Fragment-LogNorm
76.0,30,Fragment-LogNorm
77.0,31,Fragment-LogNorm
77.0,32,Fragment-LogNorm
77.0,33,Fragment-LogNorm
79.0,34,Fragment-LogNorm
81.0,35,Fragment-LogNorm
81.0,36,Fragment-LogNorm
83.0,37,Fragment-LogNorm
84.0,38,Fragment-LogNorm
85.0,39,Fragment-LogNorm
86.0,40,Fragment-LogNorm
86.0,41,Fragment-LogNorm
86.0,42,Fragment-LogNorm
86.0,43,Fragment-LogNorm
86.0,44,Fragment-LogNorm
86.0,45,Fragment-LogNorm
86.0,46,Fragment-LogNorm
86.0,47,Fragment-LogNorm
86.0,48,Fragment-LogNorm
87.0,49,Fragment-LogNorm
87.0,50,Fragment-LogNorm
88.0,51,Fragment-LogNorm
88.0,52,Fragment-LogNorm
90.0,53,Fragment-LogNorm
90.0,54,Fragment-LogNorm
90.0,55,Fragment-LogNorm
91.0,56,Fragment-LogNorm
93.0,57,Fragment-LogNorm
93.0,58,Fragment-LogNorm
93.0,59,Fragment-LogNorm
94.0,60,Fragment-LogNorm
94.0,61,Fragment-LogNorm
94.0,62,Fragment-LogNorm
96.0,63,Fragment-LogNorm
97.0,64,Fragment-LogNorm
97.0,65,Fragment-LogNorm
99.0,66,Fragment-LogNorm
99.0,67,Fragment-LogNorm
102.0,68,Fragment-LogNorm
103.0,69,Fragment-LogNorm
105.0,70,Fragment-LogNorm
105.0,71,Fragment-LogNorm
106.0,72,Fragment-LogNorm
107.0,73,Fragment-LogNorm
108.0,74,Fragment-LogNorm
109.0,75,Fragment-LogNorm
112.0,76,Fragment-LogNorm
112.0,77,Fragment-LogNorm
112.0,78,Fragment-LogNorm
114.0,79,Fragment-LogNorm
115.0,80,Fragment-LogNorm
116.0,81,Fragment-LogNorm
118.0,82,Fragment-LogNorm
120.0,83,Fragment-LogNorm
120.0,84,Fragment-LogNorm
120.0,85,Fragment-LogNorm
120.0,86,Fragment-LogNorm
121.0,87,Fragment-LogNorm
